time,Sacramento,pts.away,score,pts.home,Philadelphia
4:54.0,Turnover by R. Gay (lost ball; steal by R. Covington),,95-102,,
4:48.0,,,95-102,,Turnover by J. Okafor (lost ball)
4:31.0,R. Rondo makes 2-pt shot from 8 ft (assist by D. Cousins),2,97-102,,
4:19.0,,,97-102,,Turnover by R. Covington (bad pass; steal by R. Gay)
4:14.0,D. Collison makes 2-pt shot from 22 ft,2,99-102,,
3:54.0,,,99-105,3,N. Stauskas makes 3-pt shot from 23 ft
3:44.0,R. Rondo makes 2-pt shot from 1 ft,2,101-105,,
3:27.0,,,101-105,,Offensive charge foul by R. Covington
3:27.0,,,101-105,,Turnover by R. Covington (offensive foul)
3:20.0,Offensive foul by D. Cousins,,101-105,,
3:20.0,Turnover by D. Cousins (offensive foul),,101-105,,
2:54.0,,,101-105,,J. Grant misses 2-pt shot from 7 ft (block by Q. Acy)
2:53.0,Defensive rebound by R. Rondo,,101-105,,
2:49.0,D. Collison makes 3-pt shot from 22 ft (assist by R. Rondo),3,104-105,,
2:47.0,,,104-105,,Philadelphia full timeout
2:47.0,,,104-105,,H. Thompson enters the game for J. Grant
2:36.0,,,104-105,,Shooting foul by Q. Acy (drawn by R. Covington)
2:36.0,,,104-105,,R. Covington misses free throw 1 of 2
2:36.0,,,104-105,,Offensive rebound by Team
2:36.0,,,104-105,,R. Covington misses free throw 2 of 2
2:35.0,Defensive rebound by R. Gay,,104-105,,
2:19.0,D. Cousins makes 2-pt shot from 18 ft (assist by R. Rondo),2,106-105,,
1:59.0,,,106-105,,J. Okafor misses 2-pt shot from 4 ft (block by Q. Acy)
1:59.0,,,106-105,,Offensive rebound by Team
1:53.0,,,106-105,,I. Smith misses 2-pt shot from 14 ft
1:52.0,Defensive rebound by R. Rondo,,106-105,,
1:35.0,D. Cousins misses 2-pt shot from 16 ft,,106-105,,
1:34.0,Offensive rebound by Q. Acy,,106-105,,
1:34.0,Shooting foul by R. Covington (drawn by Q. Acy),,106-105,,
1:34.0,Q. Acy makes free throw 1 of 2,1,107-105,,
1:34.0,Q. Acy makes free throw 2 of 2,1,108-105,,
1:21.0,,,108-107,2,R. Covington makes 2-pt shot from 5 ft (assist by I. Smith)
1:08.0,R. Rondo makes 2-pt shot from 2 ft,2,110-107,,
1:00.0,,,110-107,,N. Stauskas misses 2-pt shot from 20 ft
0:58.0,Defensive rebound by D. Collison,,110-107,,
0:37.0,Shooting foul by J. Okafor (drawn by D. Cousins),,110-107,,
0:37.0,D. Cousins makes free throw 1 of 2,1,111-107,,
0:37.0,D. Cousins makes free throw 2 of 2,1,112-107,,
0:37.0,,,112-107,,Philadelphia full timeout
0:35.0,,,112-107,,Shooting foul by R. Gay (drawn by R. Covington)
0:35.0,,,112-108,1,R. Covington makes free throw 1 of 2
0:35.0,,,112-108,,J. Grant enters the game for N. Stauskas
0:35.0,,,112-108,,T. McConnell enters the game for H. Thompson
0:35.0,,,112-109,1,R. Covington makes free throw 2 of 2
0:35.0,Sacramento full timeout,,112-109,,
0:35.0,M. Belinelli enters the game for Q. Acy,,112-109,,
0:16.0,Turnover by D. Cousins (lost ball; steal by R. Covington),,112-109,,
0:14.0,,,112-109,,Philadelphia full timeout
0:14.0,Q. Acy enters the game for M. Belinelli,,112-109,,
0:14.0,K. Koufos enters the game for D. Cousins,,112-109,,
0:14.0,,,112-109,,N. Stauskas enters the game for T. McConnell
0:14.0,,,112-109,,H. Thompson enters the game for J. Grant
0:10.0,Personal foul by D. Collison (drawn by I. Smith),,112-109,,
0:10.0,,,112-109,,I. Smith misses free throw 1 of 2
0:10.0,,,112-109,,Offensive rebound by Team
0:10.0,D. Cousins enters the game for K. Koufos,,112-109,,
0:10.0,,,112-109,,T. McConnell enters the game for N. Stauskas
0:10.0,,,112-109,,J. Grant enters the game for H. Thompson
0:10.0,,,112-109,,I. Canaan enters the game for J. Okafor
0:10.0,,,112-110,1,I. Smith makes free throw 2 of 2
0:08.0,,,112-110,,Personal foul by I. Canaan (drawn by D. Collison)
0:08.0,D. Collison makes free throw 1 of 2,1,113-110,,
0:08.0,,,113-110,,N. Stauskas enters the game for T. McConnell
0:08.0,,,113-110,,H. Thompson enters the game for J. Grant
0:08.0,D. Collison makes free throw 2 of 2,1,114-110,,
0:04.0,,,114-110,,I. Smith misses 3-pt shot from 27 ft
0:02.0,Defensive rebound by R. Rondo,,114-110,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
