time,Utah,pts.away,score,pts.home,Cleveland
3:07.0,Turnover by R. Hood (offensive foul),,98-103,,
3:07.0,R. Gobert enters the game for T. Booker,,98-103,,
2:57.0,,,98-103,,Shooting foul by A. Burks (drawn by M. Williams)
2:57.0,Official timeout,,98-103,,
2:57.0,,,98-103,,M. Williams misses free throw 1 of 2
2:57.0,,,98-103,,Offensive rebound by Team
2:57.0,,,98-104,1,M. Williams makes free throw 2 of 2
2:47.0,,,98-104,,Personal foul by L. James (drawn by A. Burks)
2:40.0,R. Gobert makes 2-pt shot at rim (assist by R. Hood),2,100-104,,
2:20.0,,,100-104,,Shooting foul by A. Burks (drawn by L. James)
2:20.0,,,100-106,2,L. James makes 2-pt shot from 1 ft (assist by M. Williams)
2:20.0,,,100-107,1,L. James makes free throw 1 of 1
2:07.0,Turnover by R. Gobert (lost ball; steal by K. Love),,100-107,,
2:00.0,,,100-107,,Turnover by M. Williams (lost ball; steal by D. Favors)
1:56.0,R. Hood makes 3-pt shot from 24 ft (assist by D. Favors),3,103-107,,
1:37.0,,,103-107,,M. Williams misses 2-pt shot from 13 ft
1:36.0,Defensive rebound by R. Hood,,103-107,,
1:27.0,Utah full timeout,,103-107,,
1:27.0,T. Booker enters the game for R. Gobert,,103-107,,
1:27.0,,,103-107,,M. Dellavedova enters the game for M. Williams
1:16.0,A. Burks misses 2-pt shot from 2 ft,,103-107,,
1:14.0,Offensive rebound by D. Favors,,103-107,,
1:08.0,D. Favors makes 2-pt shot from 2 ft,2,105-107,,
1:08.0,,,105-107,,Cleveland full timeout
1:08.0,,,105-107,,M. Williams enters the game for M. Dellavedova
0:50.0,,,105-109,2,L. James makes 2-pt shot from 5 ft
0:46.0,Utah full timeout,,105-109,,
0:46.0,,,105-109,,M. Dellavedova enters the game for M. Williams
0:33.0,R. Hood misses 3-pt shot from 25 ft,,105-109,,
0:33.0,Offensive rebound by Team,,105-109,,
0:33.0,,,105-109,,Loose ball foul by M. Dellavedova (drawn by D. Favors)
0:33.0,D. Favors misses free throw 1 of 2,,105-109,,
0:33.0,Offensive rebound by Team,,105-109,,
0:33.0,,,105-109,,M. Williams enters the game for M. Dellavedova
0:33.0,D. Favors misses free throw 2 of 2,,105-109,,
0:33.0,,,105-109,,Defensive rebound by L. James
0:29.0,Personal foul by R. Hood (drawn by L. James),,105-109,,
0:29.0,J. Ingles enters the game for R. Hood,,105-109,,
0:29.0,T. Burke enters the game for T. Booker,,105-109,,
0:29.0,,,105-109,,L. James misses free throw 1 of 2
0:29.0,,,105-109,,Offensive rebound by Team
0:29.0,,,105-109,,M. Dellavedova enters the game for M. Williams
0:29.0,,,105-110,1,L. James makes free throw 2 of 2
0:27.0,,,105-110,,Personal foul by K. Love (drawn by A. Burks)
0:27.0,A. Burks makes free throw 1 of 2,1,106-110,,
0:27.0,,,106-110,,M. Williams enters the game for M. Dellavedova
0:27.0,A. Burks makes free throw 2 of 2,1,107-110,,
0:26.0,Personal foul by J. Ingles (drawn by L. James),,107-110,,
0:26.0,,,107-110,,L. James misses free throw 1 of 2
0:26.0,,,107-110,,Offensive rebound by Team
0:26.0,,,107-110,,M. Dellavedova enters the game for K. Love
0:26.0,,,107-111,1,L. James makes free throw 2 of 2
0:19.0,A. Burks makes 2-pt shot at rim,2,109-111,,
0:15.0,,,109-113,2,T. Thompson makes 2-pt shot from 1 ft (assist by L. James)
0:15.0,,,109-113,,Shooting foul by J. Ingles (drawn by T. Thompson)
0:15.0,,,109-114,1,T. Thompson makes free throw 1 of 1
0:15.0,Utah full timeout,,109-114,,
0:12.0,A. Burks misses 3-pt shot from 25 ft,,109-114,,
0:11.0,Offensive rebound by G. Hayward,,109-114,,
0:10.0,,,109-114,,Personal foul by T. Thompson (drawn by G. Hayward)
0:10.0,G. Hayward makes free throw 1 of 2,1,110-114,,
0:10.0,C. Johnson enters the game for T. Burke,,110-114,,
0:10.0,T. Booker enters the game for J. Ingles,,110-114,,
0:10.0,,,110-114,,K. Love enters the game for M. Dellavedova
0:10.0,G. Hayward makes free throw 2 of 2,1,111-114,,
0:10.0,,,111-114,,Cleveland full timeout
0:10.0,,,111-114,,M. Dellavedova enters the game for T. Thompson
0:08.0,Personal foul by G. Hayward (drawn by M. Williams),,111-114,,
0:08.0,,,111-115,1,M. Williams makes free throw 1 of 2
0:08.0,T. Burke enters the game for C. Johnson,,111-115,,
0:08.0,J. Ingles enters the game for T. Booker,,111-115,,
0:08.0,,,111-115,,T. Thompson enters the game for K. Love
0:08.0,,,111-116,1,M. Williams makes free throw 2 of 2
0:03.0,A. Burks makes 3-pt shot from 26 ft,3,114-116,,
0:01.0,Personal foul by T. Burke (drawn by M. Williams),,114-116,,
0:01.0,,,114-117,1,M. Williams makes free throw 1 of 2
0:01.0,,,114-118,1,M. Williams makes free throw 2 of 2
0:00.0,End of 4th quarter,,,,End of 4th quarter
