time,Milwaukee,pts.away,score,pts.home,Golden State
6:48.0,O. Mayo misses 2-pt shot from 17 ft,,100-94,,
6:48.0,,,100-94,,Defensive rebound by S. Curry
6:38.0,,,100-97,3,D. Green makes 3-pt shot from 25 ft (assist by B. Rush)
6:36.0,Milwaukee full timeout,,100-97,,
6:36.0,G. Monroe enters the game for M. Plumlee,,100-97,,
6:36.0,M. Carter-Williams enters the game for O. Mayo,,100-97,,
6:36.0,J. Parker enters the game for R. Vaughn,,100-97,,
6:19.0,M. Carter-Williams misses 2-pt shot from 16 ft,,100-97,,
6:18.0,,,100-97,,Defensive rebound by B. Rush
6:09.0,,,100-97,,Shooting foul by M. Carter-Williams (drawn by S. Curry)
6:09.0,,,100-98,1,S. Curry makes free throw 1 of 3
6:09.0,,,100-99,1,S. Curry makes free throw 2 of 3
6:09.0,,,100-100,1,S. Curry makes free throw 3 of 3
5:50.0,G. Monroe misses 2-pt shot from 2 ft,,100-100,,
5:48.0,Offensive rebound by G. Antetokounmpo,,100-100,,
5:48.0,G. Antetokounmpo makes 2-pt shot at rim,2,102-100,,
5:40.0,,,102-100,,Shooting foul by J. Parker (drawn by D. Green)
5:40.0,,,102-101,1,D. Green makes free throw 1 of 2
5:40.0,,,102-101,,D. Green misses free throw 2 of 2
5:38.0,Defensive rebound by G. Monroe,,102-101,,
5:20.0,G. Monroe misses 2-pt shot from 6 ft,,102-101,,
5:20.0,,,102-101,,Defensive rebound by Team
5:11.0,,,102-103,2,F. Ezeli makes 2-pt shot at rim (assist by D. Green)
4:47.0,K. Middleton misses 2-pt shot from 16 ft,,102-103,,
4:47.0,,,102-103,,Defensive rebound by D. Green
4:45.0,,,102-103,,Shooting foul by G. Antetokounmpo (drawn by S. Curry)
4:45.0,,,102-104,1,S. Curry makes free throw 1 of 2
4:45.0,,,102-104,,S. Curry misses free throw 2 of 2
4:43.0,Defensive rebound by G. Monroe,,102-104,,
4:25.0,J. Parker misses 2-pt shot from 1 ft,,102-104,,
4:24.0,Offensive rebound by Team,,102-104,,
4:24.0,,,102-104,,Personal foul by D. Green (drawn by G. Monroe)
4:16.0,M. Carter-Williams makes 2-pt shot from 11 ft,2,104-104,,
4:00.0,,,104-104,,D. Green misses 2-pt shot from 2 ft
3:59.0,,,104-104,,Offensive rebound by F. Ezeli
3:59.0,,,104-106,2,F. Ezeli makes 2-pt shot from 2 ft
3:44.0,K. Middleton misses 3-pt shot from 25 ft (block by K. Thompson),,104-106,,
3:43.0,,,104-106,,Defensive rebound by S. Curry
3:30.0,,,104-106,,Turnover by S. Curry (palming)
3:11.0,G. Antetokounmpo makes 2-pt shot from 9 ft (assist by K. Middleton),2,106-106,,
2:52.0,,,106-108,2,S. Curry makes 2-pt shot from 4 ft (assist by D. Green)
2:28.0,G. Monroe makes 2-pt shot from 1 ft (assist by G. Antetokounmpo),2,108-108,,
2:16.0,,,108-110,2,S. Curry makes 2-pt shot from 1 ft
1:58.0,Turnover by G. Antetokounmpo (bad pass; steal by S. Curry),,108-110,,
1:56.0,Personal foul by G. Monroe (drawn by S. Curry),,108-110,,
1:56.0,,,108-110,,Golden State full timeout
1:56.0,O. Mayo enters the game for J. Parker,,108-110,,
1:56.0,,,108-110,,A. Iguodala enters the game for B. Rush
1:56.0,,,108-110,,Violation by Team (delay of game)
1:56.0,,,108-111,1,S. Curry makes free throw 1 of 2
1:56.0,,,108-112,1,S. Curry makes free throw 2 of 2
1:36.0,Turnover by K. Middleton (bad pass),,108-112,,
1:21.0,,,108-115,3,A. Iguodala makes 3-pt shot from 23 ft (assist by S. Curry)
1:14.0,O. Mayo makes 2-pt shot from 2 ft,2,110-115,,
0:58.0,,,110-115,,D. Green misses 2-pt shot from 3 ft (block by G. Antetokounmpo)
0:56.0,,,110-115,,Offensive rebound by F. Ezeli
0:51.0,,,110-115,,S. Curry misses 3-pt shot from 24 ft
0:51.0,Defensive rebound by Team,,110-115,,
0:51.0,,,110-115,,Loose ball foul by D. Green (drawn by G. Antetokounmpo)
0:51.0,Milwaukee full timeout,,110-115,,
0:45.0,K. Middleton misses 3-pt shot from 25 ft,,110-115,,
0:45.0,,,110-115,,Defensive rebound by K. Thompson
0:44.0,Personal foul by G. Antetokounmpo (drawn by K. Thompson),,110-115,,
0:44.0,J. Parker enters the game for G. Antetokounmpo,,110-115,,
0:44.0,,,110-116,1,K. Thompson makes free throw 1 of 2
0:44.0,,,110-117,1,K. Thompson makes free throw 2 of 2
0:44.0,Milwaukee full timeout,,110-117,,
0:41.0,O. Mayo misses 3-pt shot from 23 ft,,110-117,,
0:41.0,Offensive rebound by Team,,110-117,,
0:35.0,K. Middleton misses 3-pt shot from 24 ft,,110-117,,
0:34.0,,,110-117,,Defensive rebound by K. Thompson
0:32.0,Personal foul by J. Parker (drawn by F. Ezeli),,110-117,,
0:32.0,,,110-117,,F. Ezeli misses free throw 1 of 2
0:32.0,,,110-117,,Offensive rebound by Team
0:32.0,,,110-117,,F. Ezeli misses free throw 2 of 2
0:31.0,,,110-117,,Offensive rebound by S. Curry
0:29.0,,,110-117,,Turnover by S. Curry (dbl dribble)
0:25.0,J. Parker makes 2-pt shot at rim (assist by O. Mayo),2,112-117,,
0:23.0,Personal foul by J. Parker (drawn by K. Thompson),,112-117,,
0:23.0,,,112-118,1,K. Thompson makes free throw 1 of 2
0:23.0,,,112-119,1,K. Thompson makes free throw 2 of 2
0:12.0,O. Mayo misses 3-pt shot from 25 ft (block by K. Thompson),,112-119,,
0:11.0,Offensive rebound by M. Carter-Williams,,112-119,,
0:11.0,M. Carter-Williams misses 2-pt shot from 1 ft,,112-119,,
0:10.0,,,112-119,,Defensive rebound by F. Ezeli
0:10.0,Personal foul by J. Parker (drawn by F. Ezeli),,112-119,,
0:10.0,,,112-120,1,F. Ezeli makes free throw 1 of 2
0:10.0,,,112-121,1,F. Ezeli makes free throw 2 of 2
0:00.0,End of 4th quarter,,,,End of 4th quarter
