time,Utah,pts.away,score,pts.home,San Antonio
1:05.0,C. Johnson makes free throw 1 of 2,1,97-121,,
1:05.0,C. Johnson makes free throw 2 of 2,1,98-121,,
0:51.0,,,98-121,,K. Anderson misses 2-pt shot from 17 ft
0:50.0,Defensive rebound by J. Ingles,,98-121,,
0:42.0,T. Pleiss misses 2-pt shot from 3 ft,,98-121,,
0:41.0,Offensive rebound by T. Pleiss,,98-121,,
0:39.0,T. Pleiss misses 2-pt shot at rim (block by B. Marjanovic),,98-121,,
0:37.0,,,98-121,,Defensive rebound by B. Marjanovic
0:20.0,,,98-123,2,B. Marjanovic makes 2-pt shot from 2 ft (assist by K. Anderson)
0:00.0,End of 4th quarter,,,,End of 4th quarter
