time,Miami,pts.away,score,pts.home,Houston
9:13.0,,,84-95,2,M. Thornton makes 2-pt shot from 18 ft
8:50.0,C. Bosh misses 2-pt shot from 19 ft,,84-95,,
8:49.0,,,84-95,,Defensive rebound by T. Lawson
8:41.0,Personal block foul by C. Bosh (drawn by J. Smith),,84-95,,
8:28.0,,,84-95,,M. Thornton misses 3-pt shot from 25 ft
8:27.0,Defensive rebound by B. Udrih,,84-95,,
8:09.0,Shooting foul by J. Smith (drawn by C. Bosh),,84-95,,
8:09.0,C. Bosh misses free throw 1 of 2,,84-95,,
8:09.0,Offensive rebound by Team,,84-95,,
8:09.0,C. Bosh makes free throw 2 of 2,1,85-95,,
7:47.0,,,85-97,2,M. Thornton makes 2-pt shot from 2 ft (assist by J. Smith)
7:33.0,C. Bosh misses 2-pt shot from 20 ft,,85-97,,
7:32.0,,,85-97,,Defensive rebound by M. Thornton
7:16.0,,,85-97,,Offensive foul by C. Brewer
7:16.0,,,85-97,,Turnover by C. Brewer (offensive foul)
7:16.0,D. Wade enters the game for B. Udrih,,85-97,,
7:16.0,A. Stoudemire enters the game for C. Bosh,,85-97,,
7:16.0,,,85-97,,T. Ariza enters the game for C. Brewer
7:16.0,,,85-97,,J. Harden enters the game for J. Terry
6:59.0,D. Wade makes 2-pt shot from 1 ft,2,87-97,,
6:52.0,,,87-99,2,J. Smith makes 2-pt shot from 1 ft (assist by J. Harden)
6:39.0,D. Wade misses 2-pt shot from 1 ft,,87-99,,
6:38.0,Offensive rebound by D. Wade,,87-99,,
6:38.0,D. Wade misses 2-pt shot from 1 ft,,87-99,,
6:37.0,Offensive rebound by A. Stoudemire,,87-99,,
6:37.0,A. Stoudemire makes 2-pt shot from 2 ft,2,89-99,,
6:13.0,,,89-101,2,J. Smith makes 2-pt shot from 2 ft (assist by T. Ariza)
5:57.0,Official timeout,,89-101,,
5:57.0,L. Deng enters the game for G. Green,,89-101,,
5:47.0,G. Dragic misses 2-pt shot from 14 ft,,89-101,,
5:46.0,,,89-101,,Defensive rebound by M. Thornton
5:44.0,Personal take foul by J. Winslow (drawn by J. Harden),,89-101,,
5:34.0,,,89-104,3,J. Smith makes 3-pt shot from 24 ft (assist by T. Lawson)
5:11.0,D. Wade misses 2-pt shot from 19 ft,,89-104,,
5:10.0,,,89-104,,Defensive rebound by T. Lawson
5:05.0,,,89-104,,M. Thornton misses 2-pt shot from 2 ft
5:04.0,Defensive rebound by L. Deng,,89-104,,
4:57.0,G. Dragic misses 2-pt shot from 1 ft,,89-104,,
4:56.0,,,89-104,,Defensive rebound by J. Smith
4:55.0,,,89-104,,Turnover by J. Smith (bad pass; steal by J. Winslow)
4:55.0,Shooting foul by J. Smith (drawn by J. Winslow),,89-104,,
4:55.0,J. Winslow makes free throw 1 of 2,1,90-104,,
4:55.0,,,90-104,,T. Jones enters the game for J. Smith
4:55.0,G. Green enters the game for G. Dragic,,90-104,,
4:55.0,C. Bosh enters the game for A. Stoudemire,,90-104,,
4:55.0,,,90-104,,P. Beverley enters the game for T. Lawson
4:55.0,J. Winslow makes free throw 2 of 2,1,91-104,,
4:41.0,,,91-107,3,M. Thornton makes 3-pt shot from 25 ft (assist by J. Harden)
4:29.0,Turnover by J. Winslow (lost ball; steal by M. Thornton),,91-107,,
4:16.0,,,91-107,,J. Harden misses 2-pt shot from 17 ft
4:15.0,Defensive rebound by J. Winslow,,91-107,,
4:03.0,,,91-107,,Personal foul by P. Beverley (drawn by D. Wade)
4:03.0,D. Wade misses free throw 1 of 2,,91-107,,
4:03.0,Offensive rebound by Team,,91-107,,
4:03.0,D. Wade makes free throw 2 of 2,1,92-107,,
3:36.0,,,92-107,,J. Harden misses 2-pt shot from 21 ft
3:36.0,Defensive rebound by J. Winslow,,92-107,,
3:30.0,,,92-107,,Personal block foul by M. Thornton (drawn by L. Deng)
3:30.0,L. Deng makes free throw 1 of 2,1,93-107,,
3:30.0,L. Deng misses free throw 2 of 2,,93-107,,
3:30.0,,,93-107,,Defensive rebound by J. Harden
3:18.0,,,93-110,3,J. Harden makes 3-pt shot from 25 ft (assist by T. Ariza)
3:16.0,Miami full timeout,,93-110,,
