time,Detroit,pts.away,score,pts.home,LA Lakers
6:18.0,Turnover by A. Drummond (offensive foul),,74-78,,
6:08.0,,,74-78,,Turnover by J. Clarkson (bad pass; steal by S. Johnson)
6:04.0,S. Johnson misses 2-pt shot from 3 ft,,74-78,,
6:03.0,,,74-78,,Defensive rebound by Team
6:03.0,Loose ball foul by S. Johnson (drawn by R. Hibbert),,74-78,,
5:44.0,,,74-78,,Shooting foul by S. Johnson (drawn by R. Hibbert)
5:44.0,Official timeout,,74-78,,
5:44.0,M. Morris enters the game for S. Johnson,,74-78,,
5:44.0,,,74-78,,J. Randle enters the game for L. Nance
5:44.0,,,74-79,1,R. Hibbert makes free throw 1 of 2
5:44.0,,,74-80,1,R. Hibbert makes free throw 2 of 2
5:25.0,M. Morris misses 2-pt shot from 16 ft,,74-80,,
5:25.0,Offensive rebound by Team,,74-80,,
5:15.0,R. Jackson misses 2-pt shot from 14 ft,,74-80,,
5:15.0,,,74-80,,Defensive rebound by Team
4:55.0,,,74-80,,Offensive charge foul by J. Randle
4:55.0,,,74-80,,Turnover by J. Randle (offensive foul)
4:55.0,S. Dinwiddie enters the game for R. Jackson,,74-80,,
4:40.0,Turnover by Team (5 sec inbounds),,74-80,,
4:20.0,,,74-82,2,R. Hibbert makes 2-pt shot at rim (assist by K. Bryant)
4:06.0,A. Drummond misses 2-pt shot from 12 ft,,74-82,,
4:05.0,,,74-82,,Defensive rebound by K. Bryant
3:44.0,,,74-85,3,K. Bryant makes 3-pt shot from 26 ft (assist by R. Hibbert)
3:44.0,Detroit full timeout,,74-85,,
3:25.0,K. Caldwell-Pope misses 2-pt shot from 10 ft,,74-85,,
3:25.0,Offensive rebound by Team,,74-85,,
3:24.0,S. Dinwiddie makes 2-pt shot from 17 ft (assist by M. Morris),2,76-85,,
3:24.0,Shooting foul by J. Clarkson (drawn by S. Dinwiddie),,76-85,,
3:24.0,S. Dinwiddie makes free throw 1 of 1,1,77-85,,
3:04.0,,,77-87,2,J. Clarkson makes 2-pt shot from 12 ft
2:38.0,K. Caldwell-Pope misses 3-pt shot from 24 ft,,77-87,,
2:38.0,,,77-87,,Defensive rebound by Team
2:21.0,Personal foul by S. Dinwiddie (drawn by R. Hibbert),,77-87,,
2:21.0,Technical foul by A. Drummond,,77-87,,
2:21.0,,,77-88,1,K. Bryant makes technical free throw
2:21.0,,,77-89,1,R. Hibbert makes free throw 1 of 2
2:21.0,,,77-89,,R. Hibbert misses free throw 2 of 2
2:20.0,Defensive rebound by A. Drummond,,77-89,,
2:05.0,,,77-89,,Personal foul by N. Young (drawn by E. Ilyasova)
1:59.0,S. Dinwiddie makes 3-pt shot from 24 ft,3,80-89,,
1:42.0,,,80-89,,Turnover by K. Bryant (lost ball; steal by A. Drummond)
1:35.0,Shooting foul by R. Hibbert (drawn by S. Dinwiddie),,80-89,,
1:35.0,S. Dinwiddie misses free throw 1 of 2,,80-89,,
1:35.0,Offensive rebound by Team,,80-89,,
1:35.0,S. Dinwiddie makes free throw 2 of 2,1,81-89,,
1:12.0,,,81-89,,J. Randle misses 2-pt shot from 2 ft
1:12.0,,,81-89,,Offensive rebound by J. Randle
0:59.0,,,81-89,,Shooting foul by A. Drummond (drawn by J. Clarkson)
0:59.0,,,81-89,,J. Clarkson misses free throw 1 of 2
0:59.0,,,81-89,,Offensive rebound by Team
0:59.0,,,81-90,1,J. Clarkson makes free throw 2 of 2
0:59.0,Detroit full timeout,,81-90,,
0:56.0,M. Morris misses 3-pt shot from 24 ft,,81-90,,
0:56.0,,,81-90,,Defensive rebound by J. Clarkson
0:47.0,Personal take foul by S. Dinwiddie (drawn by J. Clarkson),,81-90,,
0:47.0,,,81-90,,J. Clarkson misses free throw 1 of 2
0:47.0,,,81-90,,Offensive rebound by Team
0:47.0,,,81-91,1,J. Clarkson makes free throw 2 of 2
0:35.0,E. Ilyasova makes 2-pt shot from 5 ft,2,83-91,,
0:34.0,Personal take foul by S. Dinwiddie (drawn by J. Clarkson),,83-91,,
0:34.0,,,83-92,1,J. Clarkson makes free throw 1 of 2
0:34.0,,,83-93,1,J. Clarkson makes free throw 2 of 2
0:24.0,A. Drummond makes 2-pt shot at rim (assist by K. Caldwell-Pope),2,85-93,,
0:23.0,Personal take foul by E. Ilyasova (drawn by K. Bryant),,85-93,,
0:23.0,,,85-94,1,K. Bryant makes free throw 1 of 2
0:23.0,,,85-95,1,K. Bryant makes free throw 2 of 2
0:11.0,S. Dinwiddie misses 3-pt shot from 25 ft,,85-95,,
0:10.0,Offensive rebound by M. Morris,,85-95,,
0:08.0,M. Morris misses 3-pt shot from 25 ft,,85-95,,
0:08.0,,,85-95,,Defensive rebound by Team
0:08.0,Loose ball foul by A. Drummond (drawn by R. Hibbert),,85-95,,
0:08.0,,,85-96,1,R. Hibbert makes free throw 1 of 2
0:08.0,,,85-96,,M. World Peace enters the game for K. Bryant
0:08.0,,,85-97,1,R. Hibbert makes free throw 2 of 2
0:00.0,End of 4th quarter,,,,End of 4th quarter
