time,LA Lakers,pts.away,score,pts.home,Washington
4:48.0,,,90-87,,Defensive rebound by O. Porter
4:40.0,,,90-89,2,J. Wall makes 2-pt shot from 1 ft
4:24.0,J. Clarkson misses 2-pt shot from 15 ft,,90-89,,
4:22.0,,,90-89,,Defensive rebound by J. Dudley
4:22.0,,,90-89,,Shooting foul by L. Williams (drawn by J. Wall)
4:22.0,,,90-90,1,J. Wall makes free throw 1 of 2
4:22.0,,,90-91,1,J. Wall makes free throw 2 of 2
3:52.0,K. Bryant makes 2-pt shot from 13 ft,2,92-91,,
3:45.0,,,92-91,,J. Wall misses 3-pt shot from 24 ft
3:44.0,Defensive rebound by L. Williams,,92-91,,
3:32.0,K. Bryant misses 2-pt shot from 19 ft,,92-91,,
3:31.0,,,92-91,,Defensive rebound by Team
3:20.0,,,92-93,2,J. Wall makes 2-pt shot from 14 ft
2:55.0,J. Randle makes 2-pt shot from 2 ft,2,94-93,,
2:37.0,,,94-95,2,J. Wall makes 2-pt shot from 15 ft
2:17.0,Shooting foul by B. Beal (drawn by J. Randle),,94-95,,
2:17.0,Official timeout,,94-95,,
2:17.0,J. Clarkson makes free throw 1 of 2,1,95-95,,
2:17.0,J. Clarkson makes free throw 2 of 2,1,96-95,,
2:04.0,,,96-95,,J. Dudley misses 3-pt shot from 24 ft
2:02.0,Defensive rebound by K. Bryant,,96-95,,
1:47.0,K. Bryant misses 2-pt shot from 17 ft,,96-95,,
1:46.0,Offensive rebound by J. Randle,,96-95,,
1:31.0,Shooting foul by J. Dudley (drawn by J. Clarkson),,96-95,,
1:31.0,J. Clarkson makes free throw 1 of 2,1,97-95,,
1:31.0,J. Clarkson makes free throw 2 of 2,1,98-95,,
1:31.0,,,98-95,,Washington full timeout
1:28.0,,,98-95,,Shooting foul by R. Hibbert (drawn by J. Wall)
1:28.0,,,98-96,1,J. Wall makes free throw 1 of 2
1:28.0,,,98-97,1,J. Wall makes free throw 2 of 2
1:13.0,J. Clarkson misses 2-pt shot from 13 ft,,98-97,,
1:11.0,Offensive rebound by J. Clarkson,,98-97,,
1:08.0,J. Clarkson misses 2-pt shot from 8 ft,,98-97,,
1:08.0,,,98-97,,Defensive rebound by J. Wall
1:08.0,Loose ball foul by J. Clarkson (drawn by J. Wall),,98-97,,
1:08.0,,,98-98,1,J. Wall makes free throw 1 of 2
1:08.0,,,98-99,1,J. Wall makes free throw 2 of 2
0:59.0,K. Bryant makes 3-pt shot from 25 ft,3,101-99,,
0:52.0,,,101-101,2,M. Gortat makes 2-pt shot from 2 ft (assist by J. Wall)
0:31.0,K. Bryant makes 2-pt shot from 16 ft,2,103-101,,
0:31.0,,,103-101,,Washington full timeout
0:24.0,,,103-101,,Turnover by J. Wall (bad pass; steal by L. Williams)
0:21.0,,,103-101,,Personal take foul by B. Beal
0:21.0,L. Williams makes free throw 1 of 2,1,104-101,,
0:21.0,L. Williams makes free throw 2 of 2,1,105-101,,
0:21.0,,,105-101,,Washington full timeout
0:14.0,,,105-101,,O. Porter misses 2-pt shot from 23 ft
0:13.0,Defensive rebound by J. Randle,,105-101,,
0:13.0,,,105-101,,Personal take foul by J. Dudley (drawn by J. Randle)
0:13.0,J. Randle misses free throw 1 of 2,,105-101,,
0:13.0,Offensive rebound by Team,,105-101,,
0:13.0,J. Randle makes free throw 2 of 2,1,106-101,,
0:08.0,,,106-104,3,J. Wall makes 3-pt shot from 25 ft
0:08.0,LA Lakers full timeout,,106-104,,
0:08.0,,,106-104,,G. Temple enters the game for J. Dudley
0:06.0,,,106-104,,Personal take foul by M. Gortat (drawn by J. Clarkson)
0:06.0,J. Clarkson makes free throw 1 of 2,1,107-104,,
0:06.0,,,107-104,,J. Dudley enters the game for G. Temple
0:06.0,J. Clarkson makes free throw 2 of 2,1,108-104,,
0:01.0,,,108-104,,J. Wall misses 3-pt shot from 28 ft
0:01.0,Defensive rebound by Team,,108-104,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
