time,Chicago,pts.away,score,pts.home,Charlotte
4:12.0,Defensive rebound by P. Gasol,,83-98,,
4:00.0,P. Gasol misses 2-pt shot from 16 ft,,83-98,,
3:59.0,,,83-98,,Defensive rebound by N. Batum
3:45.0,,,83-98,,K. Walker misses 2-pt shot from 1 ft
3:45.0,Defensive rebound by Team,,83-98,,
3:45.0,,,83-98,,Loose ball foul by C. Zeller (drawn by P. Gasol)
3:45.0,,,83-98,,S. Hawes enters the game for C. Zeller
3:29.0,E. Moore makes 2-pt shot from 7 ft (assist by P. Gasol),2,85-98,,
3:02.0,,,85-98,,M. Kidd-Gilchrist misses 3-pt shot from 24 ft
3:00.0,,,85-98,,Offensive rebound by M. Williams
2:40.0,,,85-100,2,M. Kidd-Gilchrist makes 2-pt shot at rim (assist by K. Walker)
2:23.0,C. Bairstow misses 2-pt shot from 1 ft,,85-100,,
2:22.0,,,85-100,,Defensive rebound by S. Hawes
2:01.0,,,85-103,3,N. Batum makes 3-pt shot from 25 ft (assist by K. Walker)
2:00.0,Chicago full timeout,,85-103,,
2:00.0,A. Brooks enters the game for P. Gasol,,85-103,,
2:00.0,T. Snell enters the game for E. Moore,,85-103,,
2:00.0,C. Felicio enters the game for K. Hinrich,,85-103,,
1:49.0,D. McDermott misses 2-pt shot from 13 ft,,85-103,,
1:48.0,,,85-103,,Defensive rebound by K. Walker
1:27.0,,,85-106,3,M. Williams makes 3-pt shot from 24 ft (assist by N. Batum)
1:13.0,D. McDermott makes 2-pt shot from 1 ft (assist by C. Bairstow),2,87-106,,
1:01.0,,,87-106,,K. Walker misses 2-pt shot from 4 ft (block by A. Brooks)
1:01.0,,,87-106,,Offensive rebound by Team
0:58.0,,,87-106,,S. Hawes misses 3-pt shot from 25 ft
0:57.0,Defensive rebound by D. McDermott,,87-106,,
0:45.0,T. Snell makes 2-pt shot from 20 ft,2,89-106,,
0:30.0,,,89-106,,Shooting foul by C. Bairstow (drawn by K. Walker)
0:30.0,,,89-107,1,K. Walker makes free throw 1 of 2
0:30.0,,,89-108,1,K. Walker makes free throw 2 of 2
0:21.0,Shooting foul by S. Hawes (drawn by T. Snell),,89-108,,
0:21.0,,,89-108,,F. Kaminsky enters the game for S. Hawes
0:21.0,T. Snell makes free throw 1 of 2,1,90-108,,
0:21.0,T. Snell makes free throw 2 of 2,1,91-108,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
