time,New Orleans,pts.away,score,pts.home,Minnesota
1:08.0,,,93-70,2,R. Rubio makes 2-pt shot from 18 ft
0:54.0,A. Davis makes 2-pt shot from 1 ft (assist by J. Holiday),2,95-70,,
0:32.0,,,95-70,,K. Towns misses 2-pt shot from 6 ft
0:30.0,,,95-70,,Offensive rebound by S. Muhammad
0:28.0,,,95-70,,S. Muhammad misses 2-pt shot from 2 ft (block by A. Gee)
0:26.0,,,95-70,,Offensive rebound by S. Muhammad
0:24.0,,,95-70,,S. Muhammad misses 2-pt shot from 1 ft
0:23.0,Defensive rebound by A. Davis,,95-70,,
0:22.0,Turnover by N. Cole (back court),,95-70,,
0:22.0,,,95-70,,G. Dieng enters the game for K. Towns
0:22.0,,,95-70,,A. Miller enters the game for R. Rubio
0:22.0,A. Ajinca enters the game for A. Davis,,95-70,,
0:04.0,,,95-70,,A. Wiggins misses 2-pt shot from 12 ft
0:03.0,Defensive rebound by J. Holiday,,95-70,,
0:00.0,J. Holiday misses 3-pt shot from 58 ft,,95-70,,
0:00.0,Offensive rebound by Team,,95-70,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,A. Ajinca misses 2-pt shot at rim,,95-70,,
11:46.0,,,95-70,,Defensive rebound by S. Muhammad
11:24.0,,,95-72,2,Z. LaVine makes 2-pt shot from 21 ft (assist by G. Dieng)
11:12.0,,,95-72,,Personal foul by N. Bjelica (drawn by T. Douglas)
11:04.0,R. Anderson misses 2-pt shot from 20 ft,,95-72,,
11:02.0,,,95-72,,Defensive rebound by G. Dieng
10:53.0,,,95-72,,Z. LaVine misses 2-pt shot from 17 ft
10:51.0,Defensive rebound by Team,,95-72,,
10:36.0,T. Douglas makes 3-pt shot from 25 ft (assist by J. Holiday),3,98-72,,
10:20.0,,,98-72,,T. Jones misses 2-pt shot from 8 ft
10:19.0,Defensive rebound by J. Holiday,,98-72,,
10:05.0,R. Anderson misses 2-pt shot from 1 ft,,98-72,,
10:04.0,,,98-72,,Defensive rebound by G. Dieng
9:58.0,,,98-74,2,N. Bjelica makes 2-pt shot at rim (assist by Z. LaVine)
9:48.0,J. Holiday misses 3-pt shot from 24 ft,,98-74,,
9:47.0,Offensive rebound by Team,,98-74,,
9:47.0,,,98-74,,Loose ball foul by N. Bjelica (drawn by R. Anderson)
9:35.0,R. Anderson makes 3-pt shot from 25 ft (assist by A. Gee),3,101-74,,
9:25.0,Personal foul by T. Douglas (drawn by T. Jones),,101-74,,
9:08.0,,,101-76,2,S. Muhammad makes 2-pt shot from 9 ft
8:51.0,Shooting foul by G. Dieng (drawn by R. Anderson),,101-76,,
8:51.0,R. Anderson makes 2-pt shot from 1 ft,2,103-76,,
8:51.0,New Orleans full timeout,,103-76,,
8:51.0,R. Anderson makes free throw 1 of 1,1,104-76,,
8:41.0,Personal foul by A. Gee (drawn by S. Muhammad),,104-76,,
8:41.0,,,104-76,,A. Payne enters the game for G. Dieng
8:36.0,,,104-76,,S. Muhammad misses 2-pt shot from 2 ft
8:35.0,,,104-76,,Offensive rebound by S. Muhammad
8:34.0,,,104-76,,Shooting foul by A. Gee (drawn by S. Muhammad)
8:34.0,,,104-77,1,S. Muhammad makes free throw 1 of 2
8:34.0,,,104-78,1,S. Muhammad makes free throw 2 of 2
8:19.0,J. Holiday misses 3-pt shot from 24 ft,,104-78,,
8:18.0,,,104-78,,Defensive rebound by A. Payne
8:10.0,,,104-80,2,N. Bjelica makes 2-pt shot from 1 ft (assist by Z. LaVine)
7:47.0,A. Ajinca misses 2-pt shot from 14 ft,,104-80,,
7:44.0,Offensive rebound by R. Anderson,,104-80,,
7:44.0,R. Anderson makes 2-pt shot at rim,2,106-80,,
7:34.0,,,106-80,,A. Payne misses 3-pt shot from 24 ft
7:32.0,,,106-80,,Offensive rebound by N. Bjelica
7:29.0,,,106-82,2,S. Muhammad makes 2-pt shot at rim (assist by T. Jones)
7:19.0,J. Holiday misses 2-pt shot from 7 ft (block by Z. LaVine),,106-82,,
7:17.0,Offensive rebound by J. Holiday,,106-82,,
