time,New York,pts.away,score,pts.home,Houston
3:53.0,,,95-93,,T. Jones misses 2-pt shot from 2 ft
3:53.0,Defensive rebound by Team,,95-93,,
3:53.0,New York full timeout,,95-93,,
3:33.0,L. Galloway misses 2-pt shot from 17 ft,,95-93,,
3:32.0,Offensive rebound by K. Porzingis,,95-93,,
3:28.0,Turnover by K. Porzingis (bad pass; steal by T. Jones),,95-93,,
3:22.0,,,95-93,,J. Terry misses 3-pt shot from 24 ft
3:21.0,,,95-93,,Offensive rebound by T. Jones
3:04.0,,,95-93,,Shooting foul by L. Galloway (drawn by J. Harden)
3:04.0,,,95-94,1,J. Harden makes free throw 1 of 2
3:04.0,,,95-95,1,J. Harden makes free throw 2 of 2
2:42.0,A. Afflalo misses 2-pt shot from 3 ft,,95-95,,
2:40.0,Offensive rebound by C. Anthony,,95-95,,
2:40.0,C. Anthony misses 2-pt shot from 1 ft (block by J. Harden),,95-95,,
2:37.0,,,95-95,,Defensive rebound by J. Harden
2:24.0,,,95-95,,J. Harden misses 2-pt shot from 5 ft (block by K. Porzingis)
2:23.0,Defensive rebound by K. Porzingis,,95-95,,
2:18.0,C. Anthony makes 3-pt shot from 25 ft,3,98-95,,
2:03.0,,,98-95,,Shooting foul by C. Anthony (drawn by T. Ariza)
2:03.0,,,98-96,1,T. Ariza makes free throw 1 of 3
2:03.0,,,98-97,1,T. Ariza makes free throw 2 of 3
2:03.0,,,98-97,,C. Brewer enters the game for M. Thornton
2:03.0,,,98-97,,T. Ariza misses free throw 3 of 3
2:03.0,Defensive rebound by K. Porzingis,,98-97,,
1:45.0,A. Afflalo misses 2-pt shot from 19 ft,,98-97,,
1:44.0,,,98-97,,Defensive rebound by J. Harden
1:41.0,,,98-97,,Shooting foul by L. Galloway (drawn by C. Brewer)
1:41.0,,,98-98,1,C. Brewer makes free throw 1 of 2
1:41.0,,,98-99,1,C. Brewer makes free throw 2 of 2
1:24.0,C. Anthony misses 3-pt shot from 23 ft,,98-99,,
1:23.0,Offensive rebound by K. Porzingis,,98-99,,
1:22.0,Shooting foul by J. Harden (drawn by K. Porzingis),,98-99,,
1:22.0,K. Porzingis makes free throw 1 of 2,1,99-99,,
1:22.0,K. Porzingis makes free throw 2 of 2,1,100-99,,
1:22.0,,,100-99,,Houston full timeout
1:22.0,L. Thomas enters the game for C. Anthony,,100-99,,
1:22.0,,,100-99,,M. Thornton enters the game for C. Brewer
1:11.0,,,100-99,,J. Harden misses 2-pt shot from 3 ft (block by K. Porzingis)
1:10.0,,,100-99,,Offensive rebound by T. Jones
1:09.0,Jump ball: T. Jones vs. L. Thomas (M. Thornton gains possession),,,,Jump ball: T. Jones vs. L. Thomas (M. Thornton gains possession)
0:59.0,,,100-99,,J. Harden misses 3-pt shot from 25 ft
0:58.0,Defensive rebound by A. Afflalo,,100-99,,
0:58.0,New York full timeout,,100-99,,
0:58.0,,,100-99,,C. Brewer enters the game for M. Thornton
0:58.0,C. Anthony enters the game for L. Thomas,,100-99,,
0:40.0,,,100-99,,Violation by T. Jones (def goaltending)
0:40.0,C. Anthony makes 2-pt shot from 1 ft (assist by A. Afflalo),2,102-99,,
0:21.0,,,102-99,,T. Ariza misses 3-pt shot from 25 ft
0:20.0,Defensive rebound by C. Anthony,,102-99,,
0:19.0,,,102-99,,Personal take foul by T. Jones (drawn by C. Anthony)
0:19.0,C. Anthony makes free throw 1 of 2,1,103-99,,
0:19.0,C. Anthony misses free throw 2 of 2,,103-99,,
0:19.0,,,103-99,,Defensive rebound by J. Harden
0:18.0,,,103-99,,Houston full timeout
0:18.0,L. Thomas enters the game for C. Anthony,,103-99,,
0:18.0,,,103-99,,M. Thornton enters the game for C. Brewer
0:13.0,,,103-99,,Offensive charge foul by J. Harden
0:13.0,,,103-99,,Turnover by J. Harden (offensive foul)
0:13.0,C. Anthony enters the game for L. Thomas,,103-99,,
0:13.0,New York full timeout,,103-99,,
0:13.0,,,103-99,,C. Brewer enters the game for M. Thornton
0:12.0,,,103-99,,Personal take foul by T. Ariza (drawn by C. Anthony)
0:12.0,C. Anthony makes free throw 1 of 2,1,104-99,,
0:12.0,C. Anthony makes free throw 2 of 2,1,105-99,,
0:12.0,,,105-99,,Houston full timeout
0:12.0,,,105-99,,M. Thornton enters the game for C. Brewer
0:12.0,L. Thomas enters the game for C. Anthony,,105-99,,
0:08.0,,,105-102,3,T. Jones makes 3-pt shot from 26 ft (assist by T. Ariza)
0:02.0,,,105-102,,Personal take foul by J. Terry (drawn by L. Thomas)
0:02.0,L. Thomas makes free throw 1 of 2,1,106-102,,
0:02.0,L. Thomas makes free throw 2 of 2,1,107-102,,
0:00.0,,,107-102,,M. Thornton misses 3-pt shot from 25 ft
0:00.0,,,107-102,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
