time,Phoenix,pts.away,score,pts.home,New York
1:48.0,,,80-100,2,T. Antetokounmpo makes 2-pt shot from 1 ft
1:39.0,A. Goodwin misses 2-pt shot from 2 ft (block by K. O'Quinn),,80-100,,
1:36.0,Offensive rebound by A. Goodwin,,80-100,,
1:34.0,S. Weems misses 3-pt shot from 24 ft,,80-100,,
1:32.0,,,80-100,,Defensive rebound by S. Vujacic
1:22.0,,,80-100,,Turnover by K. O'Quinn (traveling)
1:22.0,J. McRae enters the game for A. Goodwin,,80-100,,
1:09.0,Shooting foul by T. Antetokounmpo (drawn by D. Booker),,80-100,,
1:09.0,D. Booker makes free throw 1 of 2,1,81-100,,
1:09.0,D. Booker makes free throw 2 of 2,1,82-100,,
0:52.0,,,82-102,2,J. Grant makes 2-pt shot from 12 ft
0:42.0,D. Booker misses 2-pt shot from 16 ft,,82-102,,
0:40.0,Offensive rebound by A. Len,,82-102,,
0:36.0,D. Booker misses 2-pt shot from 2 ft (block by K. O'Quinn),,82-102,,
0:35.0,Offensive rebound by Team,,82-102,,
0:34.0,D. Booker makes 2-pt shot from 4 ft (assist by S. Weems),2,84-102,,
0:34.0,Shooting foul by S. Vujacic (drawn by D. Booker),,84-102,,
0:34.0,D. Booker misses free throw 1 of 1,,84-102,,
0:33.0,,,84-102,,Defensive rebound by L. Amundson
0:19.0,,,84-102,,J. Grant misses 2-pt shot from 13 ft
0:17.0,Defensive rebound by M. Morris,,84-102,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
