time,Milwaukee,pts.away,score,pts.home,Dallas
1:28.0,Defensive rebound by G. Antetokounmpo,,91-97,,
1:13.0,G. Monroe misses 2-pt shot from 1 ft,,91-97,,
1:12.0,Offensive rebound by G. Antetokounmpo,,91-97,,
1:11.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,93-97,,
0:49.0,,,93-97,,Z. Pachulia misses 2-pt shot from 2 ft (block by G. Antetokounmpo)
0:48.0,Defensive rebound by G. Monroe,,93-97,,
0:45.0,Offensive charge foul by K. Middleton,,93-97,,
0:45.0,Turnover by K. Middleton (offensive foul),,93-97,,
0:24.0,,,93-97,,D. Nowitzki misses 3-pt shot from 24 ft
0:23.0,Defensive rebound by G. Antetokounmpo,,93-97,,
0:22.0,,,93-97,,Personal foul by C. Parsons (drawn by G. Antetokounmpo)
0:22.0,Milwaukee full timeout,,93-97,,
0:22.0,,,93-97,,D. Harris enters the game for D. Nowitzki
0:16.0,Turnover by G. Monroe (bad pass; steal by C. Parsons),,93-97,,
0:11.0,,,93-99,2,D. Harris makes 2-pt shot from 1 ft (assist by C. Parsons)
0:11.0,Milwaukee full timeout,,93-99,,
0:09.0,K. Middleton misses 3-pt shot from 28 ft,,93-99,,
0:08.0,,,93-99,,Defensive rebound by Z. Pachulia
0:06.0,Personal take foul by G. Antetokounmpo (drawn by Z. Pachulia),,93-99,,
0:06.0,Technical foul by K. Middleton,,93-99,,
0:06.0,Technical foul by K. Middleton,,93-99,,
0:06.0,R. Vaughn enters the game for K. Middleton,,93-99,,
0:06.0,,,93-100,1,W. Matthews makes technical free throw
0:06.0,,,93-101,1,W. Matthews makes technical free throw
0:06.0,,,93-102,1,Z. Pachulia makes free throw 1 of 2
0:06.0,,,93-103,1,Z. Pachulia makes free throw 2 of 2
0:00.0,End of 4th quarter,,,,End of 4th quarter
