time,New York,pts.away,score,pts.home,Portland
0:43.0,,,106-104,,D. Lillard misses 2-pt shot from 1 ft
0:43.0,Defensive rebound by Team,,106-104,,
0:30.0,,,106-104,,Personal block foul by M. Plumlee (drawn by C. Anthony)
0:30.0,C. Anthony makes free throw 1 of 2,1,107-104,,
0:30.0,C. Anthony makes free throw 2 of 2,1,108-104,,
0:30.0,,,108-104,,Portland full timeout
0:30.0,,,108-104,,M. Leonard enters the game for A. Aminu
0:25.0,,,108-106,2,D. Lillard makes 2-pt shot from 1 ft
0:19.0,,,108-106,,Personal foul by M. Plumlee (drawn by C. Anthony)
0:19.0,,,108-106,,A. Aminu enters the game for M. Plumlee
0:19.0,C. Anthony makes free throw 1 of 2,1,109-106,,
0:19.0,C. Anthony makes free throw 2 of 2,1,110-106,,
0:19.0,,,110-106,,Portland full timeout
0:19.0,S. Vujacic enters the game for R. Lopez,,110-106,,
0:18.0,,,110-106,,D. Lillard misses 2-pt shot from 2 ft
0:16.0,Defensive rebound by C. Anthony,,110-106,,
0:16.0,Turnover by C. Anthony (step out of bounds),,110-106,,
0:09.0,,,110-106,,C. McCollum misses 2-pt shot from 1 ft
0:09.0,,,110-106,,Offensive rebound by A. Aminu
0:07.0,,,110-108,2,A. Aminu makes 2-pt shot from 1 ft
0:07.0,,,110-108,,Personal take foul by D. Lillard (drawn by C. Anthony)
0:07.0,C. Anthony makes free throw 1 of 2,1,111-108,,
0:07.0,C. Anthony makes free throw 2 of 2,1,112-108,,
0:02.0,,,112-108,,Shooting foul by L. Thomas (drawn by D. Lillard)
0:02.0,,,112-109,1,D. Lillard makes free throw 1 of 3
0:02.0,,,112-110,1,D. Lillard makes free throw 2 of 3
0:02.0,K. O'Quinn enters the game for L. Galloway,,112-110,,
0:02.0,R. Lopez enters the game for S. Vujacic,,112-110,,
0:02.0,,,112-110,,E. Davis enters the game for M. Leonard
0:02.0,,,112-110,,D. Lillard misses free throw 3 of 3
0:00.0,,,112-110,,Offensive rebound by D. Lillard
0:00.0,,,112-110,,D. Lillard misses 3-pt shot from 27 ft
0:00.0,,,112-110,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
