time,Washington,pts.away,score,pts.home,Sacramento
1:51.0,B. Beal makes 2-pt shot from 20 ft (assist by J. Wall),2,104-114,,
1:47.0,Personal foul by N. Hilario,,104-114,,
1:47.0,Official timeout,,104-114,,
1:47.0,,,104-114,,Violation by Team (jump ball)
1:47.0,,,104-114,,D. Cousins misses free throw 1 of 2
1:47.0,,,104-114,,Offensive rebound by Team
1:47.0,,,104-114,,D. Cousins misses free throw 2 of 2
1:46.0,Defensive rebound by J. Wall,,104-114,,
1:35.0,Turnover by J. Wall (lost ball; steal by D. Cousins),,104-114,,
1:33.0,,,104-114,,Shooting foul by O. Porter (drawn by D. Collison)
1:33.0,,,104-115,1,D. Collison makes free throw 1 of 2
1:33.0,K. Oubre enters the game for B. Beal,,104-115,,
1:33.0,,,104-116,1,D. Collison makes free throw 2 of 2
1:20.0,Turnover by M. Morris (bad pass),,104-116,,
0:57.0,,,104-116,,D. Cousins misses 2-pt shot from 21 ft
0:56.0,Defensive rebound by N. Hilario,,104-116,,
0:50.0,J. Wall misses 2-pt shot from 3 ft,,104-116,,
0:49.0,,,104-116,,Defensive rebound by D. Cousins
0:45.0,,,104-118,2,R. Gay makes 2-pt shot at rim (assist by D. Cousins)
0:38.0,J. Wall misses 3-pt shot from 24 ft,,104-118,,
0:36.0,,,104-118,,Defensive rebound by D. Cousins
0:18.0,,,104-120,2,O. Casspi makes 2-pt shot from 2 ft (assist by R. Rondo)
0:07.0,K. Oubre makes 2-pt shot at rim (assist by O. Porter),2,106-120,,
0:07.0,,,106-120,,Turnover by R. Rondo (inbound)
0:07.0,,,106-120,,Technical foul by D. Cousins
0:07.0,,,106-120,,Technical foul by R. Rondo
0:07.0,,,106-120,,Technical foul by R. Rondo
0:07.0,,,106-120,,S. Curry enters the game for R. Rondo
0:07.0,J. Wall makes technical free throw,1,107-120,,
0:07.0,J. Wall misses technical free throw,,107-120,,
0:07.0,Offensive rebound by Team,,107-120,,
0:07.0,J. Wall makes technical free throw,1,108-120,,
0:04.0,J. Wall makes 3-pt shot from 23 ft (assist by M. Morris),3,111-120,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
