time,Sacramento,pts.away,score,pts.home,Charlotte
3:59.0,,,108-98,1,C. Zeller makes free throw 1 of 2
3:59.0,,,108-99,1,C. Zeller makes free throw 2 of 2
3:37.0,D. Cousins misses 2-pt shot from 3 ft,,108-99,,
3:36.0,,,108-99,,Defensive rebound by N. Batum
3:30.0,,,108-102,3,K. Walker makes 3-pt shot from 24 ft (assist by N. Batum)
3:06.0,R. Rondo misses 3-pt shot from 23 ft,,108-102,,
3:05.0,,,108-102,,Defensive rebound by F. Kaminsky
2:57.0,,,108-102,,F. Kaminsky misses 3-pt shot from 25 ft
2:56.0,Defensive rebound by D. Cousins,,108-102,,
2:33.0,Turnover by R. Gay (bad pass; steal by N. Batum),,108-102,,
2:29.0,,,108-104,2,N. Batum makes 2-pt shot from 1 ft
2:29.0,Sacramento full timeout,,108-104,,
2:29.0,O. Casspi enters the game for B. McLemore,,108-104,,
2:07.0,O. Casspi misses 3-pt shot from 26 ft,,108-104,,
2:05.0,,,108-104,,Defensive rebound by C. Zeller
1:49.0,,,108-106,2,K. Walker makes 2-pt shot from 1 ft
1:34.0,M. Belinelli misses 2-pt shot from 15 ft,,108-106,,
1:31.0,,,108-106,,Defensive rebound by N. Batum
1:31.0,Personal foul by R. Gay (drawn by N. Batum),,108-106,,
1:31.0,,,108-107,1,N. Batum makes free throw 1 of 2
1:31.0,D. Collison enters the game for O. Casspi,,108-107,,
1:31.0,,,108-108,1,N. Batum makes free throw 2 of 2
1:14.0,D. Cousins misses 2-pt shot from 10 ft,,108-108,,
1:12.0,,,108-108,,Defensive rebound by K. Walker
1:01.0,,,108-110,2,K. Walker makes 2-pt shot from 16 ft
1:01.0,Sacramento full timeout,,108-110,,
1:01.0,K. Koufos enters the game for D. Cousins,,108-110,,
0:47.0,R. Gay misses 2-pt shot from 1 ft,,108-110,,
0:45.0,Offensive rebound by K. Koufos,,108-110,,
0:45.0,K. Koufos misses 2-pt shot from 2 ft,,108-110,,
0:43.0,Offensive rebound by R. Rondo,,108-110,,
0:37.0,D. Collison misses 3-pt shot from 26 ft,,108-110,,
0:36.0,,,108-110,,Defensive rebound by K. Walker
0:21.0,,,108-110,,N. Batum misses 3-pt shot from 24 ft (block by R. Rondo)
0:18.0,,,108-110,,Offensive rebound by F. Kaminsky
0:15.0,,,108-110,,N. Batum misses 3-pt shot from 25 ft
0:14.0,Defensive rebound by R. Rondo,,108-110,,
0:14.0,Sacramento full timeout,,108-110,,
0:08.0,M. Belinelli makes 2-pt shot from 17 ft (assist by R. Rondo),2,110-110,,
0:08.0,,,110-110,,Charlotte full timeout
0:08.0,O. Casspi enters the game for K. Koufos,,110-110,,
0:01.0,,,110-112,2,K. Walker makes 2-pt shot from 1 ft
0:01.0,Sacramento full timeout,,110-112,,
0:01.0,,,110-112,,M. Williams enters the game for C. Zeller
0:00.0,R. Gay makes 2-pt shot from 1 ft (assist by R. Rondo),2,112-112,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
4:40.0,R. Gay makes 2-pt shot from 8 ft (assist by M. Belinelli),2,114-112,,
4:23.0,,,114-115,3,F. Kaminsky makes 3-pt shot from 24 ft (assist by N. Batum)
4:11.0,R. Gay misses 3-pt shot from 24 ft,,114-115,,
4:10.0,,,114-115,,Defensive rebound by Team
4:10.0,Loose ball foul by K. Koufos (drawn by K. Walker),,114-115,,
3:57.0,,,114-117,2,J. Lin makes 2-pt shot from 2 ft
3:57.0,,,114-117,,Shooting foul by M. Belinelli (drawn by J. Lin)
3:57.0,,,114-118,1,J. Lin makes free throw 1 of 1
3:45.0,K. Koufos misses 2-pt shot from 5 ft,,114-118,,
3:44.0,,,114-118,,Defensive rebound by C. Zeller
3:32.0,,,114-118,,C. Zeller misses 2-pt shot from 1 ft
3:30.0,,,114-118,,Offensive rebound by C. Zeller
3:26.0,,,114-118,,J. Lin misses 3-pt shot from 26 ft
3:25.0,,,114-118,,Offensive rebound by F. Kaminsky
3:08.0,,,114-118,,K. Walker misses 2-pt shot from 9 ft
3:07.0,Defensive rebound by R. Gay,,114-118,,
2:58.0,R. Rondo misses 2-pt shot from 17 ft,,114-118,,
2:56.0,,,114-118,,Defensive rebound by C. Zeller
2:43.0,,,114-118,,N. Batum misses 2-pt shot from 16 ft
2:40.0,Defensive rebound by R. Gay,,114-118,,
2:25.0,M. Belinelli misses 3-pt shot from 27 ft,,114-118,,
2:24.0,,,114-118,,Defensive rebound by C. Zeller
2:23.0,Personal foul by R. Rondo (drawn by C. Zeller),,114-118,,
2:07.0,,,114-120,2,J. Lin makes 2-pt shot from 1 ft (assist by N. Batum)
2:07.0,Sacramento full timeout,,114-120,,
1:54.0,D. Collison makes 2-pt shot from 16 ft,2,116-120,,
1:36.0,,,116-120,,J. Lin misses 2-pt shot from 1 ft
1:35.0,Defensive rebound by R. Gay,,116-120,,
1:27.0,M. Belinelli misses 3-pt shot from 24 ft,,116-120,,
1:26.0,,,116-120,,Defensive rebound by F. Kaminsky
1:20.0,,,116-120,,Charlotte full timeout
1:05.0,,,116-120,,F. Kaminsky misses 2-pt shot from 2 ft (block by K. Koufos)
1:05.0,Defensive rebound by Team,,116-120,,
1:05.0,Sacramento full timeout,,116-120,,
1:01.0,K. Koufos misses 2-pt shot from 5 ft,,116-120,,
1:00.0,Offensive rebound by K. Koufos,,116-120,,
1:00.0,Shooting foul by C. Zeller (drawn by K. Koufos),,116-120,,
1:00.0,K. Koufos makes free throw 1 of 2,1,117-120,,
1:00.0,K. Koufos makes free throw 2 of 2,1,118-120,,
0:43.0,,,118-122,2,J. Lin makes 2-pt shot from 18 ft
0:43.0,Sacramento full timeout,,118-122,,
0:32.0,R. Gay misses 3-pt shot from 26 ft (block by K. Walker),,118-122,,
0:31.0,Offensive rebound by R. Rondo,,118-122,,
0:31.0,Turnover by R. Rondo (bad pass),,118-122,,
0:31.0,,,118-122,,Charlotte full timeout
0:31.0,O. Casspi enters the game for R. Gay,,118-122,,
0:26.0,Personal take foul by K. Koufos (drawn by K. Walker),,118-122,,
0:26.0,,,118-123,1,K. Walker makes free throw 1 of 2
0:26.0,R. Gay enters the game for K. Koufos,,118-123,,
0:26.0,,,118-124,1,K. Walker makes free throw 2 of 2
0:18.0,R. Gay makes 2-pt shot from 2 ft (assist by O. Casspi),2,120-124,,
0:17.0,Personal take foul by R. Rondo (drawn by J. Lin),,120-124,,
0:17.0,,,120-124,,J. Lin misses free throw 1 of 2
0:17.0,,,120-124,,Offensive rebound by Team
0:17.0,,,120-124,,M. Williams enters the game for C. Zeller
0:17.0,,,120-125,1,J. Lin makes free throw 2 of 2
0:11.0,R. Rondo makes 2-pt shot from 1 ft,2,122-125,,
0:06.0,,,122-125,,J. Lin misses 2-pt shot from 1 ft
0:06.0,,,122-125,,Offensive rebound by K. Walker
0:06.0,,,122-127,2,K. Walker makes 2-pt shot from 1 ft
0:01.0,M. Belinelli misses 3-pt shot from 34 ft,,122-127,,
0:00.0,Offensive rebound by Team,,122-127,,
0:00.0,End of 1st overtime,,,,End of 1st overtime
