time,Milwaukee,pts.away,score,pts.home,Memphis
2:54.0,,,81-100,,Memphis full timeout
2:49.0,,,81-100,,Turnover by J. Green (traveling)
2:38.0,C. Copeland misses 3-pt shot from 24 ft,,81-100,,
2:37.0,,,81-100,,Defensive rebound by J. Green
2:35.0,,,81-100,,Shooting foul by R. Vaughn (drawn by M. Barnes)
2:35.0,,,81-101,1,M. Barnes makes free throw 1 of 2
2:35.0,,,81-101,,M. Barnes misses free throw 2 of 2
2:34.0,Defensive rebound by M. Plumlee,,81-101,,
2:15.0,T. Ennis misses 3-pt shot from 27 ft,,81-101,,
2:14.0,Offensive rebound by J. O'Bryant,,81-101,,
2:10.0,T. Ennis misses 2-pt shot from 6 ft,,81-101,,
2:09.0,,,81-101,,Defensive rebound by M. Barnes
1:58.0,,,81-101,,M. Barnes misses 3-pt shot from 26 ft
1:58.0,,,81-101,,Offensive rebound by R. Hollins
1:44.0,Personal foul by C. Copeland (drawn by M. Chalmers),,81-101,,
1:39.0,,,81-101,,Turnover by M. Barnes (bad pass; steal by M. Plumlee)
1:26.0,C. Copeland misses 3-pt shot from 23 ft,,81-101,,
1:26.0,,,81-101,,Defensive rebound by R. Hollins
1:14.0,,,81-101,,M. Barnes misses 3-pt shot from 24 ft
1:14.0,Defensive rebound by J. O'Bryant,,81-101,,
0:58.0,M. Plumlee makes 2-pt shot from 4 ft (assist by C. Copeland),2,83-101,,
0:36.0,,,83-101,,M. Chalmers misses 2-pt shot from 14 ft
0:34.0,,,83-101,,Offensive rebound by R. Hollins
0:33.0,,,83-103,2,R. Hollins makes 2-pt shot at rim
0:14.0,Turnover by C. Copeland (lost ball; steal by M. Barnes),,83-103,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
