time,LA Lakers,pts.away,score,pts.home,Charlotte
1:14.0,Offensive rebound by J. Clarkson,,95-105,,
1:12.0,J. Clarkson misses 3-pt shot from 24 ft,,95-105,,
1:10.0,Offensive rebound by K. Bryant,,95-105,,
1:07.0,K. Bryant misses 3-pt shot from 25 ft,,95-105,,
1:07.0,,,95-105,,Defensive rebound by N. Batum
1:07.0,Personal foul by K. Bryant (drawn by N. Batum),,95-105,,
1:07.0,,,95-106,1,N. Batum makes free throw 1 of 2
1:07.0,N. Young enters the game for K. Bryant,,95-106,,
1:07.0,,,95-106,,N. Batum misses free throw 2 of 2
1:05.0,Defensive rebound by L. Nance,,95-106,,
0:57.0,N. Young makes 3-pt shot from 23 ft (assist by L. Williams),3,98-106,,
0:53.0,Personal take foul by J. Clarkson (drawn by K. Walker),,98-106,,
0:53.0,,,98-107,1,K. Walker makes free throw 1 of 2
0:53.0,,,98-108,1,K. Walker makes free throw 2 of 2
0:45.0,L. Williams misses 2-pt shot from 2 ft,,98-108,,
0:44.0,,,98-108,,Defensive rebound by M. Williams
0:26.0,,,98-108,,K. Walker misses 3-pt shot from 26 ft
0:24.0,,,98-108,,Offensive rebound by J. Lin
0:00.0,,,98-108,,Turnover by Team (shot clock)
0:00.0,End of 4th quarter,,,,End of 4th quarter
