time,Atlanta,pts.away,score,pts.home,Portland
3:54.0,,,91-88,,Defensive rebound by A. Aminu
3:44.0,,,91-90,2,D. Lillard makes 2-pt shot from 1 ft
3:31.0,J. Teague makes 2-pt shot from 16 ft,2,93-90,,
3:17.0,,,93-90,,Offensive foul by A. Aminu
3:17.0,,,93-90,,Turnover by A. Aminu (offensive foul)
3:01.0,A. Horford misses 2-pt shot from 15 ft,,93-90,,
3:01.0,,,93-90,,Defensive rebound by A. Aminu
2:50.0,,,93-92,2,A. Aminu makes 2-pt shot from 13 ft (assist by C. McCollum)
2:31.0,P. Millsap makes 3-pt shot from 23 ft (assist by J. Teague),3,96-92,,
2:14.0,,,96-92,,D. Lillard misses 2-pt shot from 2 ft
2:14.0,,,96-92,,Offensive rebound by M. Plumlee
2:11.0,,,96-92,,A. Crabbe misses 3-pt shot from 23 ft
2:11.0,Defensive rebound by P. Millsap,,96-92,,
2:04.0,J. Teague misses 2-pt shot from 2 ft,,96-92,,
2:03.0,Offensive rebound by A. Horford,,96-92,,
1:53.0,A. Horford makes 2-pt shot from 15 ft (assist by J. Teague),2,98-92,,
1:53.0,,,98-92,,Portland full timeout
1:53.0,Official timeout,,98-92,,
1:53.0,T. Sefolosha enters the game for K. Korver,,98-92,,
1:46.0,,,98-94,2,C. McCollum makes 2-pt shot at rim
1:27.0,A. Horford makes 2-pt shot from 8 ft,2,100-94,,
1:14.0,,,100-94,,D. Lillard misses 2-pt shot from 17 ft
1:11.0,Defensive rebound by P. Millsap,,100-94,,
0:57.0,J. Teague misses 2-pt shot from 5 ft,,100-94,,
0:55.0,,,100-94,,Defensive rebound by D. Lillard
0:40.0,,,100-96,2,C. McCollum makes 2-pt shot from 16 ft
0:32.0,Atlanta full timeout,,100-96,,
0:32.0,K. Korver enters the game for T. Sefolosha,,100-96,,
0:32.0,Atlanta full timeout,,100-96,,
0:26.0,Turnover by K. Korver (lost ball),,100-96,,
0:26.0,T. Sefolosha enters the game for K. Korver,,100-96,,
0:26.0,,,100-96,,M. Leonard enters the game for M. Plumlee
0:17.0,,,100-96,,C. McCollum misses 2-pt shot from 3 ft
0:17.0,Defensive rebound by Team,,100-96,,
0:17.0,K. Korver enters the game for T. Sefolosha,,100-96,,
0:16.0,,,100-96,,Personal take foul by A. Crabbe (drawn by K. Korver)
0:16.0,Atlanta full timeout,,100-96,,
0:16.0,,,100-96,,M. Plumlee enters the game for M. Leonard
0:13.0,,,100-96,,Personal take foul by M. Plumlee (drawn by K. Bazemore)
0:13.0,K. Bazemore makes free throw 1 of 2,1,101-96,,
0:13.0,T. Sefolosha enters the game for K. Korver,,101-96,,
0:13.0,,,101-96,,E. Davis enters the game for A. Crabbe
0:13.0,K. Bazemore makes free throw 2 of 2,1,102-96,,
0:13.0,,,102-96,,Portland full timeout
0:13.0,,,102-96,,M. Leonard enters the game for E. Davis
0:13.0,,,102-96,,A. Crabbe enters the game for A. Aminu
0:11.0,,,102-96,,A. Crabbe misses 3-pt shot from 24 ft
0:10.0,,,102-96,,Offensive rebound by M. Leonard
0:09.0,,,102-98,2,M. Leonard makes 2-pt shot from 1 ft
0:08.0,,,102-98,,Personal take foul by M. Leonard (drawn by K. Bazemore)
0:08.0,K. Bazemore makes free throw 1 of 2,1,103-98,,
0:08.0,K. Bazemore makes free throw 2 of 2,1,104-98,,
0:08.0,,,104-98,,Portland full timeout
0:06.0,,,104-98,,D. Lillard misses 2-pt shot at rim
0:05.0,,,104-98,,Offensive rebound by Team
0:03.0,,,104-98,,Turnover by M. Plumlee (bad pass)
0:00.0,End of 4th quarter,,,,End of 4th quarter
