time,Phoenix,pts.away,score,pts.home,Oklahoma City
8:43.0,,,83-96,,Turnover by E. Kanter (lost ball; steal by A. Len)
8:34.0,E. Bledsoe makes 2-pt shot from 19 ft,2,85-96,,
8:33.0,,,85-96,,Oklahoma City full timeout
8:33.0,,,85-96,,K. Durant enters the game for K. Singler
8:33.0,,,85-96,,S. Ibaka enters the game for M. McGary
8:21.0,,,85-96,,Turnover by K. Durant (bad pass; steal by A. Len)
8:16.0,T. Warren makes 2-pt shot at rim (assist by E. Bledsoe),2,87-96,,
7:59.0,,,87-96,,Shooting foul by M. Teletovic (drawn by D. Augustin)
7:59.0,,,87-97,1,D. Augustin makes free throw 1 of 2
7:59.0,,,87-97,,D. Augustin misses free throw 2 of 2
7:57.0,,,87-97,,Offensive rebound by E. Kanter
7:56.0,,,87-99,2,E. Kanter makes 2-pt shot at rim
7:56.0,,,87-99,,Shooting foul by A. Len (drawn by E. Kanter)
7:56.0,,,87-99,,R. Westbrook enters the game for D. Augustin
7:56.0,,,87-100,1,E. Kanter makes free throw 1 of 1
7:40.0,M. Teletovic misses 2-pt shot from 2 ft,,87-100,,
7:39.0,Offensive rebound by M. Teletovic,,87-100,,
7:30.0,Turnover by B. Knight (bad pass; steal by K. Durant),,87-100,,
7:23.0,,,87-102,2,R. Westbrook makes 2-pt shot at rim (assist by D. Waiters)
7:10.0,T. Warren makes 2-pt shot from 18 ft (assist by E. Bledsoe),2,89-102,,
7:10.0,Shooting foul by K. Durant (drawn by T. Warren),,89-102,,
7:10.0,M. Morris enters the game for M. Teletovic,,89-102,,
7:10.0,T. Chandler enters the game for A. Len,,89-102,,
7:10.0,T. Warren makes free throw 1 of 1,1,90-102,,
6:50.0,,,90-105,3,D. Waiters makes 3-pt shot from 22 ft (assist by R. Westbrook)
6:37.0,B. Knight misses 3-pt shot from 25 ft,,90-105,,
6:36.0,,,90-105,,Defensive rebound by K. Durant
6:30.0,,,90-108,3,K. Durant makes 3-pt shot from 24 ft
6:06.0,Turnover by E. Bledsoe (bad pass; steal by R. Westbrook),,90-108,,
6:01.0,,,90-110,2,K. Durant makes 2-pt shot at rim
6:00.0,Phoenix full timeout,,90-110,,
5:51.0,,,90-110,,Personal foul by S. Ibaka (drawn by M. Morris)
5:41.0,M. Morris misses 2-pt shot from 14 ft,,90-110,,
5:40.0,,,90-110,,Defensive rebound by E. Kanter
5:35.0,,,90-110,,Turnover by R. Westbrook (bad pass)
5:21.0,T. Warren misses 2-pt shot from 15 ft,,90-110,,
5:21.0,,,90-110,,Defensive rebound by R. Westbrook
5:11.0,,,90-112,2,K. Durant makes 2-pt shot from 13 ft (assist by E. Kanter)
4:57.0,B. Knight makes 2-pt shot from 5 ft,2,92-112,,
4:41.0,,,92-114,2,E. Kanter makes 2-pt shot from 12 ft (assist by K. Durant)
4:28.0,Turnover by B. Knight (traveling),,92-114,,
4:28.0,,,92-114,,A. Roberson enters the game for D. Waiters
4:19.0,,,92-116,2,E. Kanter makes 2-pt shot at rim (assist by R. Westbrook)
4:04.0,E. Bledsoe makes 2-pt shot from 2 ft,2,94-116,,
4:04.0,Shooting foul by E. Kanter (drawn by E. Bledsoe),,94-116,,
4:04.0,D. Booker enters the game for T. Warren,,94-116,,
4:04.0,A. Goodwin enters the game for B. Knight,,94-116,,
4:04.0,E. Bledsoe makes free throw 1 of 1,1,95-116,,
3:45.0,,,95-116,,R. Westbrook misses 3-pt shot from 24 ft
3:45.0,Defensive rebound by A. Goodwin,,95-116,,
3:37.0,A. Goodwin misses 3-pt shot from 24 ft,,95-116,,
3:37.0,Offensive rebound by Team,,95-116,,
3:37.0,J. Leuer enters the game for T. Chandler,,95-116,,
3:37.0,M. Teletovic enters the game for M. Morris,,95-116,,
3:28.0,M. Teletovic makes 3-pt shot from 23 ft (assist by D. Booker),3,98-116,,
3:11.0,,,98-118,2,K. Durant makes 2-pt shot from 17 ft (assist by R. Westbrook)
2:54.0,A. Goodwin makes 2-pt shot from 2 ft (assist by E. Bledsoe),2,100-118,,
2:32.0,,,100-118,,S. Ibaka misses 3-pt shot from 23 ft
2:32.0,,,100-118,,Offensive rebound by R. Westbrook
2:28.0,,,100-120,2,R. Westbrook makes 2-pt shot at rim
2:15.0,M. Teletovic misses 3-pt shot from 24 ft,,100-120,,
2:15.0,,,100-120,,Defensive rebound by K. Durant
1:59.0,,,100-122,2,K. Durant makes 2-pt shot from 9 ft
1:59.0,Phoenix full timeout,,100-122,,
1:59.0,Official timeout,,100-122,,
1:59.0,R. Price enters the game for E. Bledsoe,,100-122,,
1:59.0,,,100-122,,K. Singler enters the game for K. Durant
1:59.0,,,100-122,,D. Augustin enters the game for S. Ibaka
1:59.0,,,100-122,,C. Payne enters the game for A. Roberson
1:59.0,,,100-122,,M. McGary enters the game for R. Westbrook
1:49.0,J. Leuer misses 3-pt shot from 24 ft (block by E. Kanter),,100-122,,
1:48.0,,,100-122,,Defensive rebound by K. Singler
1:34.0,,,100-122,,Turnover by D. Augustin (bad pass; steal by J. Leuer)
1:30.0,J. Leuer makes 2-pt shot at rim,2,102-122,,
1:09.0,,,102-122,,M. McGary misses 2-pt shot from 3 ft
1:09.0,,,102-122,,Offensive rebound by E. Kanter
1:09.0,,,102-124,2,E. Kanter makes 2-pt shot from 1 ft
0:50.0,J. Leuer misses 2-pt shot from 11 ft,,102-124,,
0:50.0,,,102-124,,Defensive rebound by M. McGary
0:43.0,,,102-124,,D. Augustin misses 3-pt shot from 24 ft
0:41.0,Defensive rebound by Team,,102-124,,
0:28.0,D. Booker misses 2-pt shot from 23 ft,,102-124,,
0:28.0,,,102-124,,Defensive rebound by D. Augustin
0:21.0,,,102-124,,C. Payne misses 3-pt shot from 24 ft
0:20.0,Defensive rebound by A. Goodwin,,102-124,,
0:15.0,,,102-124,,Personal foul by K. Singler (drawn by A. Goodwin)
0:15.0,A. Goodwin makes free throw 1 of 2,1,103-124,,
0:15.0,A. Goodwin misses free throw 2 of 2,,103-124,,
0:15.0,,,103-124,,Defensive rebound by K. Singler
0:04.0,Personal foul by D. Booker (drawn by K. Singler),,103-124,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
