time,Golden State,pts.away,score,pts.home,Detroit
7:53.0,,,76-99,,Personal foul by S. Blake (drawn by K. Thompson)
7:49.0,,,76-99,,Personal foul by K. Caldwell-Pope (drawn by D. Green)
7:40.0,D. Green misses 2-pt shot at rim,,76-99,,
7:39.0,,,76-99,,Defensive rebound by K. Caldwell-Pope
7:26.0,,,76-99,,A. Tolliver misses 3-pt shot from 23 ft
7:24.0,Defensive rebound by S. Curry,,76-99,,
7:22.0,A. Iguodala misses 2-pt shot at rim,,76-99,,
7:22.0,,,76-99,,Defensive rebound by Team
7:11.0,,,76-99,,A. Drummond misses 2-pt shot from 4 ft (block by D. Green)
7:11.0,,,76-99,,Offensive rebound by Team
7:11.0,,,76-99,,R. Jackson enters the game for S. Blake
7:04.0,,,76-101,2,R. Jackson makes 2-pt shot at rim (assist by M. Morris)
6:52.0,S. Livingston misses 2-pt shot at rim,,76-101,,
6:50.0,Offensive rebound by S. Livingston,,76-101,,
6:47.0,S. Livingston makes 2-pt shot at rim,2,78-101,,
6:38.0,,,78-101,,Turnover by A. Drummond (3 sec)
6:31.0,S. Curry makes 3-pt shot from 26 ft,3,81-101,,
6:10.0,,,81-103,2,A. Drummond makes 2-pt shot from 7 ft (assist by M. Morris)
6:01.0,S. Curry makes 2-pt shot from 15 ft,2,83-103,,
6:01.0,,,83-103,,Detroit full timeout
6:01.0,B. Rush enters the game for A. Iguodala,,83-103,,
5:48.0,,,83-105,2,R. Jackson makes 2-pt shot from 14 ft
5:31.0,K. Thompson makes 2-pt shot from 14 ft (assist by S. Curry),2,85-105,,
5:09.0,,,85-105,,Turnover by A. Drummond (bad pass; steal by S. Curry)
5:07.0,H. Barnes enters the game for S. Livingston,,85-105,,
5:01.0,K. Thompson makes 3-pt shot from 28 ft (assist by D. Green),3,88-105,,
4:41.0,,,88-105,,R. Jackson misses 2-pt shot from 14 ft
4:41.0,Defensive rebound by K. Thompson,,88-105,,
4:32.0,K. Thompson misses 3-pt shot from 26 ft,,88-105,,
4:32.0,,,88-105,,Defensive rebound by A. Drummond
4:19.0,,,88-105,,R. Jackson misses 2-pt shot at rim
4:17.0,,,88-105,,Offensive rebound by A. Drummond
4:13.0,,,88-107,2,A. Drummond makes 2-pt shot at rim
4:02.0,D. Green misses 2-pt shot at rim (block by A. Drummond),,88-107,,
4:00.0,,,88-107,,Defensive rebound by A. Drummond
3:53.0,,,88-107,,A. Tolliver misses 3-pt shot from 23 ft
3:52.0,Defensive rebound by K. Thompson,,88-107,,
3:44.0,Shooting foul by A. Drummond (drawn by S. Curry),,88-107,,
3:44.0,S. Curry makes free throw 1 of 2,1,89-107,,
3:44.0,F. Ezeli enters the game for D. Green,,89-107,,
3:44.0,L. Barbosa enters the game for K. Thompson,,89-107,,
3:44.0,S. Curry makes free throw 2 of 2,1,90-107,,
3:28.0,,,90-107,,M. Morris misses 3-pt shot from 23 ft
3:28.0,,,90-107,,Offensive rebound by A. Tolliver
3:23.0,,,90-107,,A. Drummond misses 2-pt shot from 5 ft
3:21.0,Defensive rebound by F. Ezeli,,90-107,,
3:15.0,S. Curry misses 3-pt shot from 25 ft,,90-107,,
3:14.0,,,90-107,,Defensive rebound by A. Drummond
2:49.0,,,90-109,2,A. Tolliver makes 2-pt shot at rim
2:49.0,Golden State full timeout,,90-109,,
2:49.0,I. Clark enters the game for S. Curry,,90-109,,
2:49.0,,,90-109,,S. Johnson enters the game for A. Tolliver
2:25.0,H. Barnes makes 2-pt shot from 8 ft,2,92-109,,
1:59.0,,,92-111,2,R. Jackson makes 2-pt shot from 9 ft
1:47.0,Shooting foul by A. Drummond (drawn by F. Ezeli),,92-111,,
1:47.0,F. Ezeli misses free throw 1 of 2,,92-111,,
1:47.0,Offensive rebound by Team,,92-111,,
1:47.0,F. Ezeli makes free throw 2 of 2,1,93-111,,
1:27.0,,,93-113,2,R. Jackson makes 2-pt shot from 13 ft
1:18.0,I. Clark misses 2-pt shot from 10 ft,,93-113,,
1:16.0,Offensive rebound by F. Ezeli,,93-113,,
1:12.0,F. Ezeli misses 2-pt shot at rim,,93-113,,
1:10.0,,,93-113,,Defensive rebound by K. Caldwell-Pope
0:53.0,,,93-113,,R. Jackson misses 3-pt shot from 24 ft
0:53.0,Defensive rebound by F. Ezeli,,93-113,,
0:48.0,L. Barbosa makes 2-pt shot at rim (assist by H. Barnes),2,95-113,,
0:23.0,,,95-113,,A. Drummond misses 2-pt shot at rim (block by F. Ezeli)
0:23.0,,,95-113,,Offensive rebound by R. Jackson
0:23.0,,,95-113,,Turnover by Team (shot clock)
0:17.0,L. Barbosa misses 3-pt shot from 24 ft,,95-113,,
0:15.0,Offensive rebound by F. Ezeli,,95-113,,
0:15.0,F. Ezeli misses 2-pt shot at rim,,95-113,,
0:14.0,,,95-113,,Defensive rebound by A. Drummond
0:00.0,End of 4th quarter,,,,End of 4th quarter
