time,LA Lakers,pts.away,score,pts.home,New York
4:05.0,Offensive rebound by J. Randle,,87-85,,
3:49.0,D. Russell misses 2-pt shot from 9 ft,,87-85,,
3:49.0,,,87-85,,Defensive rebound by R. Lopez
3:38.0,,,87-85,,L. Galloway misses 2-pt shot from 6 ft (block by R. Hibbert)
3:37.0,Defensive rebound by R. Hibbert,,87-85,,
3:37.0,,,87-85,,Personal foul by R. Lopez (drawn by R. Hibbert)
3:37.0,R. Hibbert makes free throw 1 of 2,1,88-85,,
3:37.0,R. Hibbert makes free throw 2 of 2,1,89-85,,
3:18.0,,,89-87,2,K. Porzingis makes 2-pt shot from 13 ft (assist by C. Anthony)
3:03.0,,,89-87,,Personal foul by C. Anthony (drawn by K. Bryant)
3:03.0,K. Bryant makes free throw 1 of 2,1,90-87,,
3:03.0,K. Bryant misses free throw 2 of 2,,90-87,,
3:02.0,Offensive rebound by D. Russell,,90-87,,
2:50.0,K. Bryant misses 2-pt shot from 15 ft,,90-87,,
2:49.0,,,90-87,,Defensive rebound by Team
2:49.0,Loose ball foul by J. Randle (drawn by R. Lopez),,90-87,,
2:49.0,LA Lakers full timeout,,90-87,,
2:49.0,,,90-88,1,R. Lopez makes free throw 1 of 2
2:49.0,,,90-89,1,R. Lopez makes free throw 2 of 2
2:24.0,J. Randle misses 3-pt shot from 25 ft,,90-89,,
2:24.0,,,90-89,,Defensive rebound by J. Calderon
2:12.0,,,90-89,,C. Anthony misses 2-pt shot from 13 ft
2:11.0,,,90-89,,Offensive rebound by R. Lopez
2:00.0,,,90-92,3,L. Galloway makes 3-pt shot from 25 ft (assist by J. Calderon)
1:42.0,K. Bryant misses 2-pt shot from 21 ft,,90-92,,
1:41.0,,,90-92,,Defensive rebound by L. Galloway
1:26.0,Personal foul by K. Bryant (drawn by C. Anthony),,90-92,,
1:26.0,,,90-93,1,C. Anthony makes free throw 1 of 2
1:26.0,L. Williams enters the game for D. Russell,,90-93,,
1:26.0,,,90-94,1,C. Anthony makes free throw 2 of 2
1:26.0,LA Lakers full timeout,,90-94,,
1:21.0,J. Clarkson misses 2-pt shot from 17 ft,,90-94,,
1:20.0,,,90-94,,Defensive rebound by K. Porzingis
1:19.0,Personal foul by J. Randle (drawn by K. Porzingis),,90-94,,
1:19.0,,,90-95,1,K. Porzingis makes free throw 1 of 2
1:19.0,,,90-96,1,K. Porzingis makes free throw 2 of 2
1:12.0,L. Williams misses 3-pt shot from 24 ft,,90-96,,
1:11.0,,,90-96,,Defensive rebound by K. Porzingis
1:08.0,,,90-96,,New York full timeout
0:49.0,,,90-96,,Shooting foul by K. Bryant (drawn by C. Anthony)
0:49.0,,,90-97,1,C. Anthony makes free throw 1 of 2
0:49.0,,,90-98,1,C. Anthony makes free throw 2 of 2
0:49.0,LA Lakers full timeout,,90-98,,
0:49.0,N. Young enters the game for J. Randle,,90-98,,
0:43.0,,,90-98,,L. Thomas enters the game for K. Porzingis
0:40.0,K. Bryant misses 3-pt shot from 27 ft,,90-98,,
0:38.0,Offensive rebound by Team,,90-98,,
0:36.0,L. Williams misses 3-pt shot from 25 ft,,90-98,,
0:33.0,Offensive rebound by Team,,90-98,,
0:30.0,J. Clarkson misses 3-pt shot from 23 ft,,90-98,,
0:30.0,Offensive rebound by L. Williams,,90-98,,
0:27.0,L. Williams misses 2-pt shot from 1 ft,,90-98,,
0:26.0,Offensive rebound by R. Hibbert,,90-98,,
0:25.0,R. Hibbert makes 2-pt shot from 1 ft,2,92-98,,
0:15.0,Personal take foul by R. Hibbert (drawn by L. Thomas),,92-98,,
0:15.0,,,92-99,1,L. Thomas makes free throw 1 of 2
0:15.0,,,92-99,,L. Thomas misses free throw 2 of 2
0:13.0,Defensive rebound by R. Hibbert,,92-99,,
0:06.0,N. Young makes 3-pt shot from 25 ft,3,95-99,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
