time,Cleveland,pts.away,score,pts.home,Minnesota
1:51.0,J. Cunningham makes free throw 1 of 2,1,120-94,,
1:51.0,,,120-94,,A. Payne enters the game for K. Towns
1:51.0,J. Cunningham makes free throw 2 of 2,1,121-94,,
1:37.0,,,121-94,,A. Payne misses 3-pt shot from 24 ft
1:36.0,Defensive rebound by I. Shumpert,,121-94,,
1:30.0,T. Mozgov makes 2-pt shot at rim (assist by R. Jefferson),2,123-94,,
1:20.0,,,123-97,3,A. Wiggins makes 3-pt shot from 25 ft
0:58.0,I. Shumpert makes 2-pt shot from 17 ft (assist by R. Jefferson),2,125-97,,
0:50.0,,,125-97,,S. Muhammad misses 2-pt shot from 6 ft
0:49.0,Defensive rebound by J. Cunningham,,125-97,,
0:37.0,R. Jefferson misses 3-pt shot from 25 ft,,125-97,,
0:36.0,,,125-97,,Defensive rebound by N. Bjelica
0:25.0,,,125-99,2,A. Payne makes 2-pt shot from 18 ft (assist by A. Wiggins)
0:01.0,Turnover by Team (shot clock),,125-99,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
