time,Portland,pts.away,score,pts.home,Miami
1:12.0,Defensive rebound by A. Aminu,,106-110,,
1:01.0,Turnover by D. Lillard (bad pass),,106-110,,
1:01.0,,,106-110,,Miami full timeout
1:01.0,E. Davis enters the game for C. McCollum,,106-110,,
0:44.0,,,106-112,2,H. Whiteside makes 2-pt shot at rim (assist by D. Wade)
0:44.0,Portland full timeout,,106-112,,
0:44.0,C. McCollum enters the game for M. Plumlee,,106-112,,
0:44.0,M. Leonard enters the game for E. Davis,,106-112,,
0:44.0,,,106-112,,L. Deng enters the game for B. Udrih
0:41.0,,,106-112,,Personal block foul by H. Whiteside (drawn by D. Lillard)
0:41.0,D. Lillard misses free throw 1 of 2,,106-112,,
0:41.0,Offensive rebound by Team,,106-112,,
0:41.0,,,106-112,,B. Udrih enters the game for L. Deng
0:41.0,E. Davis enters the game for M. Leonard,,106-112,,
0:41.0,M. Plumlee enters the game for C. McCollum,,106-112,,
0:41.0,D. Lillard makes free throw 2 of 2,1,107-112,,
0:36.0,Personal foul by A. Aminu (drawn by D. Wade),,107-112,,
0:36.0,,,107-113,1,D. Wade makes free throw 1 of 2
0:36.0,M. Leonard enters the game for M. Plumlee,,107-113,,
0:36.0,C. McCollum enters the game for E. Davis,,107-113,,
0:36.0,,,107-113,,L. Deng enters the game for B. Udrih
0:36.0,,,107-114,1,D. Wade makes free throw 2 of 2
0:31.0,C. McCollum makes 2-pt shot from 6 ft,2,109-114,,
0:31.0,,,109-114,,Miami full timeout
0:31.0,E. Davis enters the game for C. McCollum,,109-114,,
0:31.0,M. Plumlee enters the game for D. Lillard,,109-114,,
0:31.0,T. Frazier enters the game for M. Leonard,,109-114,,
0:31.0,,,109-114,,B. Udrih enters the game for L. Deng
0:29.0,Personal foul by E. Davis (drawn by D. Wade),,109-114,,
0:29.0,,,109-115,1,D. Wade makes free throw 1 of 2
0:29.0,,,109-116,1,D. Wade makes free throw 2 of 2
0:29.0,Portland full timeout,,109-116,,
0:29.0,C. McCollum enters the game for A. Aminu,,109-116,,
0:29.0,M. Leonard enters the game for E. Davis,,109-116,,
0:29.0,D. Lillard enters the game for T. Frazier,,109-116,,
0:29.0,,,109-116,,L. Deng enters the game for H. Whiteside
0:29.0,,,109-116,,J. Winslow enters the game for B. Udrih
0:25.0,D. Lillard misses 3-pt shot from 24 ft,,109-116,,
0:24.0,,,109-116,,Defensive rebound by G. Green
0:00.0,End of 4th quarter,,,,End of 4th quarter
