time,Oklahoma City,pts.away,score,pts.home,New York
3:50.0,,,104-104,,L. Galloway misses 2-pt shot from 1 ft
3:48.0,Defensive rebound by D. Waiters,,104-104,,
3:40.0,Turnover by D. Waiters (lost ball; steal by D. Williams),,104-104,,
3:21.0,,,104-104,,D. Williams misses 2-pt shot from 7 ft
3:20.0,Defensive rebound by S. Ibaka,,104-104,,
3:13.0,,,104-104,,A. Afflalo enters the game for J. Grant
2:59.0,K. Durant makes 2-pt shot at rim,2,106-104,,
2:36.0,,,106-106,2,L. Galloway makes 2-pt shot from 2 ft (assist by K. Porzingis)
2:16.0,K. Durant makes 3-pt shot from 23 ft (assist by R. Westbrook),3,109-106,,
1:50.0,,,109-109,3,L. Galloway makes 3-pt shot from 25 ft
1:50.0,Oklahoma City full timeout,,109-109,,
1:36.0,K. Durant misses 2-pt shot from 17 ft,,109-109,,
1:34.0,,,109-109,,Defensive rebound by D. Williams
1:28.0,,,109-109,,New York full timeout
1:13.0,,,109-111,2,K. Porzingis makes 2-pt shot from 1 ft
1:03.0,Turnover by R. Westbrook (bad pass; steal by L. Galloway),,109-111,,
0:59.0,,,109-113,2,D. Williams makes 2-pt shot at rim (assist by L. Galloway)
0:59.0,Oklahoma City full timeout,,109-113,,
0:52.0,K. Durant misses 2-pt shot from 1 ft,,109-113,,
0:50.0,Offensive rebound by S. Ibaka,,109-113,,
0:49.0,S. Ibaka makes 2-pt shot from 5 ft,2,111-113,,
0:43.0,,,111-113,,New York full timeout
0:27.0,,,111-113,,A. Afflalo misses 2-pt shot from 11 ft
0:25.0,Defensive rebound by S. Ibaka,,111-113,,
0:16.0,K. Durant makes 2-pt shot from 13 ft (assist by R. Westbrook),2,113-113,,
0:16.0,,,113-113,,New York full timeout
0:01.0,,,113-113,,A. Afflalo misses 2-pt shot from 13 ft
0:00.0,,,113-113,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
4:50.0,R. Westbrook makes 2-pt shot from 2 ft,2,115-113,,
4:31.0,,,115-113,,A. Afflalo misses 2-pt shot from 5 ft
4:29.0,Defensive rebound by S. Ibaka,,115-113,,
4:15.0,R. Westbrook misses 2-pt shot from 1 ft (block by K. Porzingis),,115-113,,
4:14.0,Offensive rebound by S. Adams,,115-113,,
4:10.0,R. Westbrook misses 2-pt shot from 13 ft,,115-113,,
4:08.0,Offensive rebound by R. Westbrook,,115-113,,
4:00.0,K. Durant misses 3-pt shot from 24 ft,,115-113,,
3:58.0,,,115-113,,Defensive rebound by L. Galloway
3:53.0,,,115-113,,Shooting foul by K. Durant (drawn by K. Porzingis)
3:53.0,,,115-114,1,K. Porzingis makes free throw 1 of 2
3:53.0,,,115-114,,J. Grant enters the game for A. Afflalo
3:53.0,,,115-114,,K. Porzingis misses free throw 2 of 2
3:51.0,Defensive rebound by K. Durant,,115-114,,
3:42.0,K. Durant makes 2-pt shot from 4 ft (assist by R. Westbrook),2,117-114,,
3:25.0,,,117-114,,L. Galloway misses 2-pt shot from 16 ft
3:23.0,Defensive rebound by K. Durant,,117-114,,
3:20.0,Shooting foul by L. Thomas (drawn by K. Durant),,117-114,,
3:20.0,K. Durant misses free throw 1 of 2,,117-114,,
3:20.0,Offensive rebound by Team,,117-114,,
3:20.0,,,117-114,,A. Afflalo enters the game for J. Grant
3:20.0,K. Durant makes free throw 2 of 2,1,118-114,,
2:57.0,,,118-114,,Shooting foul by D. Waiters (drawn by A. Afflalo)
2:57.0,,,118-115,1,A. Afflalo makes free throw 1 of 2
2:57.0,,,118-116,1,A. Afflalo makes free throw 2 of 2
2:45.0,K. Durant misses 2-pt shot from 6 ft,,118-116,,
2:43.0,Offensive rebound by S. Adams,,118-116,,
2:43.0,S. Adams misses 2-pt shot from 1 ft,,118-116,,
2:42.0,Offensive rebound by S. Ibaka,,118-116,,
2:41.0,S. Ibaka makes 2-pt shot at rim,2,120-116,,
2:21.0,,,120-116,,K. Porzingis misses 3-pt shot from 24 ft
2:19.0,Defensive rebound by R. Westbrook,,120-116,,
2:07.0,S. Ibaka misses 2-pt shot from 17 ft,,120-116,,
2:05.0,,,120-116,,Defensive rebound by L. Galloway
1:43.0,,,120-119,3,L. Galloway makes 3-pt shot from 25 ft (assist by D. Williams)
1:43.0,Oklahoma City full timeout,,120-119,,
1:43.0,,,120-119,,K. Seraphin enters the game for K. Porzingis
1:30.0,K. Durant misses 3-pt shot from 24 ft,,120-119,,
1:28.0,,,120-119,,Defensive rebound by L. Thomas
1:12.0,,,120-119,,A. Afflalo misses 2-pt shot from 1 ft
1:10.0,Defensive rebound by S. Adams,,120-119,,
1:04.0,R. Westbrook makes 2-pt shot from 12 ft,2,122-119,,
1:04.0,,,122-119,,New York full timeout
1:04.0,,,122-119,,K. Porzingis enters the game for K. Seraphin
0:48.0,,,122-119,,D. Williams misses 2-pt shot from 1 ft (block by S. Ibaka)
0:45.0,Defensive rebound by K. Durant,,122-119,,
0:35.0,Turnover by K. Durant (bad pass),,122-119,,
0:27.0,,,122-119,,Shooting foul by R. Westbrook (drawn by L. Galloway)
0:27.0,,,122-119,,L. Galloway misses free throw 1 of 2
0:27.0,,,122-119,,Offensive rebound by Team
0:27.0,A. Morrow enters the game for S. Adams,,122-119,,
0:27.0,,,122-120,1,L. Galloway makes free throw 2 of 2
0:27.0,Oklahoma City full timeout,,122-120,,
0:27.0,,,122-120,,J. Grant enters the game for A. Afflalo
0:27.0,Oklahoma City full timeout,,122-120,,
0:26.0,,,122-120,,Personal take foul by L. Galloway (drawn by R. Westbrook)
0:25.0,,,122-120,,Personal foul by L. Thomas (drawn by K. Durant)
0:25.0,K. Durant makes free throw 1 of 2,1,123-120,,
0:25.0,S. Adams enters the game for A. Morrow,,123-120,,
0:25.0,K. Durant makes free throw 2 of 2,1,124-120,,
0:25.0,,,124-120,,New York full timeout
0:25.0,,,124-120,,A. Afflalo enters the game for J. Grant
0:19.0,,,124-122,2,A. Afflalo makes 2-pt shot from 1 ft
0:15.0,,,124-122,,Personal take foul by L. Thomas (drawn by K. Durant)
0:15.0,,,124-122,,R. Lopez enters the game for L. Thomas
0:15.0,K. Durant makes free throw 1 of 2,1,125-122,,
0:15.0,K. Durant makes free throw 2 of 2,1,126-122,,
0:15.0,,,126-122,,New York full timeout
0:15.0,,,126-122,,S. Vujacic enters the game for R. Lopez
0:10.0,,,126-122,,A. Afflalo misses 3-pt shot from 25 ft
0:08.0,Defensive rebound by S. Ibaka,,126-122,,
0:07.0,,,126-122,,Personal take foul by K. Porzingis (drawn by S. Ibaka)
0:07.0,S. Ibaka makes free throw 1 of 2,1,127-122,,
0:07.0,S. Ibaka makes free throw 2 of 2,1,128-122,,
0:02.0,,,128-122,,L. Galloway misses 3-pt shot from 26 ft
0:00.0,,,128-122,,Offensive rebound by Team
0:00.0,End of 1st overtime,,,,End of 1st overtime
