time,Toronto,pts.away,score,pts.home,Oklahoma City
3:36.0,Shooting foul by S. Ibaka (drawn by D. DeRozan),,87-94,,
3:36.0,D. DeRozan makes free throw 1 of 2,1,88-94,,
3:36.0,D. DeRozan makes free throw 2 of 2,1,89-94,,
3:26.0,,,89-94,,Shooting foul by J. Valanciunas (drawn by R. Westbrook)
3:26.0,,,89-95,1,R. Westbrook makes free throw 1 of 2
3:26.0,,,89-95,,R. Westbrook misses free throw 2 of 2
3:25.0,Defensive rebound by C. Joseph,,89-95,,
3:10.0,D. DeRozan makes 2-pt shot from 3 ft,2,91-95,,
2:44.0,,,91-95,,R. Westbrook misses 3-pt shot from 27 ft
2:43.0,Defensive rebound by J. Valanciunas,,91-95,,
2:24.0,Turnover by K. Lowry (bad pass; steal by R. Westbrook),,91-95,,
2:18.0,,,91-95,,Shooting foul by K. Lowry (drawn by S. Ibaka)
2:18.0,,,91-95,,Oklahoma City full timeout
2:18.0,,,91-96,1,S. Ibaka makes free throw 1 of 2
2:18.0,,,91-97,1,S. Ibaka makes free throw 2 of 2
2:11.0,,,91-97,,Personal foul by A. Roberson (drawn by J. Valanciunas)
2:11.0,J. Valanciunas makes free throw 1 of 2,1,92-97,,
2:11.0,J. Valanciunas makes free throw 2 of 2,1,93-97,,
1:57.0,,,93-97,,D. Waiters misses 3-pt shot from 24 ft
1:57.0,Defensive rebound by D. Carroll,,93-97,,
1:36.0,K. Lowry makes 2-pt shot from 2 ft,2,95-97,,
1:25.0,,,95-97,,Oklahoma City full timeout
1:25.0,,,95-97,,A. Morrow enters the game for A. Roberson
1:17.0,,,95-97,,R. Westbrook misses 2-pt shot from 2 ft
1:17.0,Defensive rebound by J. Valanciunas,,95-97,,
1:17.0,,,95-97,,Personal foul by S. Ibaka (drawn by J. Valanciunas)
1:17.0,J. Valanciunas makes free throw 1 of 2,1,96-97,,
1:17.0,J. Valanciunas makes free throw 2 of 2,1,97-97,,
0:59.0,,,97-97,,K. Durant misses 2-pt shot from 13 ft
0:58.0,Defensive rebound by K. Lowry,,97-97,,
0:47.0,D. DeRozan makes 2-pt shot from 1 ft,2,99-97,,
0:47.0,,,99-97,,Oklahoma City full timeout
0:38.0,,,99-97,,R. Westbrook misses 2-pt shot from 1 ft
0:37.0,Defensive rebound by D. DeRozan,,99-97,,
0:17.0,D. DeRozan misses 2-pt shot from 4 ft,,99-97,,
0:17.0,Offensive rebound by D. Carroll,,99-97,,
0:17.0,,,99-97,,Personal foul by R. Westbrook (drawn by D. Carroll)
0:17.0,D. Carroll makes free throw 1 of 2,1,100-97,,
0:17.0,D. Carroll makes free throw 2 of 2,1,101-97,,
0:17.0,,,101-97,,Oklahoma City full timeout
0:14.0,,,101-97,,Shooting foul by J. Valanciunas (drawn by K. Durant)
0:14.0,,,101-98,1,K. Durant makes free throw 1 of 2
0:14.0,,,101-98,,K. Durant misses free throw 2 of 2
0:12.0,Defensive rebound by J. Valanciunas,,101-98,,
0:11.0,Jump ball: S. Ibaka vs. J. Valanciunas (D. DeRozan gains possession),,,,Jump ball: S. Ibaka vs. J. Valanciunas (D. DeRozan gains possession)
0:09.0,,,101-98,,Personal take foul by A. Morrow (drawn by D. DeRozan)
0:09.0,D. DeRozan makes free throw 1 of 2,1,102-98,,
0:09.0,D. DeRozan makes free throw 2 of 2,1,103-98,,
0:07.0,,,103-98,,Turnover by R. Westbrook (lost ball; steal by D. Carroll)
0:00.0,End of 4th quarter,,,,End of 4th quarter
