time,Detroit,pts.away,score,pts.home,Atlanta
5:45.0,Detroit full timeout,,37-42,,
5:45.0,,,37-42,,T. Sefolosha enters the game for K. Bazemore
5:45.0,,,37-42,,P. Millsap enters the game for A. Horford
5:45.0,,,37-42,,M. Muscala enters the game for K. Korver
5:45.0,,,37-42,,D. Schroder enters the game for M. Scott
5:45.0,E. Ilyasova enters the game for S. Blake,,37-42,,
5:45.0,R. Jackson enters the game for A. Tolliver,,37-42,,
5:45.0,,,37-42,,Personal foul by M. Muscala
5:45.0,A. Drummond misses free throw 1 of 2,,37-42,,
5:45.0,Offensive rebound by Team,,37-42,,
5:45.0,,,37-42,,T. Splitter enters the game for M. Muscala
5:45.0,A. Drummond makes free throw 2 of 2,1,38-42,,
5:44.0,Personal take foul by S. Johnson (drawn by D. Schroder),,38-42,,
5:44.0,A. Baynes enters the game for A. Drummond,,38-42,,
5:22.0,,,38-45,3,P. Millsap makes 3-pt shot from 25 ft (assist by D. Schroder)
5:09.0,Shooting foul by D. Schroder (drawn by R. Jackson),,38-45,,
5:09.0,R. Jackson misses free throw 1 of 3,,38-45,,
5:09.0,Offensive rebound by Team,,38-45,,
5:09.0,R. Jackson makes free throw 2 of 3,1,39-45,,
5:09.0,M. Morris enters the game for S. Johnson,,39-45,,
5:09.0,R. Jackson makes free throw 3 of 3,1,40-45,,
4:55.0,,,40-45,,J. Teague misses 3-pt shot from 24 ft
4:53.0,,,40-45,,Offensive rebound by D. Schroder
4:33.0,,,40-45,,T. Splitter misses 2-pt shot from 2 ft
4:32.0,Defensive rebound by A. Baynes,,40-45,,
4:25.0,Turnover by R. Jackson (lost ball; steal by J. Teague),,40-45,,
4:21.0,,,40-45,,J. Teague misses 2-pt shot from 1 ft
4:14.0,,,40-45,,Offensive rebound by J. Teague
4:12.0,,,40-47,2,T. Splitter makes 2-pt shot from 1 ft (assist by J. Teague)
4:01.0,R. Jackson misses 2-pt shot from 5 ft,,40-47,,
3:59.0,,,40-47,,Defensive rebound by D. Schroder
3:54.0,,,40-47,,Shooting foul by E. Ilyasova (drawn by P. Millsap)
3:54.0,,,40-47,,P. Millsap misses free throw 1 of 2
3:54.0,,,40-47,,Offensive rebound by Team
