time,Portland,pts.away,score,pts.home,Brooklyn
1:06.0,,,112-102,,T. Young misses 2-pt shot from 2 ft
1:05.0,,,112-102,,Offensive rebound by B. Lopez
1:04.0,,,112-102,,B. Lopez misses 2-pt shot from 2 ft
1:03.0,,,112-102,,Offensive rebound by T. Young
1:03.0,,,112-104,2,T. Young makes 2-pt shot at rim
0:47.0,D. Lillard makes 2-pt shot from 4 ft,2,114-104,,
0:37.0,,,114-104,,Turnover by D. Sloan (bad pass; steal by C. McCollum)
0:35.0,A. Crabbe makes 2-pt shot at rim (assist by C. McCollum),2,116-104,,
0:35.0,,,116-104,,Brooklyn full timeout
0:35.0,,,116-104,,T. Robinson enters the game for J. Johnson
0:35.0,,,116-104,,S. Karasev enters the game for T. Young
0:35.0,,,116-104,,B. Bogdanovic enters the game for B. Lopez
0:35.0,,,116-104,,S. Larkin enters the game for W. Ellington
0:35.0,,,116-104,,M. Brown enters the game for D. Sloan
0:35.0,T. Frazier enters the game for C. McCollum,,116-104,,
0:35.0,M. Leonard enters the game for D. Lillard,,116-104,,
0:35.0,P. Connaughton enters the game for E. Davis,,116-104,,
0:28.0,,,116-104,,B. Bogdanovic misses 2-pt shot from 2 ft (block by A. Aminu)
0:26.0,Defensive rebound by A. Crabbe,,116-104,,
0:21.0,T. Frazier misses 2-pt shot from 2 ft (block by S. Larkin),,116-104,,
0:21.0,,,116-104,,Defensive rebound by Team
0:13.0,,,116-104,,S. Karasev misses 3-pt shot from 24 ft
0:12.0,Defensive rebound by P. Connaughton,,116-104,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
