time,Phoenix,pts.away,score,pts.home,Minnesota
4:02.0,,,79-106,,Shooting foul by M. Morris (drawn by G. Dieng)
4:02.0,,,79-107,1,G. Dieng makes free throw 1 of 2
4:02.0,,,79-108,1,G. Dieng makes free throw 2 of 2
3:52.0,S. Weems makes 2-pt shot from 19 ft,2,81-108,,
3:37.0,,,81-108,,Z. LaVine misses 3-pt shot from 24 ft
3:36.0,Defensive rebound by M. Morris,,81-108,,
3:23.0,Turnover by J. Leuer (lost ball; steal by Z. LaVine),,81-108,,
3:13.0,,,81-108,,Shooting foul by M. Morris (drawn by A. Miller)
3:13.0,,,81-109,1,A. Miller makes free throw 1 of 2
3:13.0,L. Brown enters the game for B. Knight,,81-109,,
3:13.0,T. Warren enters the game for M. Morris,,81-109,,
3:13.0,,,81-109,,A. Payne enters the game for G. Dieng
3:13.0,,,81-109,,A. Miller misses free throw 2 of 2
3:13.0,Defensive rebound by J. Leuer,,81-109,,
2:54.0,Turnover by S. Weems (bad pass),,81-109,,
2:54.0,,,81-109,,Minnesota full timeout
2:42.0,,,81-111,2,Z. LaVine makes 2-pt shot at rim (assist by A. Miller)
2:29.0,Turnover by L. Brown (bad pass; steal by Z. LaVine),,81-111,,
2:26.0,,,81-111,,Shooting foul by J. Leuer (drawn by Z. LaVine)
2:26.0,,,81-111,,Z. LaVine misses free throw 1 of 2
2:26.0,,,81-111,,Offensive rebound by Team
2:26.0,,,81-112,1,Z. LaVine makes free throw 2 of 2
2:15.0,T. Warren misses 3-pt shot from 25 ft,,81-112,,
2:14.0,,,81-112,,Defensive rebound by Z. LaVine
2:06.0,,,81-114,2,S. Muhammad makes 2-pt shot at rim (assist by Z. LaVine)
1:52.0,A. Goodwin misses 2-pt shot from 18 ft,,81-114,,
1:51.0,,,81-114,,Defensive rebound by A. Payne
1:46.0,,,81-114,,Turnover by A. Miller (lost ball)
1:35.0,T. Warren makes 2-pt shot from 1 ft (assist by L. Brown),2,83-114,,
1:23.0,,,83-114,,Shooting foul by T. Warren (drawn by N. Bjelica)
1:23.0,,,83-114,,N. Bjelica misses free throw 1 of 2
1:23.0,,,83-114,,Offensive rebound by Team
1:23.0,,,83-115,1,N. Bjelica makes free throw 2 of 2
1:16.0,L. Brown misses 2-pt shot at rim,,83-115,,
1:15.0,,,83-115,,Defensive rebound by S. Muhammad
0:58.0,,,83-117,2,A. Payne makes 2-pt shot from 7 ft
0:51.0,A. Goodwin misses 2-pt shot from 1 ft (block by N. Bjelica),,83-117,,
0:51.0,Offensive rebound by Team,,83-117,,
0:36.0,Shooting foul by Z. LaVine (drawn by J. Leuer),,83-117,,
0:36.0,J. Leuer misses free throw 1 of 2,,83-117,,
0:36.0,Offensive rebound by Team,,83-117,,
0:36.0,J. Leuer makes free throw 2 of 2,1,84-117,,
0:12.0,,,84-117,,Turnover by Team (shot clock)
0:06.0,A. Goodwin makes 3-pt shot from 24 ft,3,87-117,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
