time,Phoenix,pts.away,score,pts.home,Washington
1:42.0,,,103-104,1,O. Porter makes free throw 1 of 1
1:26.0,Turnover by R. Price (bad pass),,103-104,,
1:16.0,,,103-104,,Turnover by O. Porter (traveling)
1:16.0,Phoenix full timeout,,103-104,,
1:05.0,Turnover by P. Tucker (traveling),,103-104,,
1:05.0,,,103-104,,Washington full timeout
0:48.0,,,103-106,2,B. Beal makes 2-pt shot from 6 ft
0:32.0,B. Knight misses 2-pt shot from 7 ft,,103-106,,
0:30.0,Offensive rebound by P. Tucker,,103-106,,
0:29.0,Phoenix full timeout,,103-106,,
0:16.0,E. Bledsoe makes 2-pt shot at rim,2,105-106,,
0:12.0,Personal take foul by R. Price (drawn by B. Beal),,105-106,,
0:12.0,,,105-107,1,B. Beal makes free throw 1 of 2
0:12.0,,,105-108,1,B. Beal makes free throw 2 of 2
0:12.0,Phoenix full timeout,,105-108,,
0:12.0,M. Teletovic enters the game for R. Price,,105-108,,
0:09.0,Shooting foul by B. Beal (drawn by B. Knight),,105-108,,
0:09.0,B. Knight misses free throw 1 of 3,,105-108,,
0:09.0,Offensive rebound by Team,,105-108,,
0:09.0,B. Knight makes free throw 2 of 3,1,106-108,,
0:09.0,,,106-108,,R. Hollins enters the game for R. Sessions
0:09.0,Violation by Team (delay of game),,106-108,,
0:09.0,Technical foul by Team,,106-108,,
0:09.0,,,106-108,,B. Beal misses technical free throw
0:09.0,Offensive rebound by Team,,106-108,,
0:09.0,T. Warren enters the game for M. Teletovic,,106-108,,
0:09.0,B. Knight misses free throw 3 of 3,,106-108,,
0:08.0,,,106-108,,Defensive rebound by B. Beal
0:08.0,,,106-108,,Washington full timeout
0:08.0,,,106-108,,R. Sessions enters the game for R. Hollins
0:06.0,Personal take foul by P. Tucker (drawn by G. Temple),,106-108,,
0:06.0,D. Booker enters the game for P. Tucker,,106-108,,
0:06.0,M. Teletovic enters the game for T. Warren,,106-108,,
0:06.0,,,106-109,1,G. Temple makes free throw 1 of 2
0:06.0,,,106-109,,G. Temple misses free throw 2 of 2
0:06.0,Defensive rebound by M. Morris,,106-109,,
0:01.0,E. Bledsoe misses 3-pt shot from 25 ft,,106-109,,
0:00.0,Offensive rebound by M. Teletovic,,106-109,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
