time,Denver,pts.away,score,pts.home,Indiana
2:20.0,Offensive rebound by K. Faried,,95-96,,
2:19.0,K. Faried makes 2-pt shot from 1 ft,2,97-96,,
1:57.0,,,97-98,2,P. George makes 2-pt shot from 18 ft
1:38.0,D. Gallinari makes 2-pt shot from 19 ft,2,99-98,,
1:23.0,,,99-98,,Shooting foul by K. Faried (drawn by M. Ellis)
1:23.0,,,99-98,,M. Ellis misses free throw 1 of 2
1:23.0,,,99-98,,Offensive rebound by Team
1:23.0,,,99-99,1,M. Ellis makes free throw 2 of 2
1:00.0,K. Faried misses 2-pt shot from 3 ft (block by J. Hill),,99-99,,
1:00.0,Offensive rebound by K. Faried,,99-99,,
0:57.0,K. Faried misses 2-pt shot from 2 ft,,99-99,,
0:56.0,,,99-99,,Defensive rebound by G. Hill
0:44.0,,,99-99,,Turnover by M. Ellis (lost ball; steal by N. Jokic)
0:25.0,G. Harris misses 3-pt shot from 23 ft,,99-99,,
0:24.0,,,99-99,,Defensive rebound by J. Hill
0:23.0,,,99-99,,Indiana full timeout
0:23.0,D. Arthur enters the game for N. Jokic,,99-99,,
0:00.0,,,99-99,,M. Ellis misses 3-pt shot from 26 ft
0:00.0,,,99-99,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
4:37.0,N. Jokic misses 2-pt shot from 8 ft (block by J. Hill),,99-99,,
4:36.0,,,99-99,,Defensive rebound by M. Ellis
4:17.0,,,99-99,,M. Ellis misses 2-pt shot from 19 ft
4:16.0,Defensive rebound by N. Jokic,,99-99,,
4:15.0,,,99-99,,Personal foul by M. Turner (drawn by N. Jokic)
4:03.0,Offensive foul by N. Jokic,,99-99,,
4:03.0,Turnover by N. Jokic (offensive foul),,99-99,,
3:44.0,,,99-102,3,P. George makes 3-pt shot from 25 ft (assist by M. Ellis)
3:21.0,D. Gallinari misses 2-pt shot from 22 ft,,99-102,,
3:21.0,,,99-102,,Defensive rebound by M. Ellis
3:12.0,,,99-104,2,J. Hill makes 2-pt shot from 16 ft (assist by M. Ellis)
3:10.0,Denver full timeout,,99-104,,
3:02.0,K. Faried makes 2-pt shot from 2 ft (assist by E. Mudiay),2,101-104,,
2:39.0,,,101-104,,M. Ellis misses 2-pt shot from 18 ft
2:38.0,,,101-104,,Offensive rebound by M. Turner
2:34.0,,,101-104,,G. Hill misses 3-pt shot from 23 ft
2:34.0,Defensive rebound by E. Mudiay,,101-104,,
2:29.0,Turnover by G. Harris (bad pass; steal by M. Ellis),,101-104,,
2:20.0,Jump ball: K. Faried vs. M. Turner (P. George gains possession),,,,Jump ball: K. Faried vs. M. Turner (P. George gains possession)
2:13.0,,,101-104,,Shooting foul by G. Harris (drawn by M. Turner)
2:13.0,,,101-104,,M. Turner misses free throw 1 of 2
2:13.0,,,101-104,,Offensive rebound by Team
2:13.0,,,101-104,,M. Turner misses free throw 2 of 2
2:12.0,Defensive rebound by N. Jokic,,101-104,,
1:59.0,D. Gallinari misses 3-pt shot from 24 ft,,101-104,,
1:58.0,,,101-104,,Defensive rebound by J. Hill
1:40.0,,,101-106,2,M. Ellis makes 2-pt shot from 3 ft
1:40.0,Denver full timeout,,101-106,,
1:29.0,D. Gallinari makes 2-pt shot from 3 ft,2,103-106,,
1:14.0,,,103-106,,P. George misses 2-pt shot from 23 ft
1:13.0,Defensive rebound by K. Faried,,103-106,,
1:04.0,E. Mudiay makes 2-pt shot from 1 ft,2,105-106,,
0:54.0,,,105-106,,Indiana full timeout
0:45.0,,,105-106,,M. Turner misses 2-pt shot from 19 ft
0:44.0,Defensive rebound by E. Mudiay,,105-106,,
0:32.0,,,105-106,,Personal foul by P. George (drawn by D. Gallinari)
0:32.0,Denver full timeout,,105-106,,
0:28.0,Turnover by D. Gallinari (step out of bounds),,105-106,,
0:28.0,,,105-106,,Indiana full timeout
0:28.0,D. Arthur enters the game for N. Jokic,,105-106,,
0:27.0,Personal take foul by G. Harris (drawn by M. Ellis),,105-106,,
0:20.0,,,105-108,2,M. Ellis makes 2-pt shot from 2 ft
0:20.0,,,105-108,,Shooting foul by K. Faried (drawn by M. Ellis)
0:20.0,,,105-108,,S. Hill enters the game for J. Hill
0:20.0,,,105-109,1,M. Ellis makes free throw 1 of 1
0:00.0,End of 1st overtime,,,,End of 1st overtime
