time,Milwaukee,pts.away,score,pts.home,Utah
1:32.0,Milwaukee full timeout,,75-82,,
1:29.0,Shooting foul by R. Hood (drawn by G. Antetokounmpo),,75-82,,
1:29.0,G. Antetokounmpo misses free throw 1 of 2,,75-82,,
1:29.0,Offensive rebound by Team,,75-82,,
1:29.0,G. Antetokounmpo misses free throw 2 of 2,,75-82,,
1:28.0,,,75-82,,Defensive rebound by D. Favors
1:08.0,,,75-82,,Turnover by D. Favors (bad pass; steal by G. Antetokounmpo)
0:55.0,G. Antetokounmpo misses 2-pt shot from 4 ft,,75-82,,
0:54.0,,,75-82,,Defensive rebound by D. Favors
0:52.0,Personal foul by G. Antetokounmpo (drawn by D. Favors),,75-82,,
0:52.0,,,75-83,1,D. Favors makes free throw 1 of 2
0:52.0,,,75-83,,D. Favors misses free throw 2 of 2
0:52.0,Defensive rebound by J. Parker,,75-83,,
0:50.0,Milwaukee full timeout,,75-83,,
0:47.0,Shooting foul by R. Hood (drawn by K. Middleton),,75-83,,
0:47.0,K. Middleton makes free throw 1 of 3,1,76-83,,
0:47.0,K. Middleton makes free throw 2 of 3,1,77-83,,
0:47.0,K. Middleton makes free throw 3 of 3,1,78-83,,
0:32.0,Personal foul by J. Parker (drawn by R. Neto),,78-83,,
0:32.0,,,78-83,,R. Neto misses free throw 1 of 2
0:32.0,,,78-83,,Offensive rebound by Team
0:32.0,,,78-84,1,R. Neto makes free throw 2 of 2
0:32.0,Milwaukee full timeout,,78-84,,
0:25.0,K. Middleton makes 3-pt shot from 23 ft (assist by J. Bayless),3,81-84,,
0:25.0,,,81-84,,Utah full timeout
0:25.0,,,81-84,,J. Ingles enters the game for R. Gobert
0:25.0,M. Carter-Williams enters the game for G. Monroe,,81-84,,
0:22.0,,,81-84,,Turnover by D. Favors (bad pass; steal by K. Middleton)
0:03.0,K. Middleton misses 3-pt shot from 24 ft,,81-84,,
0:01.0,,,81-84,,Defensive rebound by R. Neto
0:00.0,End of 4th quarter,,,,End of 4th quarter
