time,Brooklyn,pts.away,score,pts.home,Oklahoma City
2:33.0,,,93-105,1,S. Ibaka makes free throw 1 of 2
2:33.0,B. Bogdanovic enters the game for J. Johnson,,93-105,,
2:33.0,,,93-106,1,S. Ibaka makes free throw 2 of 2
2:18.0,Turnover by T. Young (bad pass; steal by R. Westbrook),,93-106,,
2:12.0,,,93-108,2,R. Westbrook makes 2-pt shot at rim
1:59.0,T. Young makes 2-pt shot from 7 ft,2,95-108,,
1:47.0,,,95-110,2,S. Ibaka makes 2-pt shot at rim (assist by R. Westbrook)
1:35.0,T. Young misses 2-pt shot from 10 ft,,95-110,,
1:34.0,Offensive rebound by B. Lopez,,95-110,,
1:29.0,B. Lopez makes 2-pt shot from 20 ft (assist by S. Larkin),2,97-110,,
1:16.0,,,97-110,,R. Westbrook misses 2-pt shot from 3 ft
1:15.0,Defensive rebound by T. Young,,97-110,,
1:11.0,R. Hollis-Jefferson makes 2-pt shot at rim (assist by T. Young),2,99-110,,
0:54.0,,,99-110,,S. Ibaka misses 2-pt shot from 19 ft
0:53.0,Defensive rebound by R. Hollis-Jefferson,,99-110,,
0:45.0,R. Hollis-Jefferson misses 2-pt shot from 1 ft,,99-110,,
0:44.0,,,99-110,,Defensive rebound by R. Westbrook
0:21.0,,,99-110,,A. Morrow misses 3-pt shot from 24 ft
0:20.0,Defensive rebound by R. Hollis-Jefferson,,99-110,,
0:00.0,T. Young misses 3-pt shot from 24 ft,,99-110,,
0:00.0,Offensive rebound by Team,,99-110,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
