time,Toronto,pts.away,score,pts.home,Denver
5:46.0,,,76-99,,Turnover by W. Barton (lost ball; steal by A. Bennett)
5:31.0,Turnover by L. Nogueira (lost ball),,76-99,,
5:31.0,D. Wright enters the game for C. Joseph,,76-99,,
5:04.0,,,76-99,,N. Jokic misses 2-pt shot from 18 ft
5:04.0,Defensive rebound by A. Bennett,,76-99,,
4:56.0,D. Wright makes 3-pt shot from 25 ft,3,79-99,,
4:41.0,,,79-99,,W. Barton misses 3-pt shot from 25 ft
4:40.0,Defensive rebound by N. Powell,,79-99,,
4:32.0,N. Powell misses 2-pt shot from 19 ft,,79-99,,
4:29.0,Offensive rebound by A. Bennett,,79-99,,
4:29.0,A. Bennett makes 2-pt shot from 2 ft,2,81-99,,
4:22.0,,,81-99,,Denver full timeout
4:16.0,,,81-99,,G. Harris misses 2-pt shot from 1 ft
4:15.0,,,81-99,,Offensive rebound by N. Jokic
4:15.0,,,81-101,2,N. Jokic makes 2-pt shot at rim
3:57.0,T. Ross makes 2-pt shot from 2 ft,2,83-101,,
3:38.0,,,83-103,2,N. Jokic makes 2-pt shot from 1 ft (assist by G. Harris)
3:25.0,A. Bennett misses 3-pt shot from 26 ft,,83-103,,
3:24.0,,,83-103,,Defensive rebound by G. Harris
3:08.0,,,83-106,3,W. Barton makes 3-pt shot from 25 ft
2:54.0,C. Joseph enters the game for T. Ross,,83-106,,
2:54.0,,,83-106,,J. Lauvergne enters the game for N. Jokic
2:42.0,A. Bennett misses 2-pt shot from 6 ft,,83-106,,
2:41.0,,,83-106,,Defensive rebound by W. Barton
2:28.0,,,83-106,,M. Miller enters the game for G. Harris
2:24.0,,,83-106,,Turnover by R. Foye (bad pass; steal by D. Wright)
2:18.0,N. Powell misses 2-pt shot from 2 ft,,83-106,,
2:17.0,,,83-106,,Defensive rebound by W. Barton
2:02.0,,,83-108,2,J. Lauvergne makes 2-pt shot at rim (assist by W. Barton)
1:47.0,Shooting foul by M. Miller (drawn by N. Powell),,83-108,,
1:47.0,N. Powell makes free throw 1 of 2,1,84-108,,
1:47.0,N. Powell makes free throw 2 of 2,1,85-108,,
1:30.0,,,85-110,2,J. Lauvergne makes 2-pt shot from 19 ft (assist by M. Miller)
1:15.0,C. Joseph makes 3-pt shot from 24 ft (assist by N. Powell),3,88-110,,
1:01.0,,,88-112,2,S. Kilpatrick makes 2-pt shot from 2 ft
0:38.0,N. Powell misses 2-pt shot from 16 ft,,88-112,,
0:36.0,,,88-112,,Defensive rebound by R. Foye
0:18.0,,,88-112,,S. Kilpatrick misses 3-pt shot from 25 ft
0:16.0,Defensive rebound by Team,,88-112,,
0:09.0,D. Wright makes 3-pt shot from 25 ft,3,91-112,,
0:09.0,,,91-112,,Away from play foul by M. Miller
0:09.0,,,91-112,,Technical foul by M. Miller
0:09.0,A. Bennett makes technical free throw,1,92-112,,
0:09.0,A. Bennett makes free throw 1 of 1,1,93-112,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
