time,Memphis,pts.away,score,pts.home,Milwaukee
1:21.0,Shooting foul by R. Vaughn (drawn by M. Barnes),,83-93,,
1:21.0,M. Barnes misses free throw 1 of 2,,83-93,,
1:21.0,Offensive rebound by Team,,83-93,,
1:21.0,M. Barnes makes free throw 2 of 2,1,84-93,,
1:00.0,Violation by J. Green (def goaltending),,84-93,,
1:00.0,,,84-95,2,T. Ennis makes 2-pt shot at rim
0:58.0,T. Allen makes 2-pt shot at rim,2,86-95,,
0:44.0,,,86-95,,R. Vaughn misses 3-pt shot from 24 ft
0:43.0,,,86-95,,Offensive rebound by M. Plumlee
0:43.0,Personal foul by J. Green,,86-95,,
0:43.0,,,86-95,,M. Plumlee misses free throw 1 of 2
0:43.0,,,86-95,,Offensive rebound by Team
0:43.0,,,86-96,1,M. Plumlee makes free throw 2 of 2
0:37.0,L. Stephenson misses 2-pt shot from 2 ft,,86-96,,
0:35.0,,,86-96,,Defensive rebound by R. Vaughn
0:13.0,,,86-96,,D. Inglis misses 3-pt shot from 25 ft
0:10.0,Defensive rebound by M. Barnes,,86-96,,
0:06.0,M. Barnes misses 2-pt shot from 2 ft (block by J. Henson),,86-96,,
0:06.0,Offensive rebound by Team,,86-96,,
0:06.0,,,86-96,,Technical foul by J. Henson
0:06.0,Technical foul by M. Barnes,,86-96,,
0:06.0,,,86-96,,J. O'Bryant enters the game for J. Henson
0:06.0,,,86-96,,Milwaukee full timeout
0:06.0,J. Martin enters the game for M. Barnes,,86-96,,
0:03.0,B. Weber misses 3-pt shot from 24 ft,,86-96,,
0:01.0,,,86-96,,Defensive rebound by R. Vaughn
0:00.0,End of 4th quarter,,,,End of 4th quarter
