time,Dallas,pts.away,score,pts.home,Washington
2:35.0,,,110-97,,B. Beal misses 2-pt shot from 4 ft (block by W. Matthews)
2:32.0,,,110-97,,Offensive rebound by G. Neal
2:21.0,,,110-100,3,G. Neal makes 3-pt shot from 24 ft
1:57.0,R. Felton misses 2-pt shot from 21 ft,,110-100,,
1:55.0,Offensive rebound by J. Evans,,110-100,,
1:51.0,Dallas full timeout,,110-100,,
1:37.0,J. Evans makes 3-pt shot from 26 ft (assist by D. Williams),3,113-100,,
1:14.0,,,113-100,,Shooting foul by J. Jenkins (drawn by R. Sessions)
1:14.0,,,113-100,,Washington full timeout
1:14.0,,,113-100,,G. Temple enters the game for J. Wall
1:14.0,,,113-100,,K. Oubre enters the game for B. Beal
1:14.0,,,113-101,1,R. Sessions makes free throw 1 of 2
1:14.0,,,113-102,1,R. Sessions makes free throw 2 of 2
0:55.0,W. Matthews makes 3-pt shot from 26 ft (assist by D. Williams),3,116-102,,
0:48.0,,,116-104,2,G. Neal makes 2-pt shot from 7 ft
0:48.0,,,116-104,,Shooting foul by J. Jenkins (drawn by G. Neal)
0:48.0,,,116-104,,G. Neal misses free throw 1 of 1
0:48.0,Defensive rebound by W. Matthews,,116-104,,
0:25.0,R. Felton misses 2-pt shot from 3 ft,,116-104,,
0:24.0,,,116-104,,Defensive rebound by R. Sessions
0:19.0,,,116-104,,O. Porter misses 3-pt shot from 26 ft
0:15.0,Defensive rebound by J. Evans,,116-104,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
