time,Toronto,pts.away,score,pts.home,Houston
3:54.0,D. DeRozan misses 2-pt shot from 14 ft,,95-103,,
3:53.0,,,95-103,,Defensive rebound by C. Brewer
3:43.0,,,95-103,,Turnover by T. Ariza (lost ball; steal by J. Valanciunas)
3:30.0,J. Valanciunas misses 2-pt shot from 7 ft,,95-103,,
3:29.0,,,95-103,,Defensive rebound by D. Howard
3:19.0,,,95-103,,Shooting foul by C. Joseph (drawn by D. Howard)
3:19.0,,,95-103,,D. Howard misses free throw 1 of 2
3:19.0,,,95-103,,Offensive rebound by Team
3:19.0,,,95-103,,D. Howard misses free throw 2 of 2
3:19.0,Defensive rebound by J. Valanciunas,,95-103,,
3:06.0,,,95-103,,M. Beasley enters the game for D. Howard
3:06.0,Jump ball: C. Brewer vs. C. Joseph (D. DeRozan gains possession),,,,Jump ball: C. Brewer vs. C. Joseph (D. DeRozan gains possession)
2:59.0,D. DeRozan misses 2-pt shot from 17 ft,,95-103,,
2:58.0,Offensive rebound by D. DeRozan,,95-103,,
2:57.0,D. DeRozan makes 2-pt shot from 1 ft,2,97-103,,
2:55.0,Technical foul by D. DeRozan,,97-103,,
2:55.0,Technical foul by D. DeRozan,,97-103,,
2:55.0,,,97-103,,Houston full timeout
2:55.0,P. Patterson enters the game for D. DeRozan,,97-103,,
2:55.0,,,97-103,,J. Harden misses technical free throw
2:55.0,,,97-103,,Offensive rebound by Team
2:55.0,,,97-104,1,J. Harden makes technical free throw
2:39.0,,,97-104,,J. Harden misses 2-pt shot from 17 ft
2:38.0,Defensive rebound by J. Valanciunas,,97-104,,
2:26.0,K. Lowry misses 3-pt shot from 25 ft,,97-104,,
2:25.0,,,97-104,,Defensive rebound by J. Harden
2:23.0,,,97-104,,Shooting foul by K. Lowry (drawn by M. Beasley)
2:23.0,,,97-104,,M. Beasley misses free throw 1 of 2
2:23.0,,,97-104,,Offensive rebound by Team
2:23.0,,,97-105,1,M. Beasley makes free throw 2 of 2
2:13.0,Shooting foul by M. Beasley (drawn by C. Joseph),,97-105,,
2:13.0,C. Joseph makes free throw 1 of 2,1,98-105,,
2:13.0,C. Joseph makes free throw 2 of 2,1,99-105,,
2:01.0,,,99-107,2,M. Beasley makes 2-pt shot from 2 ft (assist by T. Ariza)
1:53.0,C. Joseph misses 2-pt shot from 2 ft (block by J. Harden),,99-107,,
1:53.0,Offensive rebound by Team,,99-107,,
1:46.0,K. Lowry misses 3-pt shot from 27 ft (block by P. Beverley),,99-107,,
1:45.0,,,99-107,,Defensive rebound by M. Beasley
1:25.0,,,99-107,,T. Ariza misses 2-pt shot from 10 ft
1:24.0,,,99-107,,Offensive rebound by P. Beverley
1:05.0,,,99-107,,J. Harden misses 3-pt shot from 24 ft
1:05.0,Defensive rebound by Team,,99-107,,
1:05.0,Toronto full timeout,,99-107,,
1:05.0,,,99-107,,D. Howard enters the game for M. Beasley
1:01.0,K. Lowry misses 2-pt shot from 2 ft,,99-107,,
1:00.0,Offensive rebound by J. Valanciunas,,99-107,,
1:00.0,J. Valanciunas makes 2-pt shot from 1 ft,2,101-107,,
0:40.0,,,101-107,,Offensive charge foul by P. Beverley
0:40.0,,,101-107,,Turnover by P. Beverley (offensive foul)
0:36.0,Shooting foul by D. Howard (drawn by K. Lowry),,101-107,,
0:36.0,,,101-107,,M. Beasley enters the game for D. Howard
0:36.0,K. Lowry misses free throw 1 of 3,,101-107,,
0:36.0,Offensive rebound by Team,,101-107,,
0:36.0,K. Lowry misses free throw 2 of 3,,101-107,,
0:36.0,Offensive rebound by Team,,101-107,,
0:36.0,K. Lowry makes free throw 3 of 3,1,102-107,,
0:26.0,Personal foul by K. Lowry,,102-107,,
0:26.0,Technical foul by K. Lowry,,102-107,,
0:26.0,J. Johnson enters the game for K. Lowry,,102-107,,
0:26.0,,,102-108,1,T. Ariza makes technical free throw
0:26.0,,,102-109,1,J. Harden makes free throw 1 of 2
0:26.0,,,102-110,1,J. Harden makes free throw 2 of 2
0:26.0,Toronto full timeout,,102-110,,
0:22.0,N. Powell misses 2-pt shot from 4 ft (block by C. Brewer),,102-110,,
0:20.0,Offensive rebound by J. Valanciunas,,102-110,,
0:18.0,J. Valanciunas misses 2-pt shot from 1 ft,,102-110,,
0:18.0,Offensive rebound by P. Patterson,,102-110,,
0:18.0,P. Patterson makes 2-pt shot from 2 ft,2,104-110,,
0:12.0,,,104-110,,Turnover by J. Harden (lost ball; steal by J. Johnson)
0:10.0,Shooting foul by J. Harden (drawn by P. Patterson),,104-110,,
0:10.0,P. Patterson makes 2-pt shot at rim (assist by J. Johnson),2,106-110,,
0:10.0,B. Biyombo enters the game for J. Valanciunas,,106-110,,
0:10.0,,,106-110,,D. Motiejunas enters the game for P. Beverley
0:10.0,P. Patterson makes free throw 1 of 1,1,107-110,,
0:10.0,,,107-110,,Houston full timeout
0:10.0,,,107-110,,P. Beverley enters the game for D. Motiejunas
0:10.0,,,107-110,,J. Terry enters the game for M. Beasley
0:08.0,Personal take foul by P. Patterson,,107-110,,
0:08.0,,,107-111,1,T. Ariza makes free throw 1 of 2
0:08.0,,,107-112,1,T. Ariza makes free throw 2 of 2
0:08.0,Toronto full timeout,,107-112,,
0:08.0,,,107-112,,M. Beasley enters the game for J. Terry
0:08.0,J. Valanciunas enters the game for B. Biyombo,,107-112,,
0:04.0,C. Joseph makes 2-pt shot from 3 ft,2,109-112,,
0:01.0,Personal take foul by J. Valanciunas,,109-112,,
0:01.0,L. Scola enters the game for J. Valanciunas,,109-112,,
0:01.0,,,109-112,,C. Brewer misses free throw 1 of 2
0:01.0,,,109-112,,Offensive rebound by Team
0:01.0,,,109-112,,C. Brewer misses free throw 2 of 2
0:01.0,Defensive rebound by N. Powell,,109-112,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
