time,Cleveland,pts.away,score,pts.home,Miami
5:14.0,,,73-93,,T. Johnson enters the game for G. Green
5:14.0,R. Jefferson misses free throw 1 of 2,,73-93,,
5:14.0,Offensive rebound by Team,,73-93,,
5:14.0,R. Jefferson misses free throw 2 of 2,,73-93,,
5:13.0,,,73-93,,Defensive rebound by J. Richardson
4:54.0,,,73-93,,Turnover by C. Bosh (lost ball)
4:45.0,Offensive charge foul by J. Cunningham,,73-93,,
4:45.0,Turnover by J. Cunningham (offensive foul),,73-93,,
4:25.0,,,73-93,,Turnover by J. Richardson (bad pass; steal by J. Jones)
4:21.0,Shooting foul by J. Richardson (drawn by R. Jefferson),,73-93,,
4:21.0,R. Jefferson misses free throw 1 of 2,,73-93,,
4:21.0,Offensive rebound by Team,,73-93,,
4:21.0,R. Jefferson makes free throw 2 of 2,1,74-93,,
4:01.0,,,74-93,,G. Dragic misses 3-pt shot from 24 ft
4:00.0,Defensive rebound by A. Varejao,,74-93,,
3:43.0,,,74-93,,Personal foul by C. Bosh (drawn by S. Kaun)
3:43.0,S. Kaun makes free throw 1 of 2,1,75-93,,
3:43.0,,,75-93,,B. Udrih enters the game for G. Dragic
3:43.0,S. Kaun makes free throw 2 of 2,1,76-93,,
3:21.0,,,76-93,,T. Johnson misses 3-pt shot from 24 ft
3:20.0,Defensive rebound by A. Varejao,,76-93,,
3:13.0,J. Cunningham misses 2-pt shot from 3 ft,,76-93,,
3:12.0,Offensive rebound by J. Jones,,76-93,,
3:07.0,J. Jones makes 3-pt shot from 24 ft,3,79-93,,
3:07.0,,,79-93,,Miami full timeout
2:48.0,,,79-93,,C. Bosh misses 2-pt shot from 20 ft
2:47.0,Defensive rebound by S. Kaun,,79-93,,
2:36.0,J. Cunningham misses 2-pt shot from 1 ft (block by C. Bosh),,79-93,,
2:35.0,Offensive rebound by Team,,79-93,,
2:28.0,J. Cunningham misses 2-pt shot from 21 ft,,79-93,,
2:27.0,,,79-93,,Defensive rebound by T. Johnson
2:15.0,,,79-95,2,T. Johnson makes 2-pt shot from 11 ft
1:57.0,R. Jefferson misses 2-pt shot from 2 ft (block by C. Bosh),,79-95,,
1:56.0,,,79-95,,Defensive rebound by T. Johnson
1:50.0,,,79-95,,Turnover by T. Johnson (bad pass; steal by J. Cunningham)
1:47.0,S. Kaun makes 2-pt shot from 1 ft (assist by J. Cunningham),2,81-95,,
1:24.0,,,81-97,2,B. Udrih makes 2-pt shot from 2 ft
1:12.0,R. Jefferson misses 3-pt shot from 25 ft,,81-97,,
1:11.0,Offensive rebound by S. Kaun,,81-97,,
1:01.0,J. Jones makes 3-pt shot from 24 ft (assist by R. Jefferson),3,84-97,,
0:40.0,,,84-97,,U. Haslem misses 2-pt shot from 16 ft
0:39.0,Defensive rebound by A. Varejao,,84-97,,
0:30.0,R. Jefferson misses 3-pt shot from 23 ft,,84-97,,
0:29.0,,,84-97,,Defensive rebound by C. Bosh
0:11.0,,,84-99,2,T. Johnson makes 2-pt shot from 19 ft
0:02.0,J. Jones misses 3-pt shot from 25 ft,,84-99,,
0:01.0,,,84-99,,Defensive rebound by U. Haslem
0:00.0,End of 4th quarter,,,,End of 4th quarter
