time,Brooklyn,pts.away,score,pts.home,Memphis
2:04.0,,,87-97,2,M. Conley makes 2-pt shot from 11 ft
1:50.0,T. Young makes 2-pt shot from 9 ft (assist by J. Jack),2,89-97,,
1:28.0,,,89-97,,Z. Randolph misses 2-pt shot at rim
1:27.0,Defensive rebound by B. Lopez,,89-97,,
1:24.0,Offensive charge foul by J. Jack,,89-97,,
1:24.0,Turnover by J. Jack (offensive foul),,89-97,,
1:24.0,,,89-97,,J. Green enters the game for T. Allen
1:04.0,,,89-97,,J. Green misses 3-pt shot from 23 ft
1:03.0,Defensive rebound by T. Young,,89-97,,
0:55.0,J. Jack makes 2-pt shot from 13 ft,2,91-97,,
0:40.0,,,91-99,2,Z. Randolph makes 2-pt shot from 5 ft (assist by M. Gasol)
0:40.0,Brooklyn full timeout,,91-99,,
0:40.0,W. Ellington enters the game for T. Young,,91-99,,
0:40.0,,,91-99,,T. Allen enters the game for Z. Randolph
0:40.0,Turnover by B. Bogdanovic (bad pass; steal by T. Allen),,91-99,,
0:35.0,Personal take foul by J. Jack (drawn by M. Conley),,91-99,,
0:35.0,,,91-100,1,M. Conley makes free throw 1 of 2
0:35.0,,,91-101,1,M. Conley makes free throw 2 of 2
0:35.0,Brooklyn full timeout,,91-101,,
0:31.0,B. Bogdanovic misses 3-pt shot from 26 ft,,91-101,,
0:31.0,,,91-101,,Defensive rebound by M. Conley
0:11.0,,,91-101,,M. Conley misses 3-pt shot from 25 ft
0:09.0,Defensive rebound by B. Lopez,,91-101,,
0:03.0,W. Ellington misses 3-pt shot from 25 ft,,91-101,,
0:02.0,,,91-101,,Defensive rebound by J. Green
0:00.0,End of 4th quarter,,,,End of 4th quarter
