time,Portland,pts.away,score,pts.home,Atlanta
2:36.0,,,87-99,,K. Korver enters the game for M. Scott
2:29.0,A. Aminu makes 3-pt shot from 23 ft (assist by T. Frazier),3,90-99,,
2:13.0,Personal foul by A. Aminu (drawn by P. Millsap),,90-99,,
2:13.0,,,90-100,1,P. Millsap makes free throw 1 of 2
2:13.0,,,90-100,,A. Horford enters the game for M. Muscala
2:13.0,,,90-101,1,P. Millsap makes free throw 2 of 2
2:07.0,Turnover by A. Crabbe (traveling),,90-101,,
1:49.0,,,90-101,,Turnover by T. Sefolosha (lost ball; steal by M. Plumlee)
1:45.0,Shooting foul by A. Horford (drawn by M. Plumlee),,90-101,,
1:45.0,M. Plumlee makes free throw 1 of 2,1,91-101,,
1:45.0,M. Plumlee misses free throw 2 of 2,,91-101,,
1:42.0,Offensive rebound by A. Aminu,,91-101,,
1:33.0,A. Aminu makes 2-pt shot from 1 ft (assist by G. Henderson),2,93-101,,
1:20.0,,,93-101,,P. Millsap misses 2-pt shot from 17 ft
1:19.0,Defensive rebound by A. Crabbe,,93-101,,
1:10.0,A. Crabbe misses 3-pt shot from 24 ft,,93-101,,
1:09.0,,,93-101,,Defensive rebound by P. Millsap
1:09.0,Personal foul by A. Aminu (drawn by P. Millsap),,93-101,,
1:09.0,,,93-102,1,P. Millsap makes free throw 1 of 2
1:09.0,,,93-102,,P. Millsap misses free throw 2 of 2
1:08.0,Defensive rebound by A. Aminu,,93-102,,
1:08.0,Portland full timeout,,93-102,,
1:08.0,M. Leonard enters the game for M. Plumlee,,93-102,,
1:03.0,M. Leonard misses 2-pt shot from 18 ft,,93-102,,
1:01.0,,,93-102,,Defensive rebound by A. Horford
0:50.0,Personal foul by T. Frazier (drawn by J. Teague),,93-102,,
0:50.0,,,93-103,1,J. Teague makes free throw 1 of 2
0:50.0,,,93-104,1,J. Teague makes free throw 2 of 2
0:50.0,Portland full timeout,,93-104,,
0:50.0,,,93-104,,K. Bazemore enters the game for K. Korver
0:50.0,L. Montero enters the game for A. Aminu,,93-104,,
0:50.0,P. Connaughton enters the game for A. Crabbe,,93-104,,
0:50.0,C. Alexander enters the game for G. Henderson,,93-104,,
0:44.0,L. Montero makes 2-pt shot from 2 ft,2,95-104,,
0:44.0,,,95-104,,Atlanta full timeout
0:44.0,,,95-104,,K. Korver enters the game for T. Sefolosha
0:41.0,,,95-104,,Turnover by J. Teague (back court)
0:34.0,M. Leonard misses 2-pt shot from 6 ft,,95-104,,
0:32.0,,,95-104,,Defensive rebound by Team
0:22.0,Personal take foul by P. Connaughton (drawn by K. Bazemore),,95-104,,
0:22.0,,,95-105,1,K. Bazemore makes free throw 1 of 2
0:22.0,,,95-105,,M. Muscala enters the game for P. Millsap
0:22.0,,,95-105,,M. Scott enters the game for A. Horford
0:22.0,,,95-105,,L. Patterson enters the game for K. Korver
0:22.0,,,95-106,1,K. Bazemore makes free throw 2 of 2
0:11.0,L. Montero makes 2-pt shot from 1 ft,2,97-106,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
