time,Philadelphia,pts.away,score,pts.home,Dallas
5:35.0,,,88-112,,Turnover by D. Harris (bad pass; steal by H. Thompson)
5:28.0,Shooting foul by D. Powell (drawn by H. Thompson),,88-112,,
5:28.0,H. Thompson misses free throw 1 of 3,,88-112,,
5:28.0,Offensive rebound by Team,,88-112,,
5:28.0,H. Thompson makes free throw 2 of 3,1,89-112,,
5:28.0,H. Thompson makes free throw 3 of 3,1,90-112,,
5:10.0,,,90-114,2,C. Villanueva makes 2-pt shot from 6 ft
4:57.0,I. Canaan makes 2-pt shot from 5 ft,2,92-114,,
4:44.0,,,92-114,,J. Barea misses 3-pt shot from 25 ft
4:43.0,Defensive rebound by K. Marshall,,92-114,,
4:33.0,C. Landry misses 2-pt shot from 17 ft,,92-114,,
4:33.0,,,92-114,,Defensive rebound by J. Anderson
4:21.0,Personal foul by K. Marshall (drawn by D. Powell),,92-114,,
4:21.0,,,92-114,,Dallas full timeout
4:12.0,,,92-114,,Turnover by J. Barea (lost ball; steal by K. Marshall)
4:08.0,Turnover by K. Marshall (lost ball),,92-114,,
3:59.0,,,92-114,,C. Villanueva misses 2-pt shot from 4 ft
3:59.0,,,92-114,,Offensive rebound by D. Powell
3:59.0,,,92-114,,Shooting foul by I. Canaan (drawn by D. Powell)
3:59.0,,,92-115,1,D. Powell makes free throw 1 of 2
3:59.0,,,92-116,1,D. Powell makes free throw 2 of 2
3:47.0,H. Thompson misses 2-pt shot from 11 ft,,92-116,,
3:45.0,,,92-116,,Defensive rebound by J. Barea
3:38.0,,,92-116,,J. Anderson misses 2-pt shot from 18 ft
3:36.0,,,92-116,,Offensive rebound by C. Villanueva
3:35.0,,,92-118,2,C. Villanueva makes 2-pt shot from 2 ft
3:25.0,R. Holmes makes 2-pt shot at rim (assist by K. Marshall),2,94-118,,
3:12.0,,,94-118,,Shooting foul by H. Thompson (drawn by D. Powell)
3:12.0,,,94-119,1,D. Powell makes free throw 1 of 2
3:12.0,,,94-119,,J. Evans enters the game for D. Harris
3:12.0,,,94-120,1,D. Powell makes free throw 2 of 2
2:53.0,R. Holmes misses 3-pt shot from 23 ft,,94-120,,
2:52.0,,,94-120,,Defensive rebound by J. Anderson
2:35.0,,,94-123,3,J. Evans makes 3-pt shot from 25 ft (assist by J. Barea)
2:22.0,K. Marshall makes 3-pt shot from 25 ft (assist by R. Holmes),3,97-123,,
2:11.0,,,97-125,2,J. Anderson makes 2-pt shot from 13 ft
2:03.0,H. Thompson misses 3-pt shot from 25 ft,,97-125,,
2:02.0,,,97-125,,Defensive rebound by D. Powell
1:57.0,Shooting block foul by K. Marshall (drawn by J. Anderson),,97-125,,
1:57.0,,,97-126,1,J. Anderson makes free throw 1 of 2
1:57.0,,,97-127,1,J. Anderson makes free throw 2 of 2
1:40.0,H. Thompson makes 3-pt shot from 25 ft (assist by K. Marshall),3,100-127,,
1:26.0,,,100-127,,C. Villanueva misses 3-pt shot from 26 ft
1:26.0,Defensive rebound by H. Thompson,,100-127,,
1:14.0,K. Marshall misses 2-pt shot from 7 ft,,100-127,,
1:13.0,,,100-127,,Defensive rebound by Team
1:04.0,,,100-129,2,D. Powell makes 2-pt shot at rim (assist by J. Barea)
0:50.0,I. Canaan makes 3-pt shot from 27 ft,3,103-129,,
0:38.0,,,103-129,,C. Villanueva misses 2-pt shot at rim (block by C. Landry)
0:36.0,Defensive rebound by H. Thompson,,103-129,,
0:27.0,R. Holmes misses 2-pt shot from 1 ft,,103-129,,
0:26.0,,,103-129,,Defensive rebound by C. Villanueva
0:03.0,,,103-129,,Turnover by Team (shot clock)
0:00.0,End of 4th quarter,,,,End of 4th quarter
