time,Sacramento,pts.away,score,pts.home,Brooklyn
4:01.0,Offensive rebound by W. Cauley-Stein,,103-118,,
4:00.0,W. Cauley-Stein makes 2-pt shot at rim,2,105-118,,
3:50.0,Personal foul by R. Rondo (drawn by J. Johnson),,105-118,,
3:50.0,O. Casspi enters the game for W. Cauley-Stein,,105-118,,
3:42.0,,,105-121,3,B. Bogdanovic makes 3-pt shot from 22 ft (assist by B. Lopez)
3:22.0,D. Cousins makes 2-pt shot from 18 ft (assist by R. Rondo),2,107-121,,
3:04.0,,,107-121,,Turnover by J. Johnson (bad pass; steal by O. Casspi)
2:50.0,R. Rondo misses 3-pt shot from 25 ft,,107-121,,
2:49.0,,,107-121,,Defensive rebound by T. Young
2:29.0,,,107-121,,T. Young misses 2-pt shot from 3 ft
2:28.0,Defensive rebound by D. Cousins,,107-121,,
2:22.0,Turnover by R. Rondo (bad pass; steal by J. Johnson),,107-121,,
2:17.0,,,107-121,,Brooklyn full timeout
2:17.0,Official timeout,,107-121,,
2:11.0,,,107-121,,Turnover by D. Sloan (lost ball; steal by M. Belinelli)
2:07.0,M. Belinelli makes 2-pt shot from 2 ft (assist by D. Collison),2,109-121,,
2:07.0,Shooting foul by B. Lopez (drawn by M. Belinelli),,109-121,,
2:07.0,M. Belinelli makes free throw 1 of 1,1,110-121,,
1:51.0,,,110-124,3,B. Bogdanovic makes 3-pt shot from 22 ft (assist by T. Young)
1:39.0,R. Rondo misses 2-pt shot at rim,,110-124,,
1:38.0,,,110-124,,Defensive rebound by D. Sloan
1:27.0,,,110-126,2,J. Johnson makes 2-pt shot from 3 ft
1:20.0,D. Cousins makes 3-pt shot from 26 ft (assist by R. Rondo),3,113-126,,
1:07.0,,,113-126,,Turnover by D. Sloan (bad pass; steal by D. Cousins)
1:07.0,,,113-126,,Clear path foul by D. Sloan
1:07.0,D. Collison makes clear path free throw 1 of 2,1,114-126,,
1:07.0,D. Collison makes clear path free throw 2 of 2,1,115-126,,
1:00.0,M. Belinelli makes 2-pt shot at rim (assist by R. Rondo),2,117-126,,
0:59.0,Personal foul by M. Belinelli (drawn by J. Johnson),,117-126,,
0:59.0,,,117-126,,M. Brown enters the game for J. Johnson
0:45.0,,,117-128,2,B. Lopez makes 2-pt shot at rim (assist by M. Brown)
0:38.0,Turnover by R. Rondo (bad pass),,117-128,,
0:15.0,,,117-128,,B. Lopez misses 2-pt shot from 6 ft
0:14.0,Defensive rebound by R. Rondo,,117-128,,
0:08.0,,,117-128,,Shooting block foul by M. Brown (drawn by M. Belinelli)
0:08.0,M. Belinelli makes free throw 1 of 2,1,118-128,,
0:08.0,M. Belinelli makes free throw 2 of 2,1,119-128,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
