time,Indiana,pts.away,score,pts.home,Philadelphia
3:01.0,,,104-98,,Turnover by I. Smith (traveling)
2:39.0,G. Hill misses 3-pt shot from 26 ft,,104-98,,
2:37.0,,,104-98,,Defensive rebound by E. Brand
2:32.0,,,104-98,,Offensive foul by J. Grant
2:32.0,,,104-98,,Turnover by J. Grant (offensive foul)
2:32.0,Official timeout,,104-98,,
2:22.0,,,104-98,,Shooting block foul by E. Brand (drawn by M. Ellis)
2:22.0,M. Ellis makes free throw 1 of 2,1,105-98,,
2:22.0,S. Hill enters the game for C. Miles,,105-98,,
2:22.0,M. Ellis makes free throw 2 of 2,1,106-98,,
2:13.0,,,106-98,,Shooting foul by M. Ellis (drawn by I. Canaan)
2:13.0,,,106-99,1,I. Canaan makes free throw 1 of 2
2:13.0,C. Miles enters the game for S. Hill,,106-99,,
2:13.0,,,106-99,,I. Canaan misses free throw 2 of 2
2:12.0,Defensive rebound by P. George,,106-99,,
1:58.0,Offensive foul by I. Mahinmi,,106-99,,
1:58.0,Turnover by I. Mahinmi (offensive foul),,106-99,,
1:58.0,,,106-99,,N. Stauskas enters the game for E. Brand
1:58.0,S. Hill enters the game for C. Miles,,106-99,,
1:46.0,,,106-99,,J. Grant misses 2-pt shot from 2 ft
1:44.0,Defensive rebound by G. Hill,,106-99,,
1:21.0,P. George makes 3-pt shot from 23 ft (assist by G. Hill),3,109-99,,
1:21.0,,,109-99,,Philadelphia full timeout
1:19.0,,,109-99,,R. Covington misses 3-pt shot from 23 ft
1:17.0,Defensive rebound by G. Hill,,109-99,,
1:03.0,P. George makes 3-pt shot from 24 ft (assist by M. Ellis),3,112-99,,
1:03.0,,,112-99,,Philadelphia full timeout
0:57.0,,,112-102,3,I. Smith makes 3-pt shot from 24 ft (assist by J. Grant)
0:45.0,Indiana full timeout,,112-102,,
0:45.0,,,112-102,,T. McConnell enters the game for N. Stauskas
0:45.0,T. Lawson enters the game for I. Mahinmi,,112-102,,
0:45.0,Turnover by Team (5 sec inbounds),,112-102,,
0:45.0,I. Mahinmi enters the game for T. Lawson,,112-102,,
0:45.0,,,112-102,,N. Stauskas enters the game for T. McConnell
0:38.0,,,112-102,,Turnover by N. Stauskas (lost ball; steal by P. George)
0:29.0,I. Mahinmi makes 2-pt shot from 2 ft (assist by P. George),2,114-102,,
0:29.0,Shooting foul by I. Smith (drawn by I. Mahinmi),,114-102,,
0:29.0,I. Mahinmi makes free throw 1 of 1,1,115-102,,
0:29.0,,,115-102,,Philadelphia full timeout
0:29.0,C. Miles enters the game for P. George,,115-102,,
0:26.0,,,115-102,,J. Grant misses 3-pt shot from 24 ft
0:24.0,Defensive rebound by G. Hill,,115-102,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
