time,Detroit,pts.away,score,pts.home,Washington
3:01.0,J. Anthony makes 2-pt shot from 13 ft (assist by R. Bullock),2,77-117,,
2:43.0,,,77-119,2,J. Hickson makes 2-pt shot from 7 ft
2:33.0,Turnover by S. Blake (lost ball; steal by K. Oubre),,77-119,,
2:25.0,,,77-119,,K. Oubre misses 2-pt shot from 2 ft (block by S. Johnson)
2:23.0,Defensive rebound by Team,,77-119,,
2:22.0,,,77-119,,Washington full timeout
2:05.0,R. Bullock misses 3-pt shot from 25 ft,,77-119,,
2:04.0,,,77-119,,Defensive rebound by K. Oubre
1:42.0,,,77-119,,M. Thornton misses 2-pt shot from 8 ft
1:41.0,,,77-119,,Offensive rebound by M. Thornton
1:40.0,,,77-121,2,M. Thornton makes 2-pt shot from 7 ft
1:30.0,R. Bullock makes 2-pt shot from 1 ft (assist by S. Blake),2,79-121,,
1:13.0,,,79-121,,Turnover by J. Hickson (lost ball; steal by S. Johnson)
1:09.0,Turnover by S. Johnson (lost ball; steal by J. Hickson),,79-121,,
0:51.0,,,79-121,,Turnover by R. Sessions (bad pass)
0:39.0,Shooting foul by M. Thornton (drawn by D. Hilliard),,79-121,,
0:39.0,D. Hilliard makes free throw 1 of 2,1,80-121,,
0:39.0,D. Hilliard makes free throw 2 of 2,1,81-121,,
0:19.0,,,81-124,3,M. Thornton makes 3-pt shot from 25 ft
0:00.0,End of 4th quarter,,,,End of 4th quarter
