time,Toronto,pts.away,score,pts.home,Sacramento
1:19.0,,,101-102,,M. Belinelli misses 3-pt shot from 25 ft
1:19.0,Defensive rebound by K. Lowry,,101-102,,
1:06.0,D. DeRozan misses 2-pt shot from 6 ft (block by D. Cousins),,101-102,,
1:05.0,,,101-102,,Defensive rebound by R. Gay
1:00.0,,,101-102,,R. Gay misses 2-pt shot from 4 ft
0:58.0,Defensive rebound by B. Biyombo,,101-102,,
0:42.0,K. Lowry misses 3-pt shot from 25 ft,,101-102,,
0:42.0,,,101-102,,Defensive rebound by D. Cousins
0:41.0,Personal foul by C. Joseph (drawn by D. Cousins),,101-102,,
0:26.0,,,101-104,2,D. Cousins makes 2-pt shot from 2 ft
0:26.0,Toronto full timeout,,101-104,,
0:26.0,J. Valanciunas enters the game for B. Biyombo,,101-104,,
0:19.0,D. DeRozan misses 2-pt shot from 4 ft,,101-104,,
0:18.0,,,101-104,,Defensive rebound by R. Gay
0:17.0,Personal take foul by D. Carroll (drawn by R. Gay),,101-104,,
0:17.0,,,101-105,1,R. Gay makes free throw 1 of 2
0:17.0,P. Patterson enters the game for J. Valanciunas,,101-105,,
0:17.0,,,101-106,1,R. Gay makes free throw 2 of 2
0:13.0,,,101-106,,Personal take foul by R. Rondo (drawn by K. Lowry)
0:13.0,Toronto full timeout,,101-106,,
0:09.0,D. Carroll misses 3-pt shot from 28 ft,,101-106,,
0:08.0,,,101-106,,Defensive rebound by R. Gay
0:07.0,Personal take foul by P. Patterson (drawn by R. Gay),,101-106,,
0:07.0,,,101-107,1,R. Gay makes free throw 1 of 2
0:07.0,,,101-107,,R. Gay misses free throw 2 of 2
0:07.0,Defensive rebound by D. Carroll,,101-107,,
0:02.0,K. Lowry misses 3-pt shot from 35 ft,,101-107,,
0:02.0,Offensive rebound by P. Patterson,,101-107,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
