time,Charlotte,pts.away,score,pts.home,LA Clippers
1:24.0,K. Walker misses 2-pt shot from 1 ft,,80-93,,
1:24.0,,,80-93,,Defensive rebound by Team
1:24.0,,,80-93,,A. Rivers enters the game for L. Mbah a Moute
1:01.0,,,80-95,2,C. Paul makes 2-pt shot from 21 ft
0:53.0,K. Walker misses 3-pt shot from 24 ft,,80-95,,
0:53.0,,,80-95,,Defensive rebound by C. Paul
0:37.0,,,80-97,2,D. Jordan makes 2-pt shot at rim (assist by J. Crawford)
0:25.0,C. Zeller misses 2-pt shot from 19 ft,,80-97,,
0:23.0,Offensive rebound by M. Williams,,80-97,,
0:20.0,J. Lin makes 3-pt shot from 25 ft (assist by M. Williams),3,83-97,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
