time,Phoenix,pts.away,score,pts.home,Milwaukee
4:02.0,Shooting foul by T. Ennis (drawn by P. Tucker),,86-92,,
4:02.0,P. Tucker makes free throw 1 of 2,1,87-92,,
4:02.0,P. Tucker makes free throw 2 of 2,1,88-92,,
3:40.0,,,88-92,,K. Middleton misses 2-pt shot from 15 ft
3:39.0,Defensive rebound by T. Chandler,,88-92,,
3:32.0,B. Knight misses 3-pt shot from 25 ft (block by J. Henson),,88-92,,
3:30.0,,,88-92,,Defensive rebound by K. Middleton
3:22.0,,,88-94,2,J. Parker makes 2-pt shot from 2 ft
3:22.0,,,88-94,,Shooting foul by A. Len (drawn by J. Parker)
3:22.0,,,88-94,,J. Parker misses free throw 1 of 1
3:19.0,Defensive rebound by T. Chandler,,88-94,,
3:05.0,P. Tucker misses 2-pt shot from 4 ft,,88-94,,
3:04.0,Offensive rebound by P. Tucker,,88-94,,
3:03.0,P. Tucker misses 2-pt shot from 1 ft,,88-94,,
3:02.0,Offensive rebound by T. Chandler,,88-94,,
3:02.0,T. Chandler makes 2-pt shot at rim,2,90-94,,
2:45.0,Personal foul by D. Booker,,90-94,,
2:45.0,,,90-95,1,G. Antetokounmpo makes free throw 1 of 2
2:45.0,,,90-95,,G. Antetokounmpo misses free throw 2 of 2
2:43.0,,,90-95,,Offensive rebound by J. Parker
2:21.0,,,90-95,,J. Henson misses 2-pt shot from 5 ft
2:19.0,,,90-95,,Offensive rebound by J. Parker
2:09.0,,,90-95,,Shooting foul by A. Len (drawn by G. Antetokounmpo)
