time,Miami,pts.away,score,pts.home,Indiana
0:07.0,T. Johnson enters the game for H. Whiteside,,86-89,,
0:07.0,,,86-89,,I. Mahinmi enters the game for J. Hill
0:05.0,Shooting foul by M. Ellis (drawn by T. Johnson),,86-89,,
0:05.0,T. Johnson misses free throw 1 of 2,,86-89,,
0:05.0,Offensive rebound by Team,,86-89,,
0:05.0,,,86-89,,J. Hill enters the game for G. Robinson
0:05.0,,,86-89,,L. Allen enters the game for I. Mahinmi
0:05.0,T. Johnson makes free throw 2 of 2,1,87-89,,
0:05.0,,,87-89,,Indiana full timeout
0:05.0,,,87-89,,C. Budinger enters the game for L. Allen
0:05.0,,,87-89,,G. Robinson enters the game for J. Hill
0:04.0,Personal take foul by J. Winslow (drawn by P. George),,87-89,,
0:04.0,,,87-90,1,P. George makes free throw 1 of 2
0:04.0,H. Whiteside enters the game for T. Johnson,,87-90,,
0:04.0,,,87-90,,P. George misses free throw 2 of 2
0:04.0,Defensive rebound by H. Whiteside,,87-90,,
0:04.0,Miami full timeout,,87-90,,
0:04.0,T. Johnson enters the game for H. Whiteside,,87-90,,
0:04.0,,,87-90,,I. Mahinmi enters the game for C. Budinger
0:02.0,D. Wade misses 3-pt shot from 23 ft,,87-90,,
0:01.0,,,87-90,,Defensive rebound by M. Ellis
0:00.0,End of 4th quarter,,,,End of 4th quarter
