time,Portland,pts.away,score,pts.home,LA Lakers
2:12.0,,,99-90,,Violation by B. Bass (def goaltending)
2:12.0,D. Lillard makes 2-pt shot from 1 ft,2,101-90,,
1:59.0,,,101-90,,K. Bryant misses 2-pt shot from 7 ft
1:58.0,Defensive rebound by Team,,101-90,,
1:43.0,D. Lillard misses 3-pt shot from 24 ft,,101-90,,
1:42.0,,,101-90,,Defensive rebound by D. Russell
1:35.0,,,101-90,,J. Clarkson misses 3-pt shot from 25 ft
1:34.0,Defensive rebound by D. Lillard,,101-90,,
1:20.0,Shooting foul by J. Clarkson (drawn by M. Plumlee),,101-90,,
1:20.0,M. Plumlee makes free throw 1 of 2,1,102-90,,
1:20.0,M. Plumlee makes free throw 2 of 2,1,103-90,,
1:05.0,,,103-90,,D. Russell misses 3-pt shot from 24 ft
1:05.0,,,103-90,,Offensive rebound by J. Randle
1:03.0,,,103-92,2,J. Randle makes 2-pt shot from 1 ft
1:03.0,,,103-92,,Shooting foul by A. Crabbe (drawn by J. Randle)
1:03.0,,,103-93,1,J. Randle makes free throw 1 of 1
0:43.0,Shooting foul by K. Bryant (drawn by M. Plumlee),,103-93,,
0:43.0,M. Plumlee makes free throw 1 of 2,1,104-93,,
0:43.0,,,104-93,,N. Young enters the game for K. Bryant
0:43.0,M. Plumlee makes free throw 2 of 2,1,105-93,,
0:33.0,,,105-93,,D. Russell misses 2-pt shot from 6 ft
0:31.0,Defensive rebound by Team,,105-93,,
0:16.0,,,105-93,,Personal foul by B. Bass (drawn by A. Aminu)
0:16.0,A. Aminu makes free throw 1 of 2,1,106-93,,
0:16.0,T. Frazier enters the game for D. Lillard,,106-93,,
0:16.0,A. Aminu makes free throw 2 of 2,1,107-93,,
0:03.0,,,107-93,,B. Bass misses 2-pt shot from 5 ft
0:02.0,Defensive rebound by M. Plumlee,,107-93,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
