time,Utah,pts.away,score,pts.home,Phoenix
1:23.0,,,101-82,,J. Jenkins enters the game for D. Booker
1:23.0,,,101-82,,A. Williams enters the game for R. Price
1:14.0,,,101-84,2,A. Williams makes 2-pt shot from 3 ft (assist by J. Jenkins)
0:59.0,T. Lyles misses 2-pt shot from 18 ft,,101-84,,
0:58.0,,,101-84,,Defensive rebound by A. Williams
0:44.0,,,101-86,2,M. Teletovic makes 2-pt shot from 16 ft (assist by A. Goodwin)
0:27.0,R. Neto misses 3-pt shot from 24 ft,,101-86,,
0:26.0,,,101-86,,Defensive rebound by M. Teletovic
0:14.0,,,101-86,,A. Goodwin misses 3-pt shot from 25 ft
0:14.0,,,101-86,,Offensive rebound by M. Teletovic
0:09.0,,,101-86,,J. Jenkins misses 3-pt shot from 24 ft
0:09.0,Defensive rebound by T. Lyles,,101-86,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
