time,Minnesota,pts.away,score,pts.home,Washington
3:57.0,,,109-111,,Turnover by M. Gortat (lost ball)
3:40.0,A. Wiggins makes 2-pt shot from 2 ft,2,111-111,,
3:14.0,,,111-111,,N. Hilario misses 2-pt shot from 17 ft
3:13.0,Defensive rebound by K. Towns,,111-111,,
3:02.0,K. Towns makes 2-pt shot from 18 ft (assist by R. Rubio),2,113-111,,
2:44.0,,,113-113,2,N. Hilario makes 2-pt shot at rim
2:21.0,K. Towns makes 2-pt shot from 20 ft (assist by A. Wiggins),2,115-113,,
2:07.0,,,115-113,,J. Wall misses 2-pt shot from 21 ft
2:06.0,,,115-113,,Offensive rebound by M. Gortat
2:06.0,,,115-113,,Shooting foul by G. Dieng (drawn by M. Gortat)
2:06.0,Minnesota full timeout,,115-113,,
2:06.0,,,115-114,1,M. Gortat makes free throw 1 of 2
2:06.0,,,115-115,1,M. Gortat makes free throw 2 of 2
1:51.0,A. Wiggins misses 2-pt shot from 2 ft,,115-115,,
1:50.0,Offensive rebound by G. Dieng,,115-115,,
1:48.0,G. Dieng misses 2-pt shot from 1 ft (block by O. Porter),,115-115,,
1:45.0,,,115-115,,Defensive rebound by O. Porter
1:45.0,,,115-115,,Washington full timeout
1:29.0,,,115-115,,B. Beal misses 2-pt shot from 19 ft
1:28.0,,,115-115,,Offensive rebound by M. Gortat
1:15.0,Personal foul by G. Dieng,,115-115,,
1:14.0,,,115-117,2,B. Beal makes 2-pt shot at rim (assist by J. Wall)
1:03.0,,,115-117,,Personal foul by N. Hilario
1:02.0,Turnover by Z. LaVine (lost ball; steal by J. Wall),,115-117,,
0:45.0,,,115-117,,J. Wall misses 2-pt shot from 18 ft
0:44.0,,,115-117,,Offensive rebound by M. Gortat
0:28.0,,,115-119,2,N. Hilario makes 2-pt shot from 14 ft (assist by M. Gortat)
0:27.0,Minnesota full timeout,,115-119,,
0:24.0,Z. LaVine makes 3-pt shot from 24 ft (assist by R. Rubio),3,118-119,,
0:22.0,Personal take foul by R. Rubio,,118-119,,
0:22.0,,,118-120,1,B. Beal makes free throw 1 of 2
0:22.0,,,118-121,1,B. Beal makes free throw 2 of 2
0:12.0,Z. LaVine makes 3-pt shot from 29 ft (assist by G. Dieng),3,121-121,,
0:11.0,,,121-121,,Washington full timeout
0:01.0,,,121-121,,B. Beal misses 2-pt shot from 22 ft
0:00.0,Defensive rebound by R. Rubio,,121-121,,
0:00.0,End of 1st overtime,,,,End of 1st overtime
5:00.0,Start of 2nd overtime,,,,Start of 2nd overtime
4:59.0,Jump ball: M. Gortat vs. K. Towns (G. Dieng gains possession),,,,Jump ball: M. Gortat vs. K. Towns (G. Dieng gains possession)
4:34.0,A. Wiggins misses 2-pt shot from 20 ft,,121-121,,
4:33.0,,,121-121,,Defensive rebound by O. Porter
4:10.0,,,121-121,,J. Wall misses 2-pt shot from 17 ft
4:09.0,Defensive rebound by R. Rubio,,121-121,,
3:49.0,R. Rubio misses 2-pt shot from 20 ft,,121-121,,
3:48.0,,,121-121,,Defensive rebound by B. Beal
3:33.0,,,121-124,3,B. Beal makes 3-pt shot from 26 ft (assist by J. Wall)
3:05.0,K. Towns makes 3-pt shot from 26 ft (assist by R. Rubio),3,124-124,,
2:50.0,,,124-127,3,B. Beal makes 3-pt shot from 27 ft (assist by J. Wall)
2:48.0,Minnesota full timeout,,124-127,,
2:40.0,Turnover by R. Rubio (lost ball),,124-127,,
2:15.0,,,124-127,,J. Wall misses 2-pt shot from 2 ft
2:14.0,,,124-127,,Offensive rebound by M. Gortat
2:13.0,,,124-129,2,M. Gortat makes 2-pt shot from 1 ft
1:57.0,Z. LaVine misses 3-pt shot from 27 ft,,124-129,,
1:56.0,Offensive rebound by A. Wiggins,,124-129,,
1:55.0,A. Wiggins makes 2-pt shot from 1 ft,2,126-129,,
1:31.0,,,126-129,,Turnover by Team (shot clock)
1:16.0,G. Dieng makes 2-pt shot from 6 ft,2,128-129,,
0:51.0,,,128-129,,B. Beal misses 2-pt shot from 19 ft
0:50.0,Defensive rebound by G. Dieng,,128-129,,
0:45.0,Z. LaVine misses 2-pt shot at rim,,128-129,,
0:43.0,Offensive rebound by Team,,128-129,,
0:30.0,G. Dieng makes 2-pt shot from 15 ft (assist by Z. LaVine),2,130-129,,
0:30.0,,,130-129,,Washington full timeout
0:30.0,,,130-129,,J. Dudley enters the game for N. Hilario
0:30.0,T. Prince enters the game for K. Towns,,130-129,,
0:20.0,Personal foul by Z. LaVine,,130-129,,
0:20.0,,,130-129,,Washington full timeout
0:16.0,,,130-129,,J. Dudley misses 3-pt shot from 25 ft
0:15.0,,,130-129,,Offensive rebound by Team
0:15.0,Loose ball foul by G. Dieng,,130-129,,
0:15.0,,,130-129,,M. Gortat misses free throw 1 of 2
0:15.0,,,130-129,,Offensive rebound by Team
0:15.0,K. Towns enters the game for R. Rubio,,130-129,,
0:15.0,,,130-129,,G. Temple enters the game for J. Dudley
0:15.0,,,130-129,,M. Gortat misses free throw 2 of 2
0:15.0,Defensive rebound by G. Dieng,,130-129,,
0:14.0,Minnesota full timeout,,130-129,,
0:14.0,,,130-129,,J. Dudley enters the game for M. Gortat
0:14.0,R. Rubio enters the game for G. Dieng,,130-129,,
0:13.0,,,130-129,,Personal take foul by O. Porter
0:13.0,Minnesota full timeout,,130-129,,
0:12.0,K. Towns makes 2-pt shot from 1 ft (assist by T. Prince),2,132-129,,
0:12.0,,,132-129,,Washington full timeout
0:12.0,,,132-129,,M. Thornton enters the game for O. Porter
0:12.0,,,132-129,,N. Hilario enters the game for G. Temple
0:02.0,,,132-129,,J. Dudley misses 3-pt shot from 25 ft
0:01.0,Defensive rebound by K. Towns,,132-129,,
0:00.0,End of 2nd overtime,,,,End of 2nd overtime
