time,Minnesota,pts.away,score,pts.home,Dallas
9:22.0,,,78-106,,Defensive rebound by C. Villanueva
9:07.0,,,78-108,2,J. Barea makes 2-pt shot from 1 ft (assist by R. Felton)
9:06.0,Minnesota full timeout,,78-108,,
9:06.0,,,78-108,,J. Anderson enters the game for D. Harris
8:51.0,T. Jones misses 3-pt shot from 23 ft,,78-108,,
8:50.0,,,78-108,,Defensive rebound by C. Villanueva
8:40.0,,,78-108,,Turnover by J. Barea (lost ball; steal by Z. LaVine)
8:37.0,Shooting foul by C. Villanueva (drawn by S. Muhammad),,78-108,,
8:37.0,S. Muhammad makes free throw 1 of 2,1,79-108,,
8:37.0,,,79-108,,D. Powell enters the game for R. Felton
8:37.0,S. Muhammad makes free throw 2 of 2,1,80-108,,
8:18.0,,,80-111,3,J. Anderson makes 3-pt shot from 23 ft (assist by D. Lee)
8:07.0,D. Rudez makes 3-pt shot from 25 ft (assist by T. Jones),3,83-111,,
7:52.0,,,83-111,,Turnover by J. Anderson (lost ball; steal by D. Rudez)
7:49.0,,,83-111,,Shooting block foul by J. Barea (drawn by Z. LaVine)
7:49.0,Z. LaVine makes free throw 1 of 2,1,84-111,,
7:49.0,Z. LaVine makes free throw 2 of 2,1,85-111,,
7:33.0,,,85-111,,J. Anderson misses 3-pt shot from 23 ft
7:32.0,Defensive rebound by A. Payne,,85-111,,
7:32.0,,,85-111,,Loose ball foul by D. Lee (drawn by A. Payne)
7:32.0,,,85-111,,Technical foul by D. Lee (drawn by A. Payne)
7:32.0,T. Jones makes technical free throw,1,86-111,,
