time,Oklahoma City,pts.away,score,pts.home,Brooklyn
3:25.0,,,95-106,2,B. Bogdanovic makes 2-pt shot from 21 ft (assist by J. Johnson)
3:08.0,K. Durant makes 2-pt shot from 1 ft,2,97-106,,
2:47.0,,,97-106,,Shooting foul by S. Ibaka (drawn by D. Sloan)
2:47.0,,,97-107,1,D. Sloan makes free throw 1 of 2
2:47.0,,,97-107,,D. Sloan misses free throw 2 of 2
2:46.0,Defensive rebound by K. Durant,,97-107,,
2:40.0,R. Westbrook makes 2-pt shot from 2 ft (assist by K. Durant),2,99-107,,
2:40.0,Shooting foul by B. Lopez (drawn by R. Westbrook),,99-107,,
2:40.0,R. Westbrook misses free throw 1 of 1,,99-107,,
2:39.0,,,99-107,,Defensive rebound by T. Young
2:24.0,Personal foul by K. Durant (drawn by B. Lopez),,99-107,,
2:24.0,,,99-108,1,B. Lopez makes free throw 1 of 2
2:24.0,,,99-109,1,B. Lopez makes free throw 2 of 2
2:15.0,K. Durant misses 3-pt shot from 24 ft,,99-109,,
2:14.0,Offensive rebound by S. Ibaka,,99-109,,
2:07.0,D. Waiters misses 3-pt shot from 23 ft,,99-109,,
2:06.0,,,99-109,,Defensive rebound by B. Lopez
1:48.0,,,99-109,,Shooting foul by E. Kanter (drawn by B. Lopez)
1:48.0,Oklahoma City full timeout,,99-109,,
1:48.0,,,99-109,,B. Lopez misses free throw 1 of 2
1:48.0,,,99-109,,Offensive rebound by Team
1:48.0,,,99-110,1,B. Lopez makes free throw 2 of 2
1:37.0,K. Durant misses 2-pt shot from 2 ft,,99-110,,
1:36.0,,,99-110,,Defensive rebound by D. Sloan
1:21.0,,,99-110,,J. Johnson misses 2-pt shot from 5 ft
1:20.0,Defensive rebound by E. Kanter,,99-110,,
1:15.0,,,99-110,,Personal block foul by D. Sloan (drawn by R. Westbrook)
1:11.0,R. Westbrook makes 3-pt shot from 25 ft,3,102-110,,
0:52.0,,,102-113,3,J. Johnson makes 3-pt shot from 27 ft (assist by B. Bogdanovic)
0:47.0,R. Westbrook makes 2-pt shot from 1 ft,2,104-113,,
0:30.0,,,104-116,3,B. Bogdanovic makes 3-pt shot from 22 ft (assist by B. Lopez)
0:22.0,Shooting foul by B. Lopez (drawn by K. Durant),,104-116,,
0:22.0,K. Durant makes free throw 1 of 2,1,105-116,,
0:22.0,,,105-116,,S. Larkin enters the game for B. Bogdanovic
0:22.0,K. Durant makes free throw 2 of 2,1,106-116,,
0:21.0,Personal take foul by R. Westbrook (drawn by D. Sloan),,106-116,,
0:21.0,,,106-116,,D. Sloan misses free throw 1 of 2
0:21.0,,,106-116,,Offensive rebound by Team
0:21.0,,,106-116,,B. Bogdanovic enters the game for B. Lopez
0:21.0,,,106-116,,D. Sloan misses free throw 2 of 2
0:21.0,Defensive rebound by S. Ibaka,,106-116,,
0:14.0,D. Waiters misses 2-pt shot from 2 ft,,106-116,,
0:12.0,Offensive rebound by E. Kanter,,106-116,,
0:10.0,E. Kanter misses 2-pt shot from 1 ft,,106-116,,
0:09.0,Offensive rebound by R. Westbrook,,106-116,,
0:08.0,R. Westbrook misses 2-pt shot from 1 ft,,106-116,,
0:07.0,,,106-116,,Defensive rebound by T. Young
0:00.0,End of 4th quarter,,,,End of 4th quarter
