time,Orlando,pts.away,score,pts.home,Brooklyn
1:11.0,D. Dedmon misses 2-pt shot from 20 ft,,102-82,,
1:10.0,,,102-82,,Defensive rebound by T. Robinson
1:05.0,Personal foul by D. Dedmon (drawn by W. Reed),,102-82,,
1:02.0,,,102-82,,Turnover by D. Sloan (lost ball)
0:51.0,Turnover by S. Napier (bad pass; steal by T. Robinson),,102-82,,
0:47.0,,,102-82,,T. Robinson misses 2-pt shot from 17 ft
0:45.0,Defensive rebound by M. Hezonja,,102-82,,
0:32.0,A. Nicholson makes 3-pt shot from 23 ft (assist by S. Napier),3,105-82,,
0:20.0,,,105-82,,W. Reed misses 2-pt shot from 6 ft
0:19.0,Defensive rebound by D. Dedmon,,105-82,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
