time,Miami,pts.away,score,pts.home,LA Clippers
5:30.0,C. Bosh makes free throw 1 of 2,1,76-94,,
5:30.0,C. Bosh misses free throw 2 of 2,,76-94,,
5:29.0,,,76-94,,Defensive rebound by W. Johnson
5:13.0,,,76-96,2,J. Smith makes 2-pt shot at rim (assist by A. Rivers)
4:51.0,T. Johnson misses 2-pt shot from 17 ft,,76-96,,
4:51.0,,,76-96,,Defensive rebound by A. Rivers
4:28.0,,,76-96,,J. Smith misses 2-pt shot from 3 ft
4:26.0,Defensive rebound by D. Wade,,76-96,,
4:11.0,,,76-96,,Personal foul by W. Johnson (drawn by T. Johnson)
4:11.0,T. Johnson makes free throw 1 of 2,1,77-96,,
4:11.0,T. Johnson makes free throw 2 of 2,1,78-96,,
3:54.0,,,78-96,,Turnover by J. Smith (bad pass; steal by T. Johnson)
3:51.0,T. Johnson misses 2-pt shot from 3 ft (block by C. Paul),,78-96,,
3:51.0,Offensive rebound by Team,,78-96,,
3:47.0,T. Johnson misses 2-pt shot from 14 ft,,78-96,,
3:43.0,,,78-96,,Defensive rebound by J. Crawford
3:32.0,,,78-96,,C. Paul misses 2-pt shot from 11 ft
3:28.0,Defensive rebound by C. Bosh,,78-96,,
3:18.0,Shooting foul by J. Smith (drawn by C. Bosh),,78-96,,
3:18.0,C. Bosh makes free throw 1 of 2,1,79-96,,
3:18.0,J. Winslow enters the game for D. Wade,,79-96,,
3:18.0,J. Richardson enters the game for L. Deng,,79-96,,
3:18.0,C. Bosh makes free throw 2 of 2,1,80-96,,
3:02.0,,,80-99,3,W. Johnson makes 3-pt shot from 25 ft (assist by A. Rivers)
2:39.0,Shooting foul by J. Smith (drawn by J. Richardson),,80-99,,
2:39.0,Official timeout,,80-99,,
2:39.0,C. Andersen enters the game for C. Bosh,,80-99,,
2:39.0,U. Haslem enters the game for G. Green,,80-99,,
2:39.0,,,80-99,,L. Stephenson enters the game for C. Paul
2:39.0,,,80-99,,C. Wilcox enters the game for J. Crawford
2:39.0,J. Richardson makes free throw 1 of 2,1,81-99,,
2:39.0,J. Richardson makes free throw 2 of 2,1,82-99,,
2:25.0,Jump ball: T. Johnson vs. A. Rivers (L. Stephenson gains possession),,,,Jump ball: T. Johnson vs. A. Rivers (L. Stephenson gains possession)
2:18.0,,,82-99,,W. Johnson misses 3-pt shot from 27 ft
2:18.0,Defensive rebound by C. Andersen,,82-99,,
2:06.0,T. Johnson makes 2-pt shot from 1 ft (assist by C. Andersen),2,84-99,,
2:06.0,Shooting foul by A. Rivers (drawn by T. Johnson),,84-99,,
2:06.0,T. Johnson makes free throw 1 of 1,1,85-99,,
1:47.0,,,85-99,,C. Wilcox misses 2-pt shot from 3 ft (block by C. Andersen)
1:45.0,Defensive rebound by U. Haslem,,85-99,,
1:39.0,J. Winslow misses 2-pt shot from 1 ft,,85-99,,
1:37.0,,,85-99,,Defensive rebound by J. Smith
1:35.0,,,85-101,2,A. Rivers makes 2-pt shot from 2 ft
1:20.0,C. Andersen makes 3-pt shot from 25 ft (assist by J. Richardson),3,88-101,,
1:05.0,,,88-104,3,J. Smith makes 3-pt shot from 24 ft (assist by C. Wilcox)
0:48.0,Turnover by J. Richardson (bad pass; steal by W. Johnson),,88-104,,
0:46.0,,,88-104,,Turnover by W. Johnson (bad pass)
0:26.0,U. Haslem makes 2-pt shot from 4 ft (assist by J. Richardson),2,90-104,,
0:05.0,,,90-104,,C. Wilcox misses 2-pt shot from 21 ft (block by J. Richardson)
0:02.0,Defensive rebound by T. Johnson,,90-104,,
0:00.0,U. Haslem misses 3-pt shot from 26 ft,,90-104,,
0:00.0,Offensive rebound by Team,,90-104,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
