time,Oklahoma City,pts.away,score,pts.home,Portland
3:09.0,,,73-94,,Personal foul by B. Roberts
3:09.0,,,73-94,,E. Davis enters the game for M. Plumlee
3:00.0,Shooting foul by E. Davis (drawn by C. Payne),,73-94,,
3:00.0,C. Payne makes free throw 1 of 2,1,74-94,,
3:00.0,C. Payne misses free throw 2 of 2,,74-94,,
2:59.0,Offensive rebound by S. Adams,,74-94,,
2:55.0,D. Waiters misses 3-pt shot from 25 ft,,74-94,,
2:54.0,,,74-94,,Defensive rebound by A. Crabbe
2:42.0,,,74-97,3,A. Crabbe makes 3-pt shot from 26 ft (assist by D. Lillard)
2:29.0,S. Adams makes 2-pt shot at rim (assist by C. Payne),2,76-97,,
2:10.0,,,76-99,2,A. Aminu makes 2-pt shot from 3 ft
1:54.0,E. Kanter makes 2-pt shot from 6 ft (assist by C. Payne),2,78-99,,
1:42.0,,,78-99,,A. Aminu misses 3-pt shot from 23 ft
1:41.0,Defensive rebound by D. Waiters,,78-99,,
1:35.0,E. Kanter makes 2-pt shot at rim (assist by C. Payne),2,80-99,,
1:33.0,,,80-99,,Portland full timeout
1:33.0,J. Huestis enters the game for S. Adams,,80-99,,
1:33.0,,,80-99,,N. Vonleh enters the game for A. Aminu
1:17.0,,,80-99,,A. Crabbe misses 2-pt shot from 21 ft
1:16.0,Defensive rebound by E. Kanter,,80-99,,
1:02.0,R. Foye misses 2-pt shot from 2 ft,,80-99,,
1:02.0,Offensive rebound by E. Kanter,,80-99,,
1:00.0,E. Kanter misses 2-pt shot at rim,,80-99,,
1:00.0,,,80-99,,Defensive rebound by Team
0:47.0,,,80-99,,D. Lillard misses 2-pt shot from 14 ft
0:46.0,Defensive rebound by J. Huestis,,80-99,,
0:31.0,C. Payne misses 2-pt shot from 10 ft,,80-99,,
0:30.0,Offensive rebound by E. Kanter,,80-99,,
0:28.0,E. Kanter misses 2-pt shot from 1 ft (block by E. Davis),,80-99,,
0:26.0,,,80-99,,Defensive rebound by N. Vonleh
0:07.0,,,80-99,,D. Lillard misses 3-pt shot from 25 ft
0:06.0,Defensive rebound by D. Waiters,,80-99,,
0:01.0,D. Waiters makes 2-pt shot from 8 ft,2,82-99,,
0:01.0,Shooting foul by A. Crabbe (drawn by D. Waiters),,82-99,,
0:01.0,D. Waiters makes free throw 1 of 1,1,83-99,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,C. Payne makes 2-pt shot from 3 ft,2,85-99,,
11:29.0,,,85-101,2,C. McCollum makes 2-pt shot from 8 ft
11:05.0,E. Kanter makes 3-pt shot from 23 ft (assist by R. Foye),3,88-101,,
10:48.0,,,88-101,,A. Crabbe misses 2-pt shot from 5 ft
10:47.0,,,88-101,,Offensive rebound by E. Davis
10:46.0,,,88-103,2,E. Davis makes 2-pt shot at rim
10:31.0,C. Payne misses 2-pt shot from 16 ft,,88-103,,
10:30.0,,,88-103,,Defensive rebound by N. Vonleh
10:22.0,,,88-105,2,E. Davis makes 2-pt shot from 2 ft (assist by A. Crabbe)
10:01.0,E. Kanter makes 2-pt shot from 5 ft,2,90-105,,
10:01.0,Shooting foul by E. Davis (drawn by E. Kanter),,90-105,,
10:01.0,E. Kanter makes free throw 1 of 1,1,91-105,,
9:48.0,,,91-105,,Turnover by B. Roberts (lost ball; steal by R. Foye)
9:45.0,Shooting foul by A. Crabbe (drawn by E. Kanter),,91-105,,
9:45.0,E. Kanter makes free throw 1 of 2,1,92-105,,
9:45.0,E. Kanter makes free throw 2 of 2,1,93-105,,
9:29.0,,,93-105,,Turnover by B. Roberts (offensive foul)
9:29.0,,,93-105,,Offensive charge foul by B. Roberts
9:16.0,J. Huestis misses 2-pt shot from 7 ft,,93-105,,
9:15.0,Offensive rebound by E. Kanter,,93-105,,
9:15.0,E. Kanter makes 2-pt shot at rim,2,95-105,,
9:15.0,,,95-105,,Portland full timeout
9:15.0,,,95-105,,A. Aminu enters the game for B. Roberts
9:15.0,,,95-105,,M. Harkless enters the game for N. Vonleh
8:51.0,,,95-105,,M. Harkless misses 2-pt shot from 6 ft
8:50.0,Defensive rebound by E. Kanter,,95-105,,
8:38.0,C. Payne misses 2-pt shot from 19 ft,,95-105,,
8:37.0,,,95-105,,Defensive rebound by A. Crabbe
8:28.0,,,95-108,3,A. Crabbe makes 3-pt shot from 24 ft (assist by C. McCollum)
8:16.0,C. Payne misses 2-pt shot from 2 ft (block by A. Aminu),,95-108,,
8:14.0,Offensive rebound by E. Kanter,,95-108,,
8:06.0,N. Collison misses 2-pt shot from 3 ft,,95-108,,
8:04.0,,,95-108,,Defensive rebound by A. Aminu
8:01.0,,,95-110,2,A. Aminu makes 2-pt shot at rim
7:40.0,Turnover by N. Collison (lost ball; steal by M. Harkless),,95-110,,
7:32.0,,,95-110,,M. Harkless misses 2-pt shot from 1 ft
7:31.0,,,95-110,,Offensive rebound by M. Harkless
7:31.0,,,95-110,,M. Harkless misses 2-pt shot from 1 ft
7:29.0,,,95-110,,Offensive rebound by E. Davis
7:07.0,,,95-110,,A. Crabbe misses 3-pt shot from 27 ft
7:06.0,Defensive rebound by Team,,95-110,,
7:06.0,,,95-110,,D. Lillard enters the game for A. Crabbe
6:56.0,C. Payne misses 2-pt shot from 2 ft (block by D. Lillard),,95-110,,
6:54.0,,,95-110,,Defensive rebound by E. Davis
6:51.0,,,95-110,,Shooting foul by R. Foye (drawn by A. Aminu)
6:51.0,,,95-111,1,A. Aminu makes free throw 1 of 2
6:51.0,D. Waiters enters the game for C. Payne,,95-111,,
6:51.0,,,95-111,,A. Aminu misses free throw 2 of 2
6:50.0,Defensive rebound by J. Huestis,,95-111,,
6:39.0,Shooting foul by E. Davis (drawn by N. Collison),,95-111,,
6:39.0,N. Collison misses free throw 1 of 2,,95-111,,
6:39.0,Offensive rebound by Team,,95-111,,
6:39.0,,,95-111,,M. Plumlee enters the game for E. Davis
