time,Minnesota,pts.away,score,pts.home,San Antonio
1:32.0,,,90-98,,M. Ginobili misses 2-pt shot from 6 ft
1:31.0,Defensive rebound by K. Towns,,90-98,,
1:26.0,Shooting foul by B. Diaw (drawn by Z. LaVine),,90-98,,
1:26.0,Z. LaVine makes free throw 1 of 2,1,91-98,,
1:26.0,Z. LaVine makes free throw 2 of 2,1,92-98,,
1:13.0,,,92-98,,Turnover by T. Parker (lost ball; steal by R. Rubio)
1:09.0,,,92-98,,D. Green enters the game for B. Diaw
1:01.0,A. Wiggins makes 2-pt shot from 4 ft (assist by R. Rubio),2,94-98,,
0:46.0,,,94-98,,Turnover by L. Aldridge (lost ball; steal by R. Rubio)
0:33.0,Z. LaVine misses 2-pt shot from 4 ft,,94-98,,
0:32.0,,,94-98,,Defensive rebound by L. Aldridge
0:31.0,,,94-98,,San Antonio full timeout
0:31.0,,,94-98,,B. Diaw enters the game for D. Green
0:31.0,N. Bjelica enters the game for K. Towns,,94-98,,
0:31.0,,,94-98,,San Antonio full timeout
0:30.0,Personal take foul by T. Prince (drawn by K. Leonard),,94-98,,
0:27.0,Personal take foul by R. Rubio (drawn by T. Parker),,94-98,,
0:27.0,,,94-99,1,T. Parker makes free throw 1 of 2
0:27.0,K. Towns enters the game for N. Bjelica,,94-99,,
0:27.0,G. Dieng enters the game for R. Rubio,,94-99,,
0:27.0,,,94-99,,T. Parker misses free throw 2 of 2
0:26.0,Defensive rebound by K. Towns,,94-99,,
0:26.0,Minnesota full timeout,,94-99,,
0:26.0,,,94-99,,D. Green enters the game for B. Diaw
0:26.0,R. Rubio enters the game for G. Dieng,,94-99,,
0:24.0,Z. LaVine misses 3-pt shot from 24 ft (block by D. Green),,94-99,,
0:22.0,Offensive rebound by Team,,94-99,,
0:22.0,,,94-99,,Loose ball foul by K. Leonard (drawn by R. Rubio)
0:22.0,R. Rubio misses free throw 1 of 2,,94-99,,
0:22.0,Offensive rebound by Team,,94-99,,
0:22.0,N. Bjelica enters the game for K. Towns,,94-99,,
0:22.0,,,94-99,,B. Diaw enters the game for D. Green
0:22.0,R. Rubio makes free throw 2 of 2,1,95-99,,
0:22.0,,,95-99,,San Antonio full timeout
0:21.0,Personal take foul by R. Rubio (drawn by T. Parker),,95-99,,
0:21.0,,,95-99,,T. Parker misses free throw 1 of 2
0:21.0,,,95-99,,Offensive rebound by Team
0:21.0,K. Towns enters the game for N. Bjelica,,95-99,,
0:21.0,,,95-99,,D. Green enters the game for B. Diaw
0:21.0,,,95-100,1,T. Parker makes free throw 2 of 2
0:14.0,Z. LaVine misses 3-pt shot from 25 ft,,95-100,,
0:13.0,,,95-100,,Defensive rebound by T. Parker
0:12.0,Personal take foul by A. Wiggins (drawn by T. Parker),,95-100,,
0:12.0,,,95-100,,T. Parker misses free throw 1 of 2
0:12.0,,,95-100,,Offensive rebound by Team
0:12.0,,,95-101,1,T. Parker makes free throw 2 of 2
0:07.0,Z. LaVine misses 2-pt shot from 3 ft,,95-101,,
0:06.0,Offensive rebound by Team,,95-101,,
0:05.0,A. Wiggins misses 2-pt shot from 5 ft,,95-101,,
0:04.0,,,95-101,,Defensive rebound by K. Leonard
0:00.0,End of 4th quarter,,,,End of 4th quarter
