time,Miami,pts.away,score,pts.home,Minnesota
4:14.0,Defensive rebound by T. Johnson,,91-72,,
4:06.0,,,91-72,,Personal block foul by A. Payne (drawn by G. Dragic)
4:06.0,G. Dragic makes free throw 1 of 2,1,92-72,,
4:06.0,G. Dragic makes free throw 2 of 2,1,93-72,,
3:59.0,Personal foul by T. Johnson (drawn by R. Rubio),,93-72,,
3:59.0,,,93-72,,A. Miller enters the game for R. Rubio
3:48.0,,,93-74,2,A. Wiggins makes 2-pt shot at rim
3:31.0,T. Johnson misses 3-pt shot from 24 ft,,93-74,,
3:30.0,,,93-74,,Defensive rebound by A. Payne
3:22.0,,,93-74,,Shooting foul by T. Johnson (drawn by S. Muhammad)
3:22.0,,,93-74,,S. Muhammad misses free throw 1 of 2
3:22.0,,,93-74,,Offensive rebound by Team
3:22.0,,,93-75,1,S. Muhammad makes free throw 2 of 2
3:03.0,Shooting foul by A. Payne (drawn by G. Dragic),,93-75,,
3:03.0,G. Dragic makes free throw 1 of 2,1,94-75,,
3:03.0,G. Dragic misses free throw 2 of 2,,94-75,,
3:03.0,,,94-75,,Defensive rebound by A. Payne
2:46.0,,,94-75,,A. Wiggins misses 2-pt shot from 21 ft
2:44.0,,,94-75,,Offensive rebound by G. Dieng
2:42.0,,,94-77,2,G. Dieng makes 2-pt shot from 1 ft
2:30.0,Turnover by L. Deng (bad pass; steal by A. Miller),,94-77,,
2:29.0,Personal foul by H. Whiteside (drawn by A. Miller),,94-77,,
2:29.0,Miami full timeout,,94-77,,
2:29.0,,,94-77,,D. Rudez enters the game for A. Wiggins
2:29.0,J. Richardson enters the game for G. Dragic,,94-77,,
2:29.0,C. Andersen enters the game for H. Whiteside,,94-77,,
2:29.0,J. Ennis enters the game for L. Deng,,94-77,,
2:09.0,,,94-79,2,A. Payne makes 2-pt shot from 7 ft
1:45.0,Shooting foul by G. Dieng (drawn by T. Johnson),,94-79,,
1:45.0,T. Johnson makes free throw 1 of 2,1,95-79,,
1:45.0,T. Johnson makes free throw 2 of 2,1,96-79,,
1:22.0,,,96-82,3,A. Payne makes 3-pt shot from 24 ft (assist by A. Miller)
1:06.0,Turnover by J. Richardson (bad pass),,96-82,,
0:56.0,,,96-82,,Offensive charge foul by D. Rudez
0:56.0,,,96-82,,Turnover by D. Rudez (offensive foul)
0:40.0,Turnover by T. Johnson (lost ball),,96-82,,
0:23.0,,,96-84,2,G. Dieng makes 2-pt shot from 10 ft (assist by A. Payne)
0:00.0,End of 4th quarter,,,,End of 4th quarter
