time,Minnesota,pts.away,score,pts.home,Sacramento
1:15.0,T. Prince makes 2-pt shot from 3 ft (assist by G. Dieng),2,99-87,,
1:15.0,,,99-87,,Sacramento full timeout
1:15.0,,,99-87,,J. Anderson enters the game for R. Rondo
1:15.0,,,99-87,,B. McLemore enters the game for D. Collison
1:15.0,,,99-87,,W. Cauley-Stein enters the game for K. Koufos
1:15.0,,,99-87,,S. Curry enters the game for M. Belinelli
1:07.0,,,99-87,,Turnover by S. Curry (traveling)
0:45.0,Z. LaVine misses 2-pt shot from 21 ft,,99-87,,
0:43.0,Offensive rebound by G. Dieng,,99-87,,
0:39.0,T. Prince misses 2-pt shot from 12 ft,,99-87,,
0:38.0,,,99-87,,Defensive rebound by B. McLemore
0:32.0,,,99-89,2,B. McLemore makes 2-pt shot from 3 ft
0:10.0,Z. LaVine makes 2-pt shot from 3 ft,2,101-89,,
0:00.0,,,101-91,2,S. Curry makes 2-pt shot from 16 ft
0:00.0,End of 4th quarter,,,,End of 4th quarter
