time,Boston,pts.away,score,pts.home,Dallas
2:23.0,Shooting foul by Z. Pachulia (drawn by J. Sullinger),,87-90,,
2:23.0,Official timeout,,87-90,,
2:23.0,,,87-90,,D. Nowitzki enters the game for C. Parsons
2:23.0,J. Sullinger makes free throw 1 of 2,1,88-90,,
2:23.0,J. Sullinger makes free throw 2 of 2,1,89-90,,
2:05.0,,,89-90,,D. Nowitzki misses 2-pt shot from 16 ft
2:04.0,Defensive rebound by M. Smart,,89-90,,
1:54.0,,,89-90,,Violation by D. Nowitzki (kicked ball)
1:54.0,K. Olynyk enters the game for J. Sullinger,,89-90,,
1:47.0,I. Thomas misses 2-pt shot from 1 ft,,89-90,,
1:45.0,,,89-90,,Defensive rebound by D. Nowitzki
1:29.0,,,89-90,,D. Nowitzki misses 2-pt shot from 7 ft
1:29.0,,,89-90,,Offensive rebound by Team
1:27.0,,,89-93,3,D. Nowitzki makes 3-pt shot from 24 ft (assist by D. Williams)
1:27.0,,,89-93,,Shooting foul by K. Olynyk (drawn by D. Nowitzki)
1:27.0,,,89-94,1,D. Nowitzki makes free throw 1 of 1
1:22.0,,,89-94,,Personal block foul by R. Felton (drawn by I. Thomas)
1:22.0,I. Thomas makes free throw 1 of 2,1,90-94,,
1:22.0,J. Sullinger enters the game for K. Olynyk,,90-94,,
1:22.0,I. Thomas makes free throw 2 of 2,1,91-94,,
1:02.0,,,91-94,,D. Williams misses 3-pt shot from 24 ft
1:01.0,Defensive rebound by J. Crowder,,91-94,,
0:55.0,I. Thomas makes 2-pt shot from 1 ft,2,93-94,,
0:55.0,,,93-94,,Dallas full timeout
0:55.0,E. Turner enters the game for I. Thomas,,93-94,,
0:40.0,,,93-94,,R. Felton misses 2-pt shot from 6 ft (block by J. Sullinger)
0:38.0,Defensive rebound by A. Bradley,,93-94,,
0:34.0,J. Crowder makes 2-pt shot from 2 ft (assist by A. Bradley),2,95-94,,
0:23.0,Personal block foul by E. Turner (drawn by D. Nowitzki),,95-94,,
0:23.0,,,95-95,1,D. Nowitzki makes free throw 1 of 2
0:23.0,,,95-96,1,D. Nowitzki makes free throw 2 of 2
0:23.0,Boston full timeout,,95-96,,
0:23.0,,,95-96,,C. Parsons enters the game for D. Nowitzki
0:23.0,K. Olynyk enters the game for E. Turner,,95-96,,
0:23.0,I. Thomas enters the game for M. Smart,,95-96,,
0:15.0,J. Sullinger misses 2-pt shot from 5 ft,,95-96,,
0:15.0,,,95-96,,Defensive rebound by D. Williams
0:15.0,Personal take foul by I. Thomas (drawn by D. Williams),,95-96,,
0:15.0,,,95-97,1,D. Williams makes free throw 1 of 2
0:15.0,,,95-98,1,D. Williams makes free throw 2 of 2
0:15.0,Boston full timeout,,95-98,,
0:07.0,Shooting foul by R. Felton (drawn by J. Crowder),,95-98,,
0:07.0,,,95-98,,Dallas full timeout
0:07.0,,,95-98,,D. Nowitzki enters the game for R. Felton
0:07.0,M. Smart enters the game for K. Olynyk,,95-98,,
0:07.0,J. Crowder makes free throw 1 of 3,1,96-98,,
0:07.0,J. Crowder makes free throw 2 of 3,1,97-98,,
0:07.0,J. Crowder makes free throw 3 of 3,1,98-98,,
0:00.0,,,98-98,,Z. Pachulia misses 3-pt shot from 64 ft
0:00.0,,,98-98,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
4:42.0,,,98-101,3,C. Parsons makes 3-pt shot from 23 ft (assist by D. Williams)
4:26.0,A. Bradley misses 2-pt shot from 16 ft,,98-101,,
4:25.0,,,98-101,,Defensive rebound by C. Parsons
4:07.0,J. Sullinger enters the game for A. Johnson,,98-101,,
4:01.0,,,98-103,2,D. Williams makes 2-pt shot from 22 ft
3:45.0,I. Thomas makes 2-pt shot from 2 ft,2,100-103,,
3:18.0,,,100-103,,C. Parsons misses 2-pt shot from 13 ft
3:17.0,Defensive rebound by J. Crowder,,100-103,,
3:02.0,I. Thomas misses 2-pt shot from 1 ft,,100-103,,
3:01.0,Offensive rebound by Team,,100-103,,
2:53.0,J. Crowder misses 2-pt shot from 9 ft,,100-103,,
2:52.0,,,100-103,,Defensive rebound by D. Nowitzki
2:45.0,,,100-103,,D. Williams misses 2-pt shot from 4 ft
2:43.0,Defensive rebound by M. Smart,,100-103,,
2:37.0,I. Thomas misses 2-pt shot from 3 ft,,100-103,,
2:36.0,,,100-103,,Defensive rebound by D. Williams
2:17.0,,,100-103,,D. Nowitzki misses 2-pt shot from 13 ft
2:16.0,Defensive rebound by A. Bradley,,100-103,,
2:02.0,J. Sullinger makes 2-pt shot from 20 ft (assist by I. Thomas),2,102-103,,
1:45.0,,,102-106,3,D. Williams makes 3-pt shot from 23 ft (assist by W. Matthews)
1:32.0,M. Smart makes 3-pt shot from 24 ft (assist by I. Thomas),3,105-106,,
1:14.0,,,105-109,3,D. Williams makes 3-pt shot from 24 ft (assist by C. Parsons)
1:00.0,J. Crowder misses 3-pt shot from 23 ft,,105-109,,
0:59.0,,,105-109,,Defensive rebound by Z. Pachulia
0:36.0,,,105-112,3,D. Nowitzki makes 3-pt shot from 22 ft (assist by D. Williams)
0:35.0,Boston full timeout,,105-112,,
0:35.0,,,105-112,,D. Harris enters the game for D. Nowitzki
0:35.0,K. Olynyk enters the game for J. Sullinger,,105-112,,
0:32.0,K. Olynyk makes 3-pt shot from 24 ft (assist by I. Thomas),3,108-112,,
0:25.0,,,108-112,,Dallas full timeout
0:25.0,,,108-112,,D. Nowitzki enters the game for C. Parsons
0:22.0,Personal take foul by J. Crowder (drawn by D. Nowitzki),,108-112,,
0:21.0,Personal take foul by A. Bradley (drawn by D. Williams),,108-112,,
0:21.0,,,108-113,1,D. Williams makes free throw 1 of 2
0:21.0,,,108-113,,C. Parsons enters the game for D. Nowitzki
0:21.0,,,108-114,1,D. Williams makes free throw 2 of 2
0:21.0,Boston full timeout,,108-114,,
0:18.0,K. Olynyk makes 3-pt shot from 25 ft (assist by J. Crowder),3,111-114,,
0:17.0,,,111-114,,Dallas full timeout
0:17.0,,,111-114,,D. Nowitzki enters the game for C. Parsons
0:13.0,Personal take foul by J. Crowder (drawn by D. Nowitzki),,111-114,,
0:13.0,,,111-115,1,D. Nowitzki makes free throw 1 of 2
0:13.0,,,111-116,1,D. Nowitzki makes free throw 2 of 2
0:13.0,Boston full timeout,,111-116,,
0:13.0,,,111-116,,C. Parsons enters the game for D. Nowitzki
0:13.0,J. Sullinger enters the game for M. Smart,,111-116,,
0:11.0,A. Bradley misses 3-pt shot from 24 ft,,111-116,,
0:10.0,Offensive rebound by J. Sullinger,,111-116,,
0:08.0,Shooting foul by Z. Pachulia (drawn by J. Sullinger),,111-116,,
0:08.0,J. Sullinger makes free throw 1 of 2,1,112-116,,
0:08.0,,,112-116,,D. Nowitzki enters the game for C. Parsons
0:08.0,M. Smart enters the game for K. Olynyk,,112-116,,
0:08.0,J. Sullinger makes free throw 2 of 2,1,113-116,,
0:06.0,Personal take foul by A. Bradley (drawn by D. Nowitzki),,113-116,,
0:06.0,,,113-117,1,D. Nowitzki makes free throw 1 of 2
0:06.0,K. Olynyk enters the game for M. Smart,,113-117,,
0:06.0,,,113-117,,C. Parsons enters the game for Z. Pachulia
0:06.0,,,113-118,1,D. Nowitzki makes free throw 2 of 2
0:03.0,A. Bradley misses 3-pt shot from 24 ft,,113-118,,
0:02.0,,,113-118,,Defensive rebound by D. Nowitzki
0:00.0,End of 1st overtime,,,,End of 1st overtime
