time,Philadelphia,pts.away,score,pts.home,LA Lakers
4:32.0,,,72-88,2,L. Williams makes 2-pt shot from 19 ft (assist by J. Clarkson)
4:28.0,Shooting foul by J. Randle (drawn by I. Smith),,72-88,,
4:28.0,I. Smith makes free throw 1 of 2,1,73-88,,
4:28.0,I. Smith makes free throw 2 of 2,1,74-88,,
4:16.0,,,74-88,,Turnover by L. Williams (bad pass; steal by R. Covington)
4:05.0,I. Smith misses 2-pt shot from 7 ft,,74-88,,
4:04.0,,,74-88,,Defensive rebound by B. Bass
3:51.0,,,74-88,,Shooting foul by I. Smith (drawn by J. Clarkson)
3:51.0,,,74-89,1,J. Clarkson makes free throw 1 of 2
3:51.0,,,74-90,1,J. Clarkson makes free throw 2 of 2
3:36.0,I. Smith misses 3-pt shot from 25 ft,,74-90,,
3:34.0,,,74-90,,Defensive rebound by N. Young
3:08.0,,,74-90,,N. Young misses 3-pt shot from 27 ft
3:08.0,Defensive rebound by Team,,74-90,,
3:08.0,,,74-90,,L. Nance enters the game for J. Randle
2:58.0,N. Noel makes 2-pt shot at rim (assist by J. Grant),2,76-90,,
2:36.0,,,76-90,,L. Williams misses 3-pt shot from 24 ft
2:36.0,Defensive rebound by Team,,76-90,,
2:27.0,J. Grant misses 3-pt shot from 24 ft,,76-90,,
2:27.0,,,76-90,,Defensive rebound by Team
2:04.0,,,76-90,,N. Young misses 3-pt shot from 30 ft
2:03.0,,,76-90,,Offensive rebound by Team
2:03.0,,,76-90,,Turnover by Team (shot clock)
1:56.0,I. Smith misses 2-pt shot from 2 ft (block by B. Bass),,76-90,,
1:56.0,,,76-90,,Defensive rebound by Team
1:56.0,,,76-90,,LA Lakers full timeout
1:32.0,,,76-90,,J. Clarkson misses 2-pt shot from 19 ft
1:32.0,Defensive rebound by I. Smith,,76-90,,
1:26.0,N. Noel makes 2-pt shot from 1 ft (assist by N. Stauskas),2,78-90,,
1:15.0,,,78-90,,N. Young misses 3-pt shot from 24 ft
1:13.0,Defensive rebound by R. Covington,,78-90,,
1:07.0,R. Covington makes 3-pt shot from 23 ft (assist by I. Smith),3,81-90,,
0:51.0,,,81-90,,Turnover by N. Young (lost ball; steal by N. Noel)
0:48.0,Shooting foul by J. Clarkson (drawn by J. Grant),,81-90,,
0:48.0,J. Grant misses free throw 1 of 2,,81-90,,
0:48.0,Offensive rebound by Team,,81-90,,
0:48.0,J. Grant makes free throw 2 of 2,1,82-90,,
0:44.0,,,82-90,,LA Lakers full timeout
0:40.0,Personal foul by R. Covington (drawn by L. Nance),,82-90,,
0:39.0,Personal foul by I. Smith,,82-90,,
0:39.0,,,82-91,1,L. Williams makes free throw 1 of 2
0:39.0,,,82-92,1,L. Williams makes free throw 2 of 2
0:39.0,Philadelphia full timeout,,82-92,,
0:33.0,N. Stauskas makes 2-pt shot from 1 ft (assist by N. Noel),2,84-92,,
0:32.0,Personal take foul by N. Stauskas (drawn by J. Clarkson),,84-92,,
0:32.0,,,84-92,,J. Clarkson misses free throw 1 of 2
0:32.0,,,84-92,,Offensive rebound by Team
0:32.0,,,84-93,1,J. Clarkson makes free throw 2 of 2
0:23.0,I. Smith misses 3-pt shot from 24 ft,,84-93,,
0:21.0,,,84-93,,Defensive rebound by L. Williams
0:01.0,,,84-93,,Turnover by L. Williams (bad pass; steal by N. Noel)
0:00.0,End of 4th quarter,,,,End of 4th quarter
