time,Sacramento,pts.away,score,pts.home,Chicago
3:03.0,,,95-98,,Offensive rebound by T. Gibson
3:03.0,,,95-98,,P. Gasol misses 2-pt shot from 1 ft
3:03.0,Defensive rebound by Team,,95-98,,
3:03.0,M. Belinelli enters the game for C. Butler,,95-98,,
2:51.0,D. Cousins misses 2-pt shot from 19 ft,,95-98,,
2:50.0,,,95-98,,Defensive rebound by J. Butler
2:39.0,Personal foul by R. Rondo,,95-98,,
2:39.0,,,95-99,1,P. Gasol makes free throw 1 of 2
2:39.0,,,95-100,1,P. Gasol makes free throw 2 of 2
2:21.0,,,95-100,,Personal foul by T. Gibson
2:16.0,R. Rondo makes 2-pt shot from 1 ft,2,97-100,,
1:55.0,,,97-100,,D. Rose misses 2-pt shot from 18 ft
1:55.0,,,97-100,,Offensive rebound by P. Gasol
1:55.0,,,97-100,,P. Gasol misses 2-pt shot from 1 ft
1:55.0,,,97-100,,Offensive rebound by J. Butler
1:55.0,,,97-102,2,J. Butler makes 2-pt shot at rim
1:45.0,Turnover by R. Rondo (lost ball; steal by T. Gibson),,97-102,,
1:28.0,,,97-105,3,M. Dunleavy makes 3-pt shot from 24 ft (assist by J. Butler)
1:28.0,Sacramento full timeout,,97-105,,
1:22.0,M. Belinelli makes 2-pt shot from 5 ft,2,99-105,,
1:22.0,Shooting foul by M. Dunleavy (drawn by M. Belinelli),,99-105,,
1:22.0,M. Belinelli misses free throw 1 of 1,,99-105,,
1:20.0,,,99-105,,Defensive rebound by D. Rose
1:08.0,,,99-105,,J. Butler misses 2-pt shot from 2 ft (block by D. Cousins)
1:08.0,,,99-105,,Offensive rebound by Team
1:05.0,,,99-107,2,P. Gasol makes 2-pt shot from 21 ft (assist by D. Rose)
0:53.0,M. Belinelli misses 3-pt shot from 24 ft,,99-107,,
0:52.0,Offensive rebound by D. Cousins,,99-107,,
0:45.0,R. Rondo misses 2-pt shot from 1 ft,,99-107,,
0:43.0,,,99-107,,Defensive rebound by D. Rose
0:26.0,,,99-109,2,T. Gibson makes 2-pt shot from 16 ft (assist by D. Rose)
0:19.0,D. Collison makes 3-pt shot from 25 ft,3,102-109,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
