time,Washington,pts.away,score,pts.home,Portland
5:27.0,,,90-95,3,A. Crabbe makes 3-pt shot from 23 ft (assist by E. Davis)
5:12.0,,,90-95,,Personal foul by A. Crabbe
5:12.0,M. Gortat enters the game for N. Hilario,,90-95,,
5:00.0,Turnover by M. Gortat (lost ball; steal by D. Lillard),,90-95,,
4:52.0,,,90-95,,D. Lillard misses 3-pt shot from 24 ft
4:52.0,Defensive rebound by M. Gortat,,90-95,,
4:44.0,J. Wall misses 2-pt shot from 3 ft,,90-95,,
4:44.0,,,90-95,,Defensive rebound by Team
4:44.0,Loose ball foul by M. Gortat,,90-95,,
4:22.0,,,90-95,,M. Leonard misses 2-pt shot from 12 ft
4:21.0,Defensive rebound by M. Morris,,90-95,,
4:12.0,M. Gortat makes 2-pt shot from 14 ft,2,92-95,,
3:48.0,,,92-95,,D. Lillard misses 3-pt shot from 24 ft
3:47.0,Defensive rebound by J. Dudley,,92-95,,
3:36.0,M. Gortat misses 2-pt shot at rim,,92-95,,
3:36.0,Offensive rebound by M. Gortat,,92-95,,
3:36.0,M. Gortat makes 2-pt shot at rim,2,94-95,,
3:15.0,,,94-95,,C. McCollum misses 2-pt shot from 2 ft (block by M. Morris)
3:12.0,Defensive rebound by M. Morris,,94-95,,
3:04.0,Washington full timeout,,94-95,,
3:01.0,J. Dudley makes 2-pt shot from 16 ft (assist by J. Wall),2,96-95,,
2:42.0,,,96-97,2,E. Davis makes 2-pt shot at rim (assist by D. Lillard)
2:28.0,M. Morris makes 2-pt shot from 19 ft (assist by J. Wall),2,98-97,,
2:15.0,,,98-97,,Shooting foul by J. Wall (drawn by E. Davis)
2:15.0,,,98-98,1,E. Davis makes free throw 1 of 2
2:15.0,,,98-98,,G. Henderson enters the game for A. Crabbe
2:15.0,,,98-98,,E. Davis misses free throw 2 of 2
2:14.0,Defensive rebound by M. Morris,,98-98,,
1:51.0,M. Morris misses 2-pt shot from 5 ft,,98-98,,
1:51.0,Offensive rebound by M. Gortat,,98-98,,
1:48.0,J. Dudley makes 3-pt shot from 24 ft (assist by J. Wall),3,101-98,,
1:34.0,,,101-100,2,M. Leonard makes 2-pt shot from 16 ft (assist by D. Lillard)
1:20.0,J. Wall misses 2-pt shot from 19 ft,,101-100,,
1:20.0,,,101-100,,Defensive rebound by G. Henderson
1:10.0,,,101-100,,Shooting foul by M. Gortat (drawn by D. Lillard)
1:10.0,,,101-101,1,D. Lillard makes free throw 1 of 2
1:10.0,,,101-101,,A. Crabbe enters the game for C. McCollum
1:10.0,,,101-102,1,D. Lillard makes free throw 2 of 2
1:00.0,M. Morris misses 2-pt shot from 8 ft,,101-102,,
0:59.0,Offensive rebound by Team,,101-102,,
0:59.0,,,101-102,,M. Plumlee enters the game for M. Leonard
0:37.0,J. Wall misses 2-pt shot from 18 ft,,101-102,,
0:37.0,Offensive rebound by R. Sessions,,101-102,,
0:26.0,Washington full timeout,,101-102,,
0:26.0,,,101-102,,C. McCollum enters the game for A. Crabbe
0:16.0,J. Wall makes 3-pt shot from 25 ft (assist by R. Sessions),3,104-102,,
0:16.0,,,104-102,,Portland full timeout
0:16.0,,,104-102,,A. Crabbe enters the game for E. Davis
0:16.0,,,104-102,,M. Leonard enters the game for M. Plumlee
0:16.0,G. Temple enters the game for M. Gortat,,104-102,,
0:16.0,,,104-102,,Portland full timeout
0:06.0,,,104-104,2,C. McCollum makes 2-pt shot from 17 ft
0:05.0,Washington full timeout,,104-104,,
0:05.0,,,104-104,,M. Plumlee enters the game for M. Leonard
0:05.0,,,104-104,,E. Davis enters the game for C. McCollum
0:05.0,M. Gortat enters the game for G. Temple,,104-104,,
0:01.0,M. Gortat misses 2-pt shot from 2 ft (block by G. Henderson),,104-104,,
0:00.0,Offensive rebound by J. Wall,,104-104,,
0:00.0,J. Wall misses 3-pt shot from 24 ft,,104-104,,
0:00.0,Offensive rebound by Team,,104-104,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
4:38.0,R. Sessions makes 2-pt shot from 16 ft,2,106-104,,
4:21.0,,,106-106,2,G. Henderson makes 2-pt shot from 11 ft (assist by E. Davis)
4:04.0,Offensive foul by M. Morris,,106-106,,
4:04.0,Turnover by M. Morris (offensive foul),,106-106,,
4:04.0,Violation by Team (jump ball),,106-106,,
3:48.0,,,106-108,2,D. Lillard makes 2-pt shot from 1 ft
3:42.0,J. Dudley misses 3-pt shot from 23 ft,,106-108,,
3:40.0,Offensive rebound by J. Dudley,,106-108,,
3:35.0,J. Dudley misses 2-pt shot from 18 ft,,106-108,,
3:34.0,,,106-108,,Defensive rebound by M. Leonard
3:28.0,,,106-108,,D. Lillard misses 3-pt shot from 25 ft
3:27.0,,,106-108,,Offensive rebound by E. Davis
3:24.0,,,106-111,3,D. Lillard makes 3-pt shot from 22 ft (assist by E. Davis)
3:02.0,J. Wall makes 3-pt shot from 24 ft,3,109-111,,
2:40.0,,,109-111,,C. McCollum misses 3-pt shot from 24 ft
2:36.0,Defensive rebound by J. Dudley,,109-111,,
2:31.0,J. Wall misses 2-pt shot from 3 ft,,109-111,,
2:30.0,,,109-111,,Defensive rebound by M. Leonard
2:09.0,,,109-111,,G. Henderson misses 2-pt shot from 21 ft
2:08.0,,,109-111,,Offensive rebound by G. Henderson
1:47.0,,,109-111,,C. McCollum misses 2-pt shot from 13 ft
1:46.0,,,109-111,,Offensive rebound by E. Davis
1:27.0,,,109-111,,D. Lillard misses 3-pt shot from 25 ft
1:25.0,Defensive rebound by M. Morris,,109-111,,
1:16.0,M. Morris misses 3-pt shot from 25 ft,,109-111,,
1:14.0,,,109-111,,Defensive rebound by E. Davis
1:07.0,,,109-111,,Portland full timeout
1:07.0,G. Temple enters the game for R. Sessions,,109-111,,
0:55.0,,,109-111,,G. Henderson misses 2-pt shot from 15 ft
0:55.0,Defensive rebound by G. Temple,,109-111,,
0:53.0,Washington full timeout,,109-111,,
0:53.0,,,109-111,,M. Plumlee enters the game for M. Leonard
0:53.0,,,109-111,,A. Crabbe enters the game for C. McCollum
0:53.0,R. Sessions enters the game for G. Temple,,109-111,,
0:46.0,J. Wall misses 2-pt shot from 20 ft,,109-111,,
0:45.0,,,109-111,,Defensive rebound by M. Plumlee
0:24.0,,,109-113,2,D. Lillard makes 2-pt shot from 2 ft
0:24.0,Washington full timeout,,109-113,,
0:12.0,J. Wall misses 3-pt shot from 24 ft,,109-113,,
0:09.0,,,109-113,,Defensive rebound by E. Davis
0:09.0,Personal take foul by J. Dudley,,109-113,,
0:09.0,,,109-113,,C. McCollum enters the game for E. Davis
0:09.0,,,109-113,,M. Leonard enters the game for M. Plumlee
0:09.0,G. Temple enters the game for M. Gortat,,109-113,,
0:08.0,Personal take foul by J. Wall,,109-113,,
0:08.0,,,109-114,1,M. Leonard makes free throw 1 of 2
0:08.0,M. Gortat enters the game for G. Temple,,109-114,,
0:08.0,,,109-114,,M. Leonard misses free throw 2 of 2
0:08.0,Defensive rebound by J. Dudley,,109-114,,
0:08.0,Washington full timeout,,109-114,,
0:08.0,,,109-114,,M. Plumlee enters the game for M. Leonard
0:08.0,,,109-114,,E. Davis enters the game for C. McCollum
0:04.0,J. Dudley misses 3-pt shot from 24 ft,,109-114,,
0:03.0,,,109-114,,Defensive rebound by D. Lillard
0:02.0,Personal take foul by M. Gortat,,109-114,,
0:02.0,G. Temple enters the game for M. Gortat,,109-114,,
0:02.0,,,109-115,1,D. Lillard makes free throw 1 of 2
0:02.0,,,109-116,1,D. Lillard makes free throw 2 of 2
0:00.0,End of 1st overtime,,,,End of 1st overtime
