time,Toronto,pts.away,score,pts.home,Memphis
3:26.0,J. Thompson enters the game for P. Patterson,,38-48,,
3:26.0,C. Joseph enters the game for K. Lowry,,38-48,,
3:26.0,,,38-48,,T. Allen enters the game for V. Carter
3:26.0,,,38-49,1,J. Martin makes free throw 2 of 2
3:09.0,J. Thompson makes 2-pt shot from 18 ft (assist by D. DeRozan),2,40-49,,
2:49.0,Violation by D. DeRozan (def goaltending),,40-49,,
2:49.0,,,40-51,2,T. Allen makes 2-pt shot from 1 ft (assist by J. Farmar)
2:35.0,D. DeRozan misses 2-pt shot from 4 ft (block by T. Allen),,40-51,,
2:32.0,Offensive rebound by D. DeRozan,,40-51,,
2:32.0,D. DeRozan misses 2-pt shot from 1 ft (block by C. Andersen),,40-51,,
2:27.0,Offensive rebound by J. Valanciunas,,40-51,,
2:27.0,J. Valanciunas misses 2-pt shot from 2 ft,,40-51,,
2:26.0,,,40-51,,Defensive rebound by L. Stephenson
2:23.0,,,40-51,,L. Stephenson misses 2-pt shot from 3 ft (block by N. Powell)
2:22.0,Defensive rebound by N. Powell,,40-51,,
2:16.0,D. DeRozan makes 2-pt shot from 1 ft (assist by N. Powell),2,42-51,,
2:00.0,,,42-51,,J. Farmar misses 2-pt shot from 19 ft
1:58.0,Defensive rebound by D. DeRozan,,42-51,,
1:45.0,,,42-51,,Personal foul by C. Andersen
1:45.0,Toronto full timeout,,42-51,,
1:45.0,,,42-51,,J. Green enters the game for C. Andersen
1:45.0,,,42-51,,M. Barnes enters the game for L. Stephenson
1:45.0,,,42-51,,Z. Randolph enters the game for J. Martin
1:33.0,Turnover by N. Powell (lost ball; steal by T. Allen),,42-51,,
1:27.0,,,42-51,,J. Green misses 2-pt shot from 2 ft
1:25.0,,,42-51,,Offensive rebound by T. Allen
1:25.0,,,42-51,,T. Allen misses 2-pt shot at rim
1:23.0,Defensive rebound by N. Powell,,42-51,,
1:17.0,C. Joseph makes 3-pt shot from 24 ft (assist by N. Powell),3,45-51,,
0:56.0,,,45-51,,J. Green misses 2-pt shot from 9 ft
0:55.0,Defensive rebound by J. Valanciunas,,45-51,,
0:36.0,C. Joseph misses 3-pt shot from 23 ft,,45-51,,
0:35.0,,,45-51,,Defensive rebound by J. Farmar
0:19.0,,,45-53,2,Z. Randolph makes 2-pt shot from 4 ft
0:00.0,D. DeRozan misses 2-pt shot from 17 ft,,45-53,,
0:00.0,Offensive rebound by Team,,45-53,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,Turnover by N. Powell (lost ball; steal by C. Andersen),,45-53,,
11:29.0,,,45-53,,Z. Randolph misses 2-pt shot from 17 ft
11:27.0,,,45-53,,Offensive rebound by M. Barnes
11:18.0,,,45-53,,Z. Randolph misses 2-pt shot at rim (block by J. Thompson)
11:18.0,,,45-53,,Offensive rebound by Team
