time,Atlanta,pts.away,score,pts.home,Philadelphia
6:15.0,Offensive rebound by E. Tavares,,105-75,,
6:15.0,E. Tavares makes 2-pt shot at rim,2,107-75,,
6:08.0,,,107-75,,R. Holmes misses 2-pt shot from 8 ft
6:07.0,Defensive rebound by L. Patterson,,107-75,,
5:59.0,,,107-75,,Personal foul by J. Grant (drawn by L. Patterson)
5:59.0,M. Scott enters the game for M. Muscala,,107-75,,
5:49.0,S. Mack makes 2-pt shot from 8 ft,2,109-75,,
5:34.0,,,109-75,,J. Grant misses 2-pt shot from 4 ft
5:32.0,Defensive rebound by M. Scott,,109-75,,
5:28.0,T. Hardaway makes 2-pt shot from 2 ft,2,111-75,,
5:13.0,,,111-77,2,N. Stauskas makes 2-pt shot from 4 ft (assist by K. Marshall)
5:06.0,S. Mack misses 2-pt shot from 4 ft (block by R. Holmes),,111-77,,
5:04.0,Offensive rebound by Team,,111-77,,
5:04.0,Offensive foul by M. Scott,,111-77,,
5:04.0,Turnover by M. Scott (offensive foul),,111-77,,
4:59.0,,,111-77,,Turnover by K. Marshall (bad pass)
4:46.0,Turnover by L. Patterson (lost ball),,111-77,,
4:46.0,,,111-77,,C. Landry enters the game for J. Grant
4:32.0,,,111-77,,C. Landry misses 2-pt shot from 4 ft (block by E. Tavares)
4:30.0,Defensive rebound by T. Hardaway,,111-77,,
4:26.0,T. Hardaway makes 3-pt shot from 26 ft,3,114-77,,
4:12.0,,,114-79,2,R. Holmes makes 2-pt shot from 3 ft (assist by K. Marshall)
4:01.0,S. Mack makes 2-pt shot from 2 ft (assist by M. Scott),2,116-79,,
3:45.0,,,116-79,,K. Marshall misses 3-pt shot from 23 ft
3:44.0,Defensive rebound by E. Tavares,,116-79,,
3:32.0,M. Scott makes 2-pt shot from 10 ft,2,118-79,,
3:15.0,Personal foul by S. Mack (drawn by N. Stauskas),,118-79,,
3:08.0,,,118-79,,K. Marshall misses 2-pt shot from 16 ft
3:06.0,Defensive rebound by M. Scott,,118-79,,
2:55.0,E. Tavares misses 2-pt shot from 11 ft,,118-79,,
2:53.0,,,118-79,,Defensive rebound by R. Holmes
2:45.0,,,118-79,,R. Holmes misses 3-pt shot from 25 ft
2:43.0,Defensive rebound by S. Mack,,118-79,,
2:38.0,,,118-79,,Personal foul by C. Landry (drawn by S. Mack)
2:38.0,Official timeout,,118-79,,
2:34.0,S. Mack makes 2-pt shot from 5 ft,2,120-79,,
2:34.0,Shooting foul by K. Marshall (drawn by S. Mack),,120-79,,
2:34.0,S. Mack makes free throw 1 of 1,1,121-79,,
2:21.0,,,121-81,2,N. Stauskas makes 2-pt shot from 17 ft (assist by K. Marshall)
2:05.0,L. Patterson makes 3-pt shot from 23 ft (assist by S. Mack),3,124-81,,
1:48.0,,,124-81,,J. Sampson misses 2-pt shot from 16 ft
1:46.0,Defensive rebound by M. Scott,,124-81,,
1:28.0,L. Patterson misses 3-pt shot from 27 ft,,124-81,,
1:26.0,,,124-81,,Defensive rebound by N. Stauskas
1:18.0,,,124-83,2,J. Sampson makes 2-pt shot from 1 ft
1:04.0,S. Mack misses 2-pt shot from 16 ft,,124-83,,
1:02.0,,,124-83,,Defensive rebound by R. Holmes
0:47.0,,,124-85,2,R. Holmes makes 2-pt shot at rim (assist by C. Landry)
0:33.0,Turnover by L. Patterson (bad pass),,124-85,,
0:26.0,,,124-85,,Shooting foul by E. Tavares (drawn by R. Holmes)
0:26.0,,,124-86,1,R. Holmes makes free throw 1 of 2
0:26.0,,,124-86,,R. Holmes misses free throw 2 of 2
0:25.0,Defensive rebound by E. Tavares,,124-86,,
0:07.0,S. Mack misses 3-pt shot from 26 ft,,124-86,,
0:05.0,,,124-86,,Defensive rebound by C. Landry
0:01.0,,,124-86,,J. Sampson misses 3-pt shot from 25 ft
0:00.0,,,124-86,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
